period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	bosWC	1	1	1	phlSP	bosWC	18	P
1	1	bosWC	2	1	1	phlSP	phlSP	20	PU
1	1	bosWC	3	1	1	phlSP	phlSP	7	
1	1	bosWC	4	1	1	phlSP	phlSP	27	
1	1	bosWC	5	1	1	phlSP	phlSP	20	A
1	1	bosWC	6	1	1	phlSP	phlSP	9	LG
1	2	phlSP	1	2	1	bosWC	phlSP	1	P
1	2	phlSP	2	2	1	bosWC	bosWC	13	PU
1	2	phlSP	3	2	1	bosWC	bosWC	4	
1	2	phlSP	4	2	1	bosWC	bosWC	1	
1	2	phlSP	5	2	1	bosWC	bosWC	4	
1	2	phlSP	6	2	1	bosWC	bosWC	17	
1	2	phlSP	7	2	1	bosWC	bosWC	13	
1	2	phlSP	8	2	1	bosWC	bosWC	21	
1	2	phlSP	9	2	1	bosWC	bosWC	1	
1	2	phlSP	10	2	1	bosWC	bosWC	9	
1	2	phlSP	11	2	1	bosWC	bosWC	4	
1	2	phlSP	12	2	1	bosWC	bosWC	13	
1	2	phlSP	13	2	1	bosWC	bosWC	1	
1	2	phlSP	14	2	1	bosWC	bosWC	13	
1	2	phlSP	15	2	1	bosWC	bosWC	4	
1	2	phlSP	16	2	1	bosWC	bosWC	21	
1	2	phlSP	17	2	1	bosWC	bosWC	4	
1	2	phlSP	18	2	1	bosWC	bosWC	77	
1	2	phlSP	19	2	1	bosWC	bosWC	13	
1	2	phlSP	20	2	1	bosWC	bosWC	21	
1	2	phlSP	21	2	1	bosWC	bosWC	1	A
1	2	phlSP	22	2	1	bosWC	bosWC	4	G
1	3	bosWC	1	3	1	phlSP	bosWC	18	P
1	3	bosWC	2	3	1	phlSP	phlSP	7	PU
1	3	bosWC	3	3	1	phlSP	phlSP	27	
1	3	bosWC	4	3	1	phlSP	bosWC	27	D
1	3	bosWC	5	4	2	bosWC	bosWC	14	PU
1	3	bosWC	6	4	2	bosWC	bosWC	18	
1	3	bosWC	7	5	3	phlSP	phlSP	11	PU
1	3	bosWC	8	5	3	phlSP	phlSP	27	
1	3	bosWC	9	5	3	phlSP	phlSP	11	
1	3	bosWC	10	5	3	phlSP	phlSP	13	
1	3	bosWC	11	5	3	phlSP	phlSP	71	
1	3	bosWC	12	5	3	phlSP	phlSP	14	
1	3	bosWC	13	5	3	phlSP	phlSP	12	
1	3	bosWC	14	5	3	phlSP	bosWC	28	D
1	3	bosWC	15	6	4	bosWC	bosWC	14	PU
1	3	bosWC	16	6	4	bosWC	bosWC	8	
1	3	bosWC	17	6	4	bosWC	bosWC	27	
1	3	bosWC	18	6	4	bosWC	bosWC	64	
1	3	bosWC	19	6	4	bosWC	bosWC	8	
1	3	bosWC	20	6	4	bosWC	bosWC	14	
1	3	bosWC	21	6	4	bosWC	bosWC	8	
1	3	bosWC	22	6	4	bosWC	bosWC	28	
1	3	bosWC	23	6	4	bosWC	bosWC	18	A
1	3	bosWC	24	6	4	bosWC	bosWC	64	G
1	4	bosWC	1	7	1	phlSP	bosWC	43	P
1	4	bosWC	2	7	1	phlSP	phlSP	4	PU
1	4	bosWC	3	7	1	phlSP	phlSP	1	
1	4	bosWC	4	7	1	phlSP	phlSP	20	
1	4	bosWC	5	7	1	phlSP	phlSP	1	
1	4	bosWC	6	7	1	phlSP	phlSP	64	
1	4	bosWC	7	7	1	phlSP	phlSP	20	
1	4	bosWC	8	7	1	phlSP	phlSP	1	
1	4	bosWC	9	7	1	phlSP	phlSP	21	
1	4	bosWC	10	7	1	phlSP	phlSP	9	
1	4	bosWC	11	7	1	phlSP	phlSP	16	
1	4	bosWC	12	7	1	phlSP	phlSP	4	
1	4	bosWC	13	7	1	phlSP	phlSP	1	
1	4	bosWC	14	7	1	phlSP	phlSP	21	
1	4	bosWC	15	7	1	phlSP	bosWC	5	D
1	4	bosWC	16	8	2	bosWC	bosWC	10	PU
1	4	bosWC	17	8	2	bosWC	bosWC	12	LA
1	4	bosWC	18	8	2	bosWC	bosWC	25	G
1	5	bosWC	1	9	1	phlSP	bosWC	18	P
1	5	bosWC	2	9	1	phlSP	phlSP	7	PU
1	5	bosWC	3	9	1	phlSP	phlSP	71	
1	5	bosWC	4	9	1	phlSP	phlSP	7	
1	5	bosWC	5	9	1	phlSP	phlSP	12	
1	5	bosWC	6	9	1	phlSP	bosWC	14	D
1	5	bosWC	7	10	2	bosWC	bosWC	8	PU
1	5	bosWC	8	10	2	bosWC	phlSP	7	F
1	5	bosWC	9	10	2	bosWC	bosWC	14	PUA
1	5	bosWC	10	10	2	bosWC	bosWC	27	G
1	6	bosWC	1	11	1	phlSP	bosWC	43	P
1	6	bosWC	2	11	1	phlSP	phlSP	20	PU
1	6	bosWC	3	11	1	phlSP	phlSP	21	
1	6	bosWC	4	11	1	phlSP	phlSP	1	
1	6	bosWC	5	11	1	phlSP	phlSP	16	
1	6	bosWC	6	11	1	phlSP	phlSP	64	A
1	6	bosWC	7	11	1	phlSP	phlSP	9	LG
1	7	phlSP	1	12	1	bosWC	phlSP	11	P
1	7	phlSP	2	12	1	bosWC	bosWC	4	PU
1	7	phlSP	3	12	1	bosWC	bosWC	13	
1	7	phlSP	4	12	1	bosWC	bosWC	1	
1	7	phlSP	5	12	1	bosWC	bosWC	77	
1	7	phlSP	6	12	1	bosWC	bosWC	4	
1	7	phlSP	7	12	1	bosWC	bosWC	9	
1	7	phlSP	8	12	1	bosWC	bosWC	21	
