period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	bosWC	6	1	1	phlSP	phlSP	9	LG	6	TRUE	TRUE	phlSP	o_line	G	G
1	2	phlSP	22	2	1	bosWC	bosWC	4	G	22	FALSE	TRUE	bosWC	o_line	G	G
1	3	bosWC	4	3	1	phlSP	bosWC	27	D	4	FALSE	FALSE	NA	o_line	D	def +
1	3	bosWC	6	4	2	bosWC	bosWC	18	TA	2	FALSE	FALSE	NA	d_line	TA	off -
1	3	bosWC	14	5	3	phlSP	bosWC	28	D	8	FALSE	FALSE	NA	o_line	D	def +
1	3	bosWC	24	6	4	bosWC	bosWC	64	G	10	FALSE	TRUE	bosWC	d_line	G	G
1	4	bosWC	15	7	1	phlSP	bosWC	5	D	15	FALSE	FALSE	NA	o_line	D	def +
1	4	bosWC	18	8	2	bosWC	bosWC	25	G	3	TRUE	TRUE	bosWC	d_line	G	G
1	5	bosWC	6	9	1	phlSP	bosWC	14	D	6	FALSE	FALSE	NA	o_line	D	def +
1	5	bosWC	10	10	2	bosWC	bosWC	27	G	4	FALSE	TRUE	bosWC	d_line	G	G
1	6	bosWC	7	11	1	phlSP	phlSP	9	LG	7	TRUE	TRUE	phlSP	o_line	G	G
1	7	phlSP	10	12	1	bosWC	bosWC	3	G	10	FALSE	TRUE	bosWC	o_line	G	G
1	8	bosWC	13	13	1	phlSP	phlSP	7	G	13	FALSE	TRUE	phlSP	o_line	G	G
1	9	phlSP	9	14	1	bosWC	bosWC	1	G	9	FALSE	TRUE	bosWC	o_line	G	G
1	10	bosWC	16	15	1	phlSP	phlSP	9	G	16	FALSE	TRUE	phlSP	o_line	G	G
1	11	phlSP	8	16	1	bosWC	bosWC	17	TD	8	FALSE	FALSE	NA	o_line	TD	off -
1	11	phlSP	11	17	2	phlSP	phlSP	2	LG	3	TRUE	TRUE	phlSP	d_line	G	G
1	12	phlSP	10	18	1	bosWC	bosWC	1	LG	10	TRUE	TRUE	bosWC	o_line	G	G
1	13	bosWC	7	19	1	phlSP	phlSP	13	eop	7	FALSE	FALSE	NA	o_line	eop	eop
2	14	phlSP	14	20	1	bosWC	bosWC	13	G	14	FALSE	TRUE	bosWC	o_line	G	G
2	15	bosWC	4	21	1	phlSP	bosWC	27	D	4	FALSE	FALSE	NA	o_line	D	def +
2	15	bosWC	11	22	2	bosWC	bosWC	17	G	7	FALSE	TRUE	bosWC	d_line	G	G
2	16	bosWC	13	23	1	phlSP	phlSP	11	G	13	FALSE	TRUE	phlSP	o_line	G	G
2	17	phlSP	4	24	1	bosWC	bosWC	3	G	4	FALSE	TRUE	bosWC	o_line	G	G
2	18	bosWC	8	25	1	phlSP	phlSP	9	LG	8	TRUE	TRUE	phlSP	o_line	G	G
2	19	phlSP	11	26	1	bosWC	bosWC	13	G	11	FALSE	TRUE	bosWC	o_line	G	G
2	20	bosWC	5	27	1	phlSP	phlSP	71	TA	5	FALSE	FALSE	NA	o_line	TA	off -
2	20	bosWC	13	28	2	bosWC	bosWC	5	TA	8	FALSE	FALSE	NA	d_line	TA	off -
2	20	bosWC	15	29	3	phlSP	phlSP	14	TD	2	FALSE	FALSE	NA	o_line	TD	off -
2	20	bosWC	20	30	4	bosWC	bosWC	5	G	5	FALSE	TRUE	bosWC	d_line	G	G
2	21	bosWC	4	31	1	phlSP	phlSP	16	TA	4	FALSE	FALSE	NA	o_line	TA	off -
2	21	bosWC	8	32	2	bosWC	bosWC	29	G	4	TRUE	TRUE	bosWC	d_line	G	G
2	22	bosWC	6	33	1	phlSP	phlSP	4	TA	6	FALSE	FALSE	NA	o_line	TA	off -
2	22	bosWC	13	34	2	bosWC	bosWC	17	G	7	FALSE	TRUE	bosWC	d_line	G	G
2	23	bosWC	4	35	1	phlSP	phlSP	14	TA	4	FALSE	FALSE	NA	o_line	TA	off -
2	23	bosWC	8	36	2	bosWC	bosWC	28	G	4	FALSE	TRUE	bosWC	d_line	G	G
2	24	bosWC	3	37	1	phlSP	phlSP	1	TA	3	FALSE	FALSE	NA	o_line	TA	off -
2	24	bosWC	17	38	2	bosWC	bosWC	25	TA	14	FALSE	FALSE	NA	d_line	TA	off -
2	24	bosWC	25	39	3	phlSP	bosWC	64	D	8	FALSE	FALSE	NA	o_line	D	def +
2	24	bosWC	27	40	4	bosWC	bosWC	27	LG	2	TRUE	TRUE	bosWC	d_line	G	G
2	25	bosWC	5	41	1	phlSP	phlSP	27	eop	5	FALSE	FALSE	NA	o_line	eop	eop
3	26	bosWC	9	42	1	phlSP	phlSP	20	G	9	TRUE	TRUE	phlSP	o_line	G	G
3	27	phlSP	7	43	1	bosWC	bosWC	77	TA	7	FALSE	FALSE	NA	o_line	TA	off -
3	27	phlSP	12	44	2	phlSP	bosWC	27	D	5	FALSE	FALSE	NA	d_line	D	def +
3	27	phlSP	15	45	3	bosWC	bosWC	8	TA	3	FALSE	FALSE	NA	o_line	TA	off -
3	27	phlSP	21	46	4	phlSP	phlSP	27	G	6	FALSE	TRUE	phlSP	d_line	G	G
3	28	phlSP	9	47	1	bosWC	bosWC	13	G	9	FALSE	TRUE	bosWC	o_line	G	G
3	29	bosWC	15	48	1	phlSP	phlSP	27	G	15	FALSE	TRUE	phlSP	o_line	G	G
3	30	phlSP	14	49	1	bosWC	bosWC	77	G	14	FALSE	TRUE	bosWC	o_line	G	G
3	31	bosWC	5	50	1	phlSP	bosWC	27	D	5	FALSE	FALSE	NA	o_line	D	def +
3	31	bosWC	15	51	2	bosWC	bosWC	27	TD	10	FALSE	FALSE	NA	d_line	TD	off -
