game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-05-10_phlSP-at-bosWC	bosWC-1	markette	8	0.96	3	5	24	23	25	0	0	bosWC	1
2014-05-10_phlSP-at-bosWC	bosWC-13	malacek	7	0.97	4	3	39	38	33	0	0	bosWC	13
2014-05-10_phlSP-at-bosWC	bosWC-21	graham	5	1	4	1	25	25	25	0	0	bosWC	21
2014-05-10_phlSP-at-bosWC	bosWC-77	clark	5	0.92	1	4	12	11	13	0	0	bosWC	77
2014-05-10_phlSP-at-bosWC	bosWC-4	rebholz	4	0.92	1	3	36	33	30	0	2	bosWC	4
2014-05-10_phlSP-at-bosWC	bosWC-7	brecher	3	0.91	0	3	11	10	8	0	1	bosWC	7
2014-05-10_phlSP-at-bosWC	bosWC-27	hatchett	2	0.8	2	0	5	4	7	5	1	bosWC	27
2014-05-10_phlSP-at-bosWC	bosWC-17	foster	2	1	2	0	6	6	8	0	0	bosWC	17
2014-05-10_phlSP-at-bosWC	bosWC-3	zid	2	1	2	0	5	5	6	0	0	bosWC	3
2014-05-10_phlSP-at-bosWC	bosWC-64	farnsworth	2	1	1	1	2	2	3	1	0	bosWC	64
2014-05-10_phlSP-at-bosWC	bosWC-18	browar-jarus	2	0.8	0	2	5	4	4	0	0	bosWC	18
2014-05-10_phlSP-at-bosWC	bosWC-28	trahey	1	1	1	0	4	4	5	1	0	bosWC	28
2014-05-10_phlSP-at-bosWC	bosWC-5	doherty	1	0.83	1	0	6	5	7	1	0	bosWC	5
2014-05-10_phlSP-at-bosWC	bosWC-25	mcdonnell	1	0.5	1	0	2	1	3	0	0	bosWC	25
2014-05-10_phlSP-at-bosWC	bosWC-29	stevens	1	1	1	0	2	2	4	0	0	bosWC	29
2014-05-10_phlSP-at-bosWC	bosWC-14	montgomery-butler	1	1	0	1	7	7	2	1	0	bosWC	14
2014-05-10_phlSP-at-bosWC	bosWC-12	simmons	1	0.9	0	1	10	9	8	0	0	bosWC	12
2014-05-10_phlSP-at-bosWC	bosWC-10	ingold-smith	0	1	0	0	9	9	6	0	0	bosWC	10
2014-05-10_phlSP-at-bosWC	bosWC-2	reinhardt	0	1	0	0	1	1	1	0	0	bosWC	2
2014-05-10_phlSP-at-bosWC	bosWC-37	?name?	0	1	0	0	1	1	1	0	0	bosWC	37
2014-05-10_phlSP-at-bosWC	bosWC-43	hirschberger	0	1	0	0	1	1	1	0	0	bosWC	43
2014-05-10_phlSP-at-bosWC	bosWC-6	roth	0	1	0	0	2	2	3	0	0	bosWC	6
2014-05-10_phlSP-at-bosWC	bosWC-8	cooper	0	0.86	0	0	7	6	6	0	0	bosWC	8
2014-05-10_phlSP-at-bosWC	bosWC-9	nixon	0	1	0	0	10	10	10	0	0	bosWC	9
2014-05-10_phlSP-at-bosWC	phlSP-9	diviney	6	0.91	5	1	11	10	15	0	0	phlSP	9
2014-05-10_phlSP-at-bosWC	phlSP-11	esser	5	1	2	3	19	19	20	0	0	phlSP	11
2014-05-10_phlSP-at-bosWC	phlSP-27	rainwater	5	0.92	2	3	24	22	25	0	0	phlSP	27
2014-05-10_phlSP-at-bosWC	phlSP-14	glazer	4	0.95	3	1	20	19	23	0	0	phlSP	14
2014-05-10_phlSP-at-bosWC	phlSP-7	hirannet	3	0.95	1	2	39	37	32	0	1	phlSP	7
2014-05-10_phlSP-at-bosWC	phlSP-13	brandolph	2	0.92	1	1	13	12	11	0	0	phlSP	13
2014-05-10_phlSP-at-bosWC	phlSP-20	baer	2	0.94	1	1	34	32	23	0	0	phlSP	20
2014-05-10_phlSP-at-bosWC	phlSP-21	panna	2	0.9	0	2	10	9	7	0	0	phlSP	21
2014-05-10_phlSP-at-bosWC	phlSP-4	damiano	2	0.93	0	2	15	14	14	0	0	phlSP	4
2014-05-10_phlSP-at-bosWC	phlSP-2	colton	1	0.75	1	0	4	3	4	0	0	phlSP	2
2014-05-10_phlSP-at-bosWC	phlSP-6	chou	1	1	1	0	3	3	4	0	0	phlSP	6
2014-05-10_phlSP-at-bosWC	phlSP-71	mcclellan	1	0.69	1	0	13	9	10	0	0	phlSP	71
2014-05-10_phlSP-at-bosWC	phlSP-1	peters	1	0.87	0	1	15	13	15	0	0	phlSP	1
2014-05-10_phlSP-at-bosWC	phlSP-64	brasz	1	1	0	1	9	9	9	0	0	phlSP	64
2014-05-10_phlSP-at-bosWC	phlSP-10	casey	0	1	0	0	1	1	1	1	0	phlSP	10
2014-05-10_phlSP-at-bosWC	phlSP-41	mathison	0	1	0	0	1	1	0	1	0	phlSP	41
2014-05-10_phlSP-at-bosWC	phlSP-12	zumbrum	0	0.5	0	0	4	2	3	0	0	phlSP	12
2014-05-10_phlSP-at-bosWC	phlSP-16	shull	0	0.89	0	0	9	8	8	0	0	phlSP	16
2014-05-10_phlSP-at-bosWC	phlSP-28	baer	0	1	0	0	1	1	0	0	0	phlSP	28
2014-05-10_phlSP-at-bosWC	phlSP-31	lindsey	0	1	0	0	1	1	1	0	0	phlSP	31
2014-05-10_phlSP-at-bosWC	phlSP-33	ward	0	1	0	0	2	2	2	0	0	phlSP	33
