point	pullTeam	recvTeam	event	pullNum	pullCode	recvNum	recvCode	scorTeam
1	seaRM	vanNH	1	24	P			vanNH
1	seaRM	vanNH	2			19	PU	vanNH
1	seaRM	vanNH	3			89		vanNH
1	seaRM	vanNH	4			19		vanNH
1	seaRM	vanNH	5			89		vanNH
1	seaRM	vanNH	6			21		vanNH
1	seaRM	vanNH	7			19		vanNH
1	seaRM	vanNH	8			5		vanNH
1	seaRM	vanNH	9			19		vanNH
1	seaRM	vanNH	10			98		vanNH
1	seaRM	vanNH	11			21		vanNH
1	seaRM	vanNH	12			19		vanNH
1	seaRM	vanNH	13			5		vanNH
1	seaRM	vanNH	14			19		vanNH
1	seaRM	vanNH	15	21	F			vanNH
1	seaRM	vanNH	16			5		vanNH
1	seaRM	vanNH	17			89		vanNH
1	seaRM	vanNH	18			5		vanNH
1	seaRM	vanNH	19			72		vanNH
1	seaRM	vanNH	20			89	A	vanNH
1	seaRM	vanNH	21			10	G	vanNH
2	vanNH	seaRM	1	8	P			vanNH
2	vanNH	seaRM	2			20		vanNH
2	vanNH	seaRM	3			6		vanNH
2	vanNH	seaRM	4			51		vanNH
2	vanNH	seaRM	5	18	PU			vanNH
2	vanNH	seaRM	6	8				vanNH
2	vanNH	seaRM	7	24				vanNH
2	vanNH	seaRM	8	18				vanNH
2	vanNH	seaRM	9			1	PU	vanNH
2	vanNH	seaRM	10			20		vanNH
2	vanNH	seaRM	11			6		vanNH
2	vanNH	seaRM	12			20		vanNH
2	vanNH	seaRM	13	24	D			vanNH
2	vanNH	seaRM	14	18	PU			vanNH
2	vanNH	seaRM	15	13				vanNH
2	vanNH	seaRM	16	45				vanNH
2	vanNH	seaRM	17	24				vanNH
2	vanNH	seaRM	18	45				vanNH
2	vanNH	seaRM	19			20	PU	vanNH
2	vanNH	seaRM	20			6		vanNH
2	vanNH	seaRM	21	18	PU			vanNH
2	vanNH	seaRM	22	8				vanNH
2	vanNH	seaRM	23	31				vanNH
2	vanNH	seaRM	24	18	A			vanNH
2	vanNH	seaRM	25	8	LG			vanNH
3	vanNH	seaRM	1	33	P			seaRM
3	vanNH	seaRM	2			17		seaRM
3	vanNH	seaRM	3			20		seaRM
3	vanNH	seaRM	4			48	LA	seaRM
3	vanNH	seaRM	5			6	G	seaRM
4	seaRM	vanNH	1	?	P			seaRM
4	seaRM	vanNH	2			91		seaRM
4	seaRM	vanNH	3			89		seaRM
4	seaRM	vanNH	4			91		seaRM
4	seaRM	vanNH	5			89	TD	seaRM
4	seaRM	vanNH	6	21	PU			seaRM
4	seaRM	vanNH	7	9				seaRM
4	seaRM	vanNH	8	23				seaRM
4	seaRM	vanNH	9	9	A			seaRM
4	seaRM	vanNH	10	29	G			seaRM
5	seaRM	vanNH	1	16	P			vanNH
5	seaRM	vanNH	2			5	PU	vanNH
5	seaRM	vanNH	3			91		vanNH
5	seaRM	vanNH	4			5		vanNH
5	seaRM	vanNH	5			98		vanNH
5	seaRM	vanNH	6			21		vanNH
5	seaRM	vanNH	7			22		vanNH
5	seaRM	vanNH	8			21		vanNH
5	seaRM	vanNH	9			91		vanNH
5	seaRM	vanNH	10			22		vanNH
5	seaRM	vanNH	11			98		vanNH
5	seaRM	vanNH	12			91		vanNH
5	seaRM	vanNH	13			13	TD	vanNH
5	seaRM	vanNH	14	29	PU			vanNH
5	seaRM	vanNH	15	21				vanNH
5	seaRM	vanNH	16	29				vanNH
5	seaRM	vanNH	17	21				vanNH
5	seaRM	vanNH	18	21				vanNH
5	seaRM	vanNH	19			91	PU	vanNH
5	seaRM	vanNH	20			98		vanNH
5	seaRM	vanNH	21			22	LA	vanNH
5	seaRM	vanNH	22			13	G	vanNH
6	vanNH	seaRM	1	8	OBP			seaRM
