point	event	pullNum	pullCode	recvNum	recvCode
1	1	24	P		
1	2			19	PU
1	3			89	
1	4			19	
1	5			89	
1	6			21	
1	7			19	
1	8			5	
1	9			19	
1	10			98	
1	11			21	
1	12			19	
1	13			5	
1	14			19	
1	15	21	F		
1	16			5	
1	17			89	
1	18			5	
1	19			72	
1	20			89	
1	21			10	G
2	1	8	P		
2	2			20	PU
2	3			6	
2	4			51	
2	5	18	PU		
2	6	8			
2	7	24			
2	8	18			
2	9			1	PU
2	10			20	
2	11			6	
2	12			20	
2	13	24	D		
2	14	18	PU		
2	15	13			
2	16	45			
2	17	24			
2	18	45			
2	19			20	PU
2	20			6	
2	21	18	PU		
2	22	8			
2	23	31			
2	24	18			
2	25	8	LG		
3	1	33	P		
3	2			17	PU
3	3			20	
3	4			48	L
3	5			6	G
4	1	?	P		
4	2			91	PU
4	3			89	
4	4			91	
4	5			89	TD
4	6	21	PU		
4	7	9			
4	8	23			
4	9	9			
4	10	29	G		
5	1	16	P		
5	2			5	PU
5	3			91	
5	4			5	
5	5			98	
5	6			21	
5	7			22	
5	8			21	
5	9			91	
5	10			22	
5	11			98	
5	12			91	
5	13			13	TD
5	14	29	PU		
5	15	21			
5	16	29			
5	17	21			
5	18	21			
5	19			91	PU
5	20			98	
5	21			22	L
5	22			13	G
6	1	8	OBP		
6	2			20	PU
6	3			1	
6	4			?	
6	5			99	
6	6			48	
6	7			20	
6	8	45	PU		
6	9	31			
6	10	8			
6	11	45			
6	12	31			
6	13			20	PU
6	14			17	
6	15			6	
6	16			48	LG
7	1	18	P		
7	2			5	PU
7	3			19	
7	4			5	
7	5			91	
7	6			21	
7	7			91	
7	8			5	
7	9			91	
7	10			98	
7	11			10	
7	12			5	
7	13			22	G
8	1	8	P		
8	2			?	PU
8	3			20	
8	4			1	
8	5			25	
8	6			99	
8	7			48	LG
9	1	18	P		
9	2			89	PU
9	3			5	
9	4			98	
9	5			21	
9	6			22	
9	7			72	
9	8			22	
9	9			91	
9	10			5	
9	11			21	L
9	12			98	G
10	1	?	P		
10	2			?	PU
10	3			6	
10	4			17	L
10	5			6	
10	6			48	G
11	1	40	P		
11	2			19	PU
11	3			21	
11	4			98	
11	5			19	
11	6			89	
11	7			10	
11	8			89	
11	9			5	
11	10			89	
11	11			21	
11	12			98	G
12	1	8	P		
12	2			17	PU
12	3			1	
12	4	8	D		
13	1	81	P		
13	2			20	PU
13	3			6	
13	4			20	
13	5			1	
13	6			17	
13	7			1	
13	8			99	
13	9			17	
13	10			26	
13	11			6	
13	12			26	
13	13			48	
13	14			6	
13	15			20	
13	16			48	G
14	1	18	P		
14	2			5	PU
14	3			91	
14	4			21	
14	5			19	
14	6			22	LG
15	1	33	OBP		
15	2			18	PU
15	3	7	D		
15	4	18	PU		
15	5	8			
15	6	14	G		
16	1	37	P		
16	2			17	PU
16	3			20	
16	4			99	
16	5			17	
16	6			1	
16	7			17	
16	8			6	
16	9	13	D		
16	10	13	SO		
16	11			1	SO
16	12	21	SI		
16	13			9	SI
16	14	45	PU		
16	15	21			
16	16	27			
16	17	8			
16	18	45	L		
16	19	37	G		
17	1	33	P		
17	2			20	PU
17	3			1	
17	4			17	
17	5			1	
17	6			20	
17	7	18	F		
17	8			1	
17	9			17	
17	10			20	
17	11			48	G
18	1	24	P		
18	2			19	PU
18	3			89	
18	4			98	
18	5			22	
18	6			91	LG
19	1	37	P		
19	2			1	PU
19	3			20	
19	4			99	
19	5			6	
19	6	24	D		
19	7	45	PU		
19	8	27	L		
19	9			48	D
19	10			20	PU
19	11			17	
19	12			20	
19	13			1	L
19	14			6	
19	15			99	G
20	1	18	P		
20	2			19	PU
20	3			5	
20	4			21	
20	5			5	
20	6			19	
20	7			89	
20	8			22	
20	9			21	
20	10			72	
20	11			21	
20	12			19	
20	13			89	
20	14			21	
20	15	23	D		
20	16	23			
20	17	29			
20	18			5	PU
20	19			72	G
21	1	8	P		
21	2			20	PU
21	3			17	
21	4			25	
21	5			20	
21	6			8	LG
22	1	?	P		
22	2			5	PU
22	3			21	
22	4			5	
22	5			89	
22	6			91	
22	7			10	
22	8			91	
22	9			21	G
23	1	33	P		
23	2			20	PU
23	3			1	
23	4			20	
23	5			17	
23	6			8	
23	7			20	
23	8			48	
23	9	8	F		
23	10			1	
23	11			99	
23	12			1	
23	13			17	
23	14			48	G
24	1	18	P		
24	2			19	PU
24	3			91	
24	4			21	
24	5			10	
24	6	23	D		
24	7	23	TO		
24	8	20	PU		
24	9	1			
24	10	17			
24	11	25			
24	12	48			
24	13	99			
24	14	6			
24	15	17			
24	16	25			
24	17			81	TO
24	18			5	PU
24	19			19	
24	20			98	
24	21			10	L
24	22			21	
24	23			5	
24	24			89	
24	25			5	
24	26			21	
24	27			19	
24	28			5	
24	29			72	G
25	1	33	P		
25	2			6	PU
25	3			20	
25	4			99	
25	5			17	
25	6	22	F		
25	7			1	
25	8	24	D		
25	9	27	PU		
25	10	45			
26	1	29	P		
26	2			89	PU
26	3			19	
26	4			5	
26	5			98	
26	6			21	
26	7	18	D		
26	8	29	PU		
26	9	9			
26	10	29			
26	11	9			
26	12	29			
26	13	9			
26	14	21	L		
26	15	15			
26	16	18			
26	17	29			
26	18	15	G		
27	1	29	P		
27	2			91	PU
27	3			89	
27	4			22	
27	5			89	
27	6			75	
27	7			13	G
28	1	81	P		
28	2			1	PU
28	3			20	
28	4			1	
28	5			20	
28	6			17	
28	7			25	L
28	8			1	
28	9			17	
28	10			20	
28	11			8	
28	12			20	
28	13			17	
28	14			20	
28	15			17	
28	16			48	G
29	1	29	P		
29	2			19	PU
29	3			91	
29	4			22	
29	5			72	
29	6			98	LG
30	1	33	P		
30	2			17	PU
30	3			20	
30	4			25	
30	5			1	
30	6			25	
30	7			1	
30	8			48	
30	9			6	G
31	1	29	P		
31	2			89	PU
31	3			5	
31	4			21	
31	5			22	
31	6			10	
31	7	15	D		
