period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	seaRM	1	1	1	vanNH	seaRM	24	P
1	1	seaRM	2	1	1	vanNH	vanNH	19	PU
1	1	seaRM	3	1	1	vanNH	vanNH	89	
1	1	seaRM	4	1	1	vanNH	vanNH	19	
1	1	seaRM	5	1	1	vanNH	vanNH	89	
1	1	seaRM	6	1	1	vanNH	vanNH	21	
1	1	seaRM	7	1	1	vanNH	vanNH	19	
1	1	seaRM	8	1	1	vanNH	vanNH	5	
1	1	seaRM	9	1	1	vanNH	vanNH	19	
1	1	seaRM	10	1	1	vanNH	vanNH	98	
1	1	seaRM	11	1	1	vanNH	vanNH	21	
1	1	seaRM	12	1	1	vanNH	vanNH	19	
1	1	seaRM	13	1	1	vanNH	vanNH	5	
1	1	seaRM	14	1	1	vanNH	vanNH	19	
1	1	seaRM	15	1	1	vanNH	seaRM	21	F
1	1	seaRM	16	1	1	vanNH	vanNH	5	
1	1	seaRM	17	1	1	vanNH	vanNH	89	
1	1	seaRM	18	1	1	vanNH	vanNH	5	
1	1	seaRM	19	1	1	vanNH	vanNH	72	
1	1	seaRM	20	1	1	vanNH	vanNH	89	A
1	1	seaRM	21	1	1	vanNH	vanNH	10	G
1	2	vanNH	1	2	1	seaRM	vanNH	8	P
1	2	vanNH	2	2	1	seaRM	seaRM	20	PU
1	2	vanNH	3	2	1	seaRM	seaRM	6	
1	2	vanNH	4	2	1	seaRM	seaRM	51	
1	2	vanNH	5	3	2	vanNH	vanNH	18	PU
1	2	vanNH	6	3	2	vanNH	vanNH	8	
1	2	vanNH	7	3	2	vanNH	vanNH	24	
1	2	vanNH	8	3	2	vanNH	vanNH	18	
1	2	vanNH	9	4	3	seaRM	seaRM	1	PU
1	2	vanNH	10	4	3	seaRM	seaRM	20	
1	2	vanNH	11	4	3	seaRM	seaRM	6	
1	2	vanNH	12	4	3	seaRM	seaRM	20	
1	2	vanNH	13	4	3	seaRM	vanNH	24	D
1	2	vanNH	14	5	4	vanNH	vanNH	18	PU
1	2	vanNH	15	5	4	vanNH	vanNH	13	
1	2	vanNH	16	5	4	vanNH	vanNH	45	
1	2	vanNH	17	5	4	vanNH	vanNH	24	
1	2	vanNH	18	5	4	vanNH	vanNH	45	
1	2	vanNH	19	6	5	seaRM	seaRM	20	PU
1	2	vanNH	20	6	5	seaRM	seaRM	6	
1	2	vanNH	21	7	6	vanNH	vanNH	18	PU
1	2	vanNH	22	7	6	vanNH	vanNH	8	
1	2	vanNH	23	7	6	vanNH	vanNH	31	
1	2	vanNH	24	7	6	vanNH	vanNH	18	A
1	2	vanNH	25	7	6	vanNH	vanNH	8	LG
1	3	vanNH	1	8	1	seaRM	vanNH	33	P
1	3	vanNH	2	8	1	seaRM	seaRM	17	PU
1	3	vanNH	3	8	1	seaRM	seaRM	20	
1	3	vanNH	4	8	1	seaRM	seaRM	48	LA
1	3	vanNH	5	8	1	seaRM	seaRM	6	G
1	4	seaRM	1	9	1	vanNH	seaRM	?	P
1	4	seaRM	2	9	1	vanNH	vanNH	91	PU
1	4	seaRM	3	9	1	vanNH	vanNH	89	
1	4	seaRM	4	9	1	vanNH	vanNH	91	
1	4	seaRM	5	9	1	vanNH	vanNH	89	TD
1	4	seaRM	6	10	2	seaRM	seaRM	21	PU
1	4	seaRM	7	10	2	seaRM	seaRM	9	
1	4	seaRM	8	10	2	seaRM	seaRM	23	
1	4	seaRM	9	10	2	seaRM	seaRM	9	A
1	4	seaRM	10	10	2	seaRM	seaRM	29	G
1	5	seaRM	1	11	1	vanNH	seaRM	16	P
1	5	seaRM	2	11	1	vanNH	vanNH	5	PU
1	5	seaRM	3	11	1	vanNH	vanNH	91	
1	5	seaRM	4	11	1	vanNH	vanNH	5	
1	5	seaRM	5	11	1	vanNH	vanNH	98	
1	5	seaRM	6	11	1	vanNH	vanNH	21	
1	5	seaRM	7	11	1	vanNH	vanNH	22	
1	5	seaRM	8	11	1	vanNH	vanNH	21	
1	5	seaRM	9	11	1	vanNH	vanNH	91	
