poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr
1	1	1	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-89
1	1	1	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-19
1	1	1	4	5	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-89
1	1	1	5	6	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-21
1	1	1	6	7	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-19
1	1	1	7	8	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-5
1	1	1	8	9	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-19
1	1	1	9	10	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-98
1	1	1	10	11	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-21
1	1	1	11	12	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-19
1	1	1	12	13	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-5
1	1	1	13	14	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-19
1	1	1	14	16	ao	1	O-CTH	vanNH-19	D-F	O-CTH	vanNH-5
1	1	1	16	17	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-89
1	1	1	17	18	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-5
1	1	1	18	19	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-72
1	1	1	19	20	ao	0	O-CTH	vanNH-72		O-CTH	vanNH-89
1	1	1	20	21	ao	0	O-CTH	vanNH-89		O-G	vanNH-10
2	1	2	2	3	ao	0	O-PU	seaRM-20		O-CTH	seaRM-6
2	1	2	3	4	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-51
2	1	2	4	4	an	-1	O-CTH	seaRM-51		NA	seaRM-51
3	2	2	5	6	ao	0	O-PU	vanNH-18		O-CTH	vanNH-8
3	2	2	6	7	ao	0	O-CTH	vanNH-8		O-CTH	vanNH-24
3	2	2	7	8	ao	0	O-CTH	vanNH-24		O-CTH	vanNH-18
3	2	2	8	8	an	-1	O-CTH	vanNH-18		NA	vanNH-18
4	3	2	9	10	ao	0	O-PU	seaRM-1		O-CTH	seaRM-20
4	3	2	10	11	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-6
4	3	2	11	12	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-20
4	3	2	12	13	ao	0	O-CTH	seaRM-20		D-D	vanNH-24
5	4	2	14	15	ao	0	O-PU	vanNH-18		O-CTH	vanNH-13
5	4	2	15	16	ao	0	O-CTH	vanNH-13		O-CTH	vanNH-45
5	4	2	16	17	ao	0	O-CTH	vanNH-45		O-CTH	vanNH-24
5	4	2	17	18	ao	0	O-CTH	vanNH-24		O-CTH	vanNH-45
5	4	2	18	18	an	-1	O-CTH	vanNH-45		NA	vanNH-45
6	5	2	19	20	ao	0	O-PU	seaRM-20		O-CTH	seaRM-6
6	5	2	20	20	an	-1	O-CTH	seaRM-6		NA	seaRM-6
7	6	2	21	22	ao	0	O-PU	vanNH-18		O-CTH	vanNH-8
7	6	2	22	23	ao	0	O-CTH	vanNH-8		O-CTH	vanNH-31
7	6	2	23	24	ao	0	O-CTH	vanNH-31		O-CTH	vanNH-18
7	6	2	24	25	ao	0	O-CTH	vanNH-18		O-G	vanNH-8
8	1	3	2	3	ao	0	O-PU	seaRM-17		O-CTH	seaRM-20
8	1	3	3	4	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-48
8	1	3	4	5	ao	0	O-CTH	seaRM-48		O-G	seaRM-6
9	1	4	2	3	ao	0	O-PU	vanNH-91		O-CTH	vanNH-89
9	1	4	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-91
9	1	4	4	5	ao	0	O-CTH	vanNH-91		O-TD	vanNH-89
10	2	4	6	7	ao	0	O-PU	seaRM-21		O-CTH	seaRM-9
10	2	4	7	8	ao	0	O-CTH	seaRM-9		O-CTH	seaRM-23
10	2	4	8	9	ao	0	O-CTH	seaRM-23		O-CTH	seaRM-9
10	2	4	9	10	ao	0	O-CTH	seaRM-9		O-G	seaRM-29
11	1	5	2	3	ao	0	O-PU	vanNH-5		O-CTH	vanNH-91
11	1	5	3	4	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-5
11	1	5	4	5	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-98
11	1	5	5	6	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-21
11	1	5	6	7	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-22
11	1	5	7	8	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-21
11	1	5	8	9	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-91
11	1	5	9	10	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-22
11	1	5	10	11	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-98
11	1	5	11	12	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-91
11	1	5	12	13	ao	0	O-CTH	vanNH-91		O-TD	vanNH-13
12	2	5	14	15	ao	0	O-PU	seaRM-29		O-CTH	seaRM-21
12	2	5	15	16	ao	0	O-CTH	seaRM-21		O-CTH	seaRM-29
12	2	5	16	17	ao	0	O-CTH	seaRM-29		O-CTH	seaRM-21
12	2	5	17	18	ao	0	O-CTH	seaRM-21		O-CTH	seaRM-21
12	2	5	18	18	an	-1	O-CTH	seaRM-21		NA	seaRM-21
13	3	5	19	20	ao	0	O-PU	vanNH-91		O-CTH	vanNH-98
13	3	5	20	21	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-22
13	3	5	21	22	ao	0	O-CTH	vanNH-22		O-G	vanNH-13
14	1	6	2	3	ao	0	O-PU	seaRM-20		O-CTH	seaRM-1
14	1	6	3	4	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-?
14	1	6	4	5	ao	0	O-CTH	seaRM-?		O-CTH	seaRM-99
14	1	6	5	6	ao	0	O-CTH	seaRM-99		O-CTH	seaRM-48
14	1	6	6	7	ao	0	O-CTH	seaRM-48		O-CTH	seaRM-20
14	1	6	7	7	an	-1	O-CTH	seaRM-20		NA	seaRM-20
15	2	6	8	9	ao	0	O-PU	vanNH-45		O-CTH	vanNH-31
15	2	6	9	10	ao	0	O-CTH	vanNH-31		O-CTH	vanNH-8
15	2	6	10	11	ao	0	O-CTH	vanNH-8		O-CTH	vanNH-45
15	2	6	11	12	ao	0	O-CTH	vanNH-45		O-CTH	vanNH-31
15	2	6	12	12	an	-1	O-CTH	vanNH-31		NA	vanNH-31
16	3	6	13	14	ao	0	O-PU	seaRM-20		O-CTH	seaRM-17
16	3	6	14	15	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-6
16	3	6	15	16	ao	0	O-CTH	seaRM-6		O-G	seaRM-48
17	1	7	2	3	ao	0	O-PU	vanNH-5		O-CTH	vanNH-19
17	1	7	3	4	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-5
17	1	7	4	5	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-91
17	1	7	5	6	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-21
17	1	7	6	7	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-91
17	1	7	7	8	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-5
17	1	7	8	9	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-91
17	1	7	9	10	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-98
17	1	7	10	11	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-10
17	1	7	11	12	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-5
17	1	7	12	13	ao	0	O-CTH	vanNH-5		O-G	vanNH-22
18	1	8	2	3	ao	0	O-PU	seaRM-?		O-CTH	seaRM-20
18	1	8	3	4	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-1
18	1	8	4	5	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-25
18	1	8	5	6	ao	0	O-CTH	seaRM-25		O-CTH	seaRM-99
18	1	8	6	7	ao	0	O-CTH	seaRM-99		O-G	seaRM-48
19	1	9	2	3	ao	0	O-PU	vanNH-89		O-CTH	vanNH-5
19	1	9	3	4	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-98
19	1	9	4	5	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-21
19	1	9	5	6	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-22
19	1	9	6	7	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-72
19	1	9	7	8	ao	0	O-CTH	vanNH-72		O-CTH	vanNH-22
19	1	9	8	9	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-91
19	1	9	9	10	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-5
19	1	9	10	11	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-21
19	1	9	11	12	ao	0	O-CTH	vanNH-21		O-G	vanNH-98
20	1	10	2	3	ao	0	O-PU	seaRM-?		O-CTH	seaRM-6
20	1	10	3	4	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-17
20	1	10	4	5	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-6
20	1	10	5	6	ao	0	O-CTH	seaRM-6		O-G	seaRM-48
21	1	11	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-21
21	1	11	3	4	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-98
21	1	11	4	5	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-19
21	1	11	5	6	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-89
21	1	11	6	7	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-10
21	1	11	7	8	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-89
21	1	11	8	9	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-5
21	1	11	9	10	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-89
21	1	11	10	11	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-21
21	1	11	11	12	ao	0	O-CTH	vanNH-21		O-G	vanNH-98
22	1	12	2	3	ao	0	O-PU	seaRM-17		O-CTH	seaRM-1
22	1	12	3	4	ao	0	O-CTH	seaRM-1		D-D	vanNH-8
23	1	13	2	3	ao	0	O-PU	seaRM-20		O-CTH	seaRM-6
23	1	13	3	4	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-20
23	1	13	4	5	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-1
23	1	13	5	6	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-17
23	1	13	6	7	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-1
23	1	13	7	8	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-99
23	1	13	8	9	ao	0	O-CTH	seaRM-99		O-CTH	seaRM-17
23	1	13	9	10	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-26
23	1	13	10	11	ao	0	O-CTH	seaRM-26		O-CTH	seaRM-6
23	1	13	11	12	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-26
23	1	13	12	13	ao	0	O-CTH	seaRM-26		O-CTH	seaRM-48
23	1	13	13	14	ao	0	O-CTH	seaRM-48		O-CTH	seaRM-6
23	1	13	14	15	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-20
23	1	13	15	16	ao	0	O-CTH	seaRM-20		O-G	seaRM-48
24	1	14	2	3	ao	0	O-PU	vanNH-5		O-CTH	vanNH-91
24	1	14	3	4	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-21
24	1	14	4	5	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-19
24	1	14	5	6	ao	0	O-CTH	vanNH-19		O-G	vanNH-22
25	1	15	2	3	ao	0	O-PU	seaRM-18		D-D	vanNH-7
26	2	15	4	5	ao	0	O-PU	vanNH-18		O-CTH	vanNH-8
26	2	15	5	6	ao	0	O-CTH	vanNH-8		O-G	vanNH-14
27	1	16	2	3	ao	0	O-PU	seaRM-17		O-CTH	seaRM-20
27	1	16	3	4	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-99
27	1	16	4	5	ao	0	O-CTH	seaRM-99		O-CTH	seaRM-17
27	1	16	5	6	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-1
27	1	16	6	7	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-17
27	1	16	7	8	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-6
27	1	16	8	9	ao	0	O-CTH	seaRM-6		D-D	vanNH-13
28	2	16	14	15	ao	0	O-PU	vanNH-45		O-CTH	vanNH-21
28	2	16	15	16	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-27
28	2	16	16	17	ao	0	O-CTH	vanNH-27		O-CTH	vanNH-8
28	2	16	17	18	ao	0	O-CTH	vanNH-8		O-CTH	vanNH-45
28	2	16	18	19	ao	0	O-CTH	vanNH-45		O-G	vanNH-37
29	1	17	2	3	ao	0	O-PU	seaRM-20		O-CTH	seaRM-1
29	1	17	3	4	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-17
29	1	17	4	5	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-1
29	1	17	5	6	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-20
29	1	17	6	8	ao	1	O-CTH	seaRM-20	D-F	O-CTH	seaRM-1
29	1	17	8	9	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-17
29	1	17	9	10	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-20
29	1	17	10	11	ao	0	O-CTH	seaRM-20		O-G	seaRM-48
30	1	18	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-89
30	1	18	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-98
30	1	18	4	5	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-22
30	1	18	5	6	ao	0	O-CTH	vanNH-22		O-G	vanNH-91
31	1	19	2	3	ao	0	O-PU	seaRM-1		O-CTH	seaRM-20
31	1	19	3	4	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-99
31	1	19	4	5	ao	0	O-CTH	seaRM-99		O-CTH	seaRM-6
31	1	19	5	6	ao	0	O-CTH	seaRM-6		D-D	vanNH-24
32	2	19	7	8	ao	0	O-PU	vanNH-45		O-CTH	vanNH-27
32	2	19	8	9	ao	0	O-CTH	vanNH-27		D-D	seaRM-48
33	3	19	10	11	ao	0	O-PU	seaRM-20		O-CTH	seaRM-17
33	3	19	11	12	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-20
33	3	19	12	13	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-1
33	3	19	13	14	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-6
33	3	19	14	15	ao	0	O-CTH	seaRM-6		O-G	seaRM-99
34	1	20	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-5
34	1	20	3	4	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-21
34	1	20	4	5	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-5
34	1	20	5	6	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-19
34	1	20	6	7	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-89
34	1	20	7	8	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-22
34	1	20	8	9	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-21
34	1	20	9	10	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-72
34	1	20	10	11	ao	0	O-CTH	vanNH-72		O-CTH	vanNH-21
34	1	20	11	12	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-19
34	1	20	12	13	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-89
34	1	20	13	14	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-21
34	1	20	14	15	ao	0	O-CTH	vanNH-21		D-D	seaRM-23
35	2	20	16	17	ao	0	O-CTH	seaRM-23		O-CTH	seaRM-29
35	2	20	17	17	an	-1	O-CTH	seaRM-29		NA	seaRM-29
36	3	20	18	19	ao	0	O-PU	vanNH-5		O-G	vanNH-72
37	1	21	2	3	ao	0	O-PU	seaRM-20		O-CTH	seaRM-17
37	1	21	3	4	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-25
37	1	21	4	5	ao	0	O-CTH	seaRM-25		O-CTH	seaRM-20
37	1	21	5	6	ao	0	O-CTH	seaRM-20		O-G	seaRM-8
38	1	22	2	3	ao	0	O-PU	vanNH-5		O-CTH	vanNH-21
38	1	22	3	4	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-5
38	1	22	4	5	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-89
38	1	22	5	6	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-91
38	1	22	6	7	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-10
38	1	22	7	8	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-91
38	1	22	8	9	ao	0	O-CTH	vanNH-91		O-G	vanNH-21
39	1	23	2	3	ao	0	O-PU	seaRM-20		O-CTH	seaRM-1
39	1	23	3	4	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-20
39	1	23	4	5	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-17
39	1	23	5	6	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-8
39	1	23	6	7	ao	0	O-CTH	seaRM-8		O-CTH	seaRM-20
39	1	23	7	8	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-48
39	1	23	8	10	ao	1	O-CTH	seaRM-48	D-F	O-CTH	seaRM-1
39	1	23	10	11	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-99
39	1	23	11	12	ao	0	O-CTH	seaRM-99		O-CTH	seaRM-1
39	1	23	12	13	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-17
39	1	23	13	14	ao	0	O-CTH	seaRM-17		O-G	seaRM-48
40	1	24	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-91
40	1	24	3	4	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-21
40	1	24	4	5	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-10
40	1	24	5	6	ao	0	O-CTH	vanNH-10		D-D	seaRM-23
41	2	24	8	9	ao	0	O-PU	seaRM-20		O-CTH	seaRM-1
41	2	24	9	10	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-17
