period	point	event	pl_team	pl_player	pl_code
1	1	1	seaRM	24	P
1	1	2	vanNH	19	PU
1	1	3	vanNH	89	
1	1	4	vanNH	19	
1	1	5	vanNH	89	
1	1	6	vanNH	21	
1	1	7	vanNH	19	
1	1	8	vanNH	5	
1	1	9	vanNH	19	
1	1	10	vanNH	98	
1	1	11	vanNH	21	
1	1	12	vanNH	19	
1	1	13	vanNH	5	
1	1	14	vanNH	19	
1	1	15	seaRM	21	F
1	1	16	vanNH	5	
1	1	17	vanNH	89	
1	1	18	vanNH	5	
1	1	19	vanNH	72	
1	1	20	vanNH	89	A
1	1	21	vanNH	10	G
1	2	1	vanNH	8	P
1	2	2	seaRM	20	PU
1	2	3	seaRM	6	
1	2	4	seaRM	51	
1	2	5	vanNH	18	PU
1	2	6	vanNH	8	
1	2	7	vanNH	24	
1	2	8	vanNH	18	
1	2	9	seaRM	1	PU
1	2	10	seaRM	20	
1	2	11	seaRM	6	
1	2	12	seaRM	20	
1	2	13	vanNH	24	D
1	2	14	vanNH	18	PU
1	2	15	vanNH	13	
1	2	16	vanNH	45	
1	2	17	vanNH	24	
1	2	18	vanNH	45	
1	2	19	seaRM	20	PU
1	2	20	seaRM	6	
1	2	21	vanNH	18	PU
1	2	22	vanNH	8	
1	2	23	vanNH	31	
1	2	24	vanNH	18	A
1	2	25	vanNH	8	LG
1	3	1	vanNH	33	P
1	3	2	seaRM	17	PU
1	3	3	seaRM	20	
1	3	4	seaRM	48	LA
1	3	5	seaRM	6	G
1	4	1	seaRM	?	P
1	4	2	vanNH	91	PU
1	4	3	vanNH	89	
1	4	4	vanNH	91	
1	4	5	vanNH	89	TD
1	4	6	seaRM	21	PU
1	4	7	seaRM	9	
1	4	8	seaRM	23	
1	4	9	seaRM	9	A
1	4	10	seaRM	29	G
1	5	1	seaRM	16	P
1	5	2	vanNH	5	PU
1	5	3	vanNH	91	
1	5	4	vanNH	5	
1	5	5	vanNH	98	
1	5	6	vanNH	21	
1	5	7	vanNH	22	
1	5	8	vanNH	21	
1	5	9	vanNH	91	
1	5	10	vanNH	22	
1	5	11	vanNH	98	
1	5	12	vanNH	91	
1	5	13	vanNH	13	TD
1	5	14	seaRM	29	PU
1	5	15	seaRM	21	
1	5	16	seaRM	29	
1	5	17	seaRM	21	
1	5	18	seaRM	21	
1	5	19	vanNH	91	PU
1	5	20	vanNH	98	
1	5	21	vanNH	22	LA
1	5	22	vanNH	13	G
1	6	1	vanNH	8	OBP
1	6	2	seaRM	20	PU
1	6	3	seaRM	1	
1	6	4	seaRM	?	
1	6	5	seaRM	99	
1	6	6	seaRM	48	
1	6	7	seaRM	20	
1	6	8	vanNH	45	PU
1	6	9	vanNH	31	
1	6	10	vanNH	8	
1	6	11	vanNH	45	
1	6	12	vanNH	31	
1	6	13	seaRM	20	PU
1	6	14	seaRM	17	
1	6	15	seaRM	6	A
1	6	16	seaRM	48	LG
1	7	1	seaRM	18	P
1	7	2	vanNH	5	PU
1	7	3	vanNH	19	
1	7	4	vanNH	5	
1	7	5	vanNH	91	
1	7	6	vanNH	21	
1	7	7	vanNH	91	
1	7	8	vanNH	5	
1	7	9	vanNH	91	
1	7	10	vanNH	98	
1	7	11	vanNH	10	
1	7	12	vanNH	5	A
1	7	13	vanNH	22	G
1	8	1	vanNH	8	P
1	8	2	seaRM	?	PU
1	8	3	seaRM	20	
1	8	4	seaRM	1	
1	8	5	seaRM	25	
1	8	6	seaRM	99	A
1	8	7	seaRM	48	LG
1	9	1	seaRM	18	P
1	9	2	vanNH	89	PU
1	9	3	vanNH	5	
1	9	4	vanNH	98	
1	9	5	vanNH	21	
1	9	6	vanNH	22	
1	9	7	vanNH	72	
1	9	8	vanNH	22	
1	9	9	vanNH	91	
1	9	10	vanNH	5	
1	9	11	vanNH	21	LA
1	9	12	vanNH	98	G
1	10	1	vanNH	?	P
1	10	2	seaRM	?	PU
1	10	3	seaRM	6	
1	10	4	seaRM	17	L
1	10	5	seaRM	6	A
1	10	6	seaRM	48	G
1	11	1	seaRM	40	P
1	11	2	vanNH	19	PU
1	11	3	vanNH	21	
1	11	4	vanNH	98	
1	11	5	vanNH	19	
1	11	6	vanNH	89	
1	11	7	vanNH	10	
1	11	8	vanNH	89	
1	11	9	vanNH	5	
1	11	10	vanNH	89	
1	11	11	vanNH	21	A
1	11	12	vanNH	98	G
1	12	1	vanNH	8	P
1	12	2	seaRM	17	PU
1	12	3	seaRM	1	
1	12	4	vanNH	8	D
2	13	1	vanNH	81	P
2	13	2	seaRM	20	PU
2	13	3	seaRM	6	
2	13	4	seaRM	20	
2	13	5	seaRM	1	
2	13	6	seaRM	17	
2	13	7	seaRM	1	
2	13	8	seaRM	99	
2	13	9	seaRM	17	
2	13	10	seaRM	26	
2	13	11	seaRM	6	
2	13	12	seaRM	26	
2	13	13	seaRM	48	
2	13	14	seaRM	6	
2	13	15	seaRM	20	A
2	13	16	seaRM	48	G
2	14	1	seaRM	18	P
2	14	2	vanNH	5	PU
2	14	3	vanNH	91	
2	14	4	vanNH	21	
2	14	5	vanNH	19	A
2	14	6	vanNH	22	LG
2	15	1	vanNH	33	OBP
2	15	2	seaRM	18	PU
2	15	3	vanNH	7	D
2	15	4	vanNH	18	PU
2	15	5	vanNH	8	A
2	15	6	vanNH	14	G
2	16	1	vanNH	37	P
2	16	2	seaRM	17	PU
2	16	3	seaRM	20	
2	16	4	seaRM	99	
2	16	5	seaRM	17	
2	16	6	seaRM	1	
2	16	7	seaRM	17	
2	16	8	seaRM	6	
2	16	9	vanNH	13	D
2	16	10	vanNH	13	SO
2	16	11	seaRM	1	SO
2	16	12	vanNH	21	SI
2	16	13	seaRM	9	SI
2	16	14	vanNH	45	PU
2	16	15	vanNH	21	
2	16	16	vanNH	27	
2	16	17	vanNH	8	
2	16	18	vanNH	45	LA
2	16	19	vanNH	37	G
2	17	1	vanNH	33	P
2	17	2	seaRM	20	PU
2	17	3	seaRM	1	
2	17	4	seaRM	17	
2	17	5	seaRM	1	
2	17	6	seaRM	20	
2	17	7	vanNH	18	F
2	17	8	seaRM	1	
2	17	9	seaRM	17	
2	17	10	seaRM	20	A
2	17	11	seaRM	48	G
2	18	1	seaRM	24	P
2	18	2	vanNH	19	PU
2	18	3	vanNH	89	
2	18	4	vanNH	98	
2	18	5	vanNH	22	A
2	18	6	vanNH	91	LG
2	19	1	vanNH	37	P
2	19	2	seaRM	1	PU
2	19	3	seaRM	20	
2	19	4	seaRM	99	
2	19	5	seaRM	6	
2	19	6	vanNH	24	D
2	19	7	vanNH	45	PU
2	19	8	vanNH	27	L
2	19	9	seaRM	48	D
2	19	10	seaRM	20	PU
2	19	11	seaRM	17	
2	19	12	seaRM	20	
2	19	13	seaRM	1	L
2	19	14	seaRM	6	A
2	19	15	seaRM	99	G
2	20	1	seaRM	18	P
2	20	2	vanNH	19	PU
2	20	3	vanNH	5	
2	20	4	vanNH	21	
2	20	5	vanNH	5	
2	20	6	vanNH	19	
2	20	7	vanNH	89	
2	20	8	vanNH	22	
2	20	9	vanNH	21	
2	20	10	vanNH	72	
2	20	11	vanNH	21	
2	20	12	vanNH	19	
2	20	13	vanNH	89	
2	20	14	vanNH	21	
2	20	15	seaRM	23	D
2	20	16	seaRM	23	
2	20	17	seaRM	29	
2	20	18	vanNH	5	PUA
2	20	19	vanNH	72	G
2	21	1	vanNH	8	P
2	21	2	seaRM	20	PU
2	21	3	seaRM	17	
2	21	4	seaRM	25	
2	21	5	seaRM	20	A
2	21	6	seaRM	8	LG
2	22	1	seaRM	?	P
2	22	2	vanNH	5	PU
2	22	3	vanNH	21	
2	22	4	vanNH	5	
2	22	5	vanNH	89	
2	22	6	vanNH	91	
2	22	7	vanNH	10	
2	22	8	vanNH	91	A
2	22	9	vanNH	21	G
2	23	1	vanNH	33	P
2	23	2	seaRM	20	PU
2	23	3	seaRM	1	
2	23	4	seaRM	20	
2	23	5	seaRM	17	
2	23	6	seaRM	8	
2	23	7	seaRM	20	
2	23	8	seaRM	48	
2	23	9	vanNH	8	F
2	23	10	seaRM	1	
2	23	11	seaRM	99	
2	23	12	seaRM	1	
2	23	13	seaRM	17	A
2	23	14	seaRM	48	G
2	24	1	seaRM	18	P
2	24	2	vanNH	19	PU
2	24	3	vanNH	91	
2	24	4	vanNH	21	
2	24	5	vanNH	10	
2	24	6	seaRM	23	D
2	24	7	seaRM	23	TO
2	24	8	seaRM	20	PU
2	24	9	seaRM	1	
2	24	10	seaRM	17	
2	24	11	seaRM	25	
2	24	12	seaRM	48	
2	24	13	seaRM	99	
2	24	14	seaRM	6	
2	24	15	seaRM	17	
2	24	16	seaRM	25	
2	24	17	vanNH	81	TO
2	24	18	vanNH	5	PU
2	24	19	vanNH	19	
2	24	20	vanNH	98	
2	24	21	vanNH	10	L
2	24	22	vanNH	21	
2	24	23	vanNH	5	
2	24	24	vanNH	89	
2	24	25	vanNH	5	
2	24	26	vanNH	21	
2	24	27	vanNH	19	
2	24	28	vanNH	5	A
2	24	29	vanNH	72	G
2	25	1	vanNH	33	P
2	25	2	seaRM	6	PU
2	25	3	seaRM	20	
2	25	4	seaRM	99	
2	25	5	seaRM	17	
2	25	6	vanNH	22	F
2	25	7	seaRM	1	
2	25	8	vanNH	24	D
2	25	9	vanNH	27	PU
2	25	10	vanNH	45	
3	26	1	seaRM	29	P
3	26	2	vanNH	89	PU
3	26	3	vanNH	19	
3	26	4	vanNH	5	
3	26	5	vanNH	98	
3	26	6	vanNH	21	
3	26	7	seaRM	18	D
3	26	8	seaRM	29	PU
3	26	9	seaRM	9	
3	26	10	seaRM	29	
3	26	11	seaRM	9	
3	26	12	seaRM	29	
3	26	13	seaRM	9	
3	26	14	seaRM	21	L
3	26	15	seaRM	15	
3	26	16	seaRM	18	
3	26	17	seaRM	29	A
3	26	18	seaRM	15	G
3	27	1	seaRM	29	P
3	27	2	vanNH	91	PU
3	27	3	vanNH	89	
3	27	4	vanNH	22	
3	27	5	vanNH	89	
3	27	6	vanNH	75	A
3	27	7	vanNH	13	G
3	28	1	vanNH	81	P
3	28	2	seaRM	1	PU
3	28	3	seaRM	20	
3	28	4	seaRM	1	
3	28	5	seaRM	20	
3	28	6	seaRM	17	
3	28	7	seaRM	25	L
3	28	8	seaRM	1	
3	28	9	seaRM	17	
3	28	10	seaRM	20	
3	28	11	seaRM	8	
3	28	12	seaRM	20	
3	28	13	seaRM	17	
3	28	14	seaRM	20	
3	28	15	seaRM	17	A
3	28	16	seaRM	48	G
3	29	1	seaRM	29	P
3	29	2	vanNH	19	PU
3	29	3	vanNH	91	
3	29	4	vanNH	22	
3	29	5	vanNH	72	A
3	29	6	vanNH	98	LG
3	30	1	vanNH	33	P
3	30	2	seaRM	17	PU
3	30	3	seaRM	20	
3	30	4	seaRM	25	
3	30	5	seaRM	1	
3	30	6	seaRM	25	
3	30	7	seaRM	1	
3	30	8	seaRM	48	A
3	30	9	seaRM	6	G
3	31	1	seaRM	29	P
3	31	2	vanNH	89	PU
3	31	3	vanNH	5	
3	31	4	vanNH	21	
3	31	5	vanNH	22	
3	31	6	vanNH	10	
3	31	7	seaRM	15	D
3	31	8	seaRM	15	
3	31	9	seaRM	21	
3	31	10	seaRM	15	
3	31	11	seaRM	29	
3	31	12	seaRM	18	TO
3	31	13	seaRM	20	PU
3	31	14	seaRM	1	
3	31	15	seaRM	17	
3	31	16	seaRM	99	
3	31	17	vanNH	81	F
3	31	18	seaRM	17	VTT
3	31	19	vanNH	45	PU
3	31	20	vanNH	81	
3	31	21	vanNH	8	A
3	31	22	vanNH	4	G
3	32	1	vanNH	33	P
3	32	2	seaRM	17	PU
3	32	3	seaRM	20	A
3	32	4	seaRM	48	G
3	33	1	seaRM	29	P
3	33	2	vanNH	5	PU
3	33	3	vanNH	19	
3	33	4	vanNH	5	
3	33	5	vanNH	22	
3	33	6	vanNH	19	
3	33	7	vanNH	5	
3	33	8	vanNH	98	
3	33	9	vanNH	5	
3	33	10	vanNH	19	
3	33	11	vanNH	5	A
3	33	12	vanNH	22	LG
3	34	1	vanNH	81	P
3	34	2	seaRM	17	PU
3	34	3	seaRM	25	
3	34	4	seaRM	17	
3	34	5	seaRM	1	
3	34	6	seaRM	48	
3	34	7	seaRM	1	A
3	34	8	seaRM	99	LG
3	35	1	seaRM	29	P
3	35	2	vanNH	89	PU
3	35	3	vanNH	5	
3	35	4	vanNH	21	
3	35	5	vanNH	72	A
3	35	6	vanNH	98	LG
3	36	1	vanNH	81	P
3	36	2	seaRM	1	PU
3	36	3	seaRM	20	
3	36	4	seaRM	17	
3	36	5	seaRM	25	
3	36	6	seaRM	8	
3	36	7	seaRM	1	TD
3	36	8	vanNH	45	PU
3	36	9	vanNH	31	LA
3	36	10	vanNH	4	G
3	37	1	vanNH	33	P
3	37	2	seaRM	25	PU
3	37	3	seaRM	1	
3	37	4	seaRM	17	
3	37	5	seaRM	48	
3	37	6	vanNH	14	HB
3	37	7	vanNH	33	PU
3	37	8	vanNH	18	
