point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	pdxST	seaRM	pt_dur	pt_dur_txt
1	1	10:00:00	9:52:00	pdxST	1	seaRM	hold	0	1	8	00:08
2	1	9:52:00	9:11:00	seaRM	1	pdxST	hold	1	1	41	00:41
3	1	9:11:00	8:27:00	pdxST	1	seaRM	hold	1	2	44	00:44
4	1	8:27:00	6:57:00	seaRM	3	pdxST	hold	2	2	90	01:30
5	1	6:57:00	6:21:00	pdxST	1	seaRM	hold	2	3	36	00:36
6	1	6:21:00	5:41:00	seaRM	2	seaRM	break	2	4	40	00:40
7	1	5:41:00	4:57:00	seaRM	2	seaRM	break	2	5	44	00:44
8	1	4:57:00	4:25:00	seaRM	2	seaRM	break	2	6	32	00:32
9	1	4:25:00	3:54:00	seaRM	1	pdxST	hold	3	6	31	00:31
10	1	3:54:00	2:15:00	pdxST	3	seaRM	hold	3	7	99	01:39
11	1	2:15:00	1:05:00	seaRM	2	seaRM	break	3	8	70	01:10
12	1	1:05:00	0:00:00	seaRM	NA	NA	NA	3	8	65	01:05
13	2	10:00:00	8:40:00	seaRM	1	pdxST	hold	4	8	80	01:20
14	2	8:40:00	6:32:00	pdxST	3	seaRM	hold	4	9	128	02:08
15	2	6:32:00	5:57:00	seaRM	1	pdxST	hold	5	9	35	00:35
16	2	5:57:00	5:33:00	pdxST	1	seaRM	hold	5	10	24	00:24
17	2	5:33:00	5:00:00	seaRM	1	pdxST	hold	6	10	33	00:33
18	2	5:00:00	4:46:00	pdxST	1	seaRM	hold	6	11	14	00:14
19	2	4:46:00	3:25:00	seaRM	1	pdxST	hold	7	11	81	01:21
20	2	3:25:00	2:01:00	pdxST	1	seaRM	hold	7	12	84	01:24
21	2	2:01:00	1:37:00	seaRM	1	pdxST	hold	8	12	24	00:24
22	2	1:37:00	0:45:00	pdxST	1	seaRM	hold	8	13	52	00:52
23	2	0:45:00	0:00:00	seaRM	NA	NA	NA	8	13	45	00:45
24	3	10:00:00	9:20:00	pdxST	1	seaRM	hold	8	14	40	00:40
25	3	9:20:00	8:27:00	seaRM	1	pdxST	hold	9	14	53	00:53
26	3	8:27:00	8:08:00	pdxST	2	pdxST	break	10	14	19	00:19
27	3	8:08:00	7:34:00	pdxST	1	seaRM	hold	10	15	34	00:34
28	3	7:34:00	5:05:00	seaRM	3	pdxST	hold	11	15	149	02:29
29	3	5:05:00	4:52:00	pdxST	1	seaRM	hold	11	16	13	00:13
30	3	4:52:00	4:38:00	seaRM	1	pdxST	hold	12	16	14	00:14
31	3	4:38:00	3:19:00	pdxST	2	pdxST	break	13	16	79	01:19
32	3	3:19:00	2:49:00	pdxST	1	seaRM	hold	13	17	30	00:30
33	3	2:49:00	2:30:00	seaRM	2	seaRM	break	13	18	19	00:19
34	3	2:30:00	1:53:00	seaRM	2	seaRM	break	13	19	37	00:37
35	3	1:53:00	1:39:00	seaRM	1	pdxST	hold	14	19	14	00:14
36	3	1:39:00	1:23:00	pdxST	1	seaRM	hold	14	20	16	00:16
37	3	1:23:00	0:45:00	seaRM	1	pdxST	hold	15	20	38	00:38
38	3	0:45:00	0:00:00	pdxST	NA	NA	NA	15	20	45	00:45
39	4	10:00:00	9:11:00	seaRM	3	pdxST	hold	16	20	49	00:49
40	4	9:11:00	8:14:00	pdxST	2	pdxST	break	17	20	57	00:57
41	4	8:14:00	8:27:00	pdxST	1	seaRM	hold	17	21	-13	-1:47
42	4	8:27:00	6:24:00	seaRM	1	pdxST	hold	18	21	123	02:03
43	4	6:24:00	6:21:00	pdxST	1	seaRM	hold	18	22	3	00:03
44	4	6:21:00	5:32:00	seaRM	3	pdxST	hold	19	22	49	00:49
45	4	5:32:00	4:56:00	pdxST	2	pdxST	break	20	22	36	00:36
46	4	4:56:00	2:11:00	pdxST	3	seaRM	hold	20	23	165	02:45
47	4	2:11:00	1:44:00	seaRM	1	pdxST	hold	21	23	27	00:27
48	4	1:44:00	1:07:00	pdxST	1	seaRM	hold	21	24	37	00:37
49	4	1:07:00	0:30:00	seaRM	2	seaRM	break	21	25	37	00:37
50	4	0:30:00	0:18:00	seaRM	1	pdxST	hold	22	25	12	00:12
51	4	0:18:00	0:00:00	pdxST	2	pdxST	break	23	25	18	00:18
