game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-05-17_seaRM-at-pdxST	pdxST-6	Bjorklund	9	0.86	4	5	22	19	27	1	0	pdxST	6
2014-05-17_seaRM-at-pdxST	pdxST-7	Friedman	6	0.96	4	2	27	26	30	1	0	pdxST	7
2014-05-17_seaRM-at-pdxST	pdxST-16	Burton	5	1	2	3	6	6	7	0	0	pdxST	16
2014-05-17_seaRM-at-pdxST	pdxST-2	Allison-Hall	4	1	4	0	14	14	18	0	0	pdxST	2
2014-05-17_seaRM-at-pdxST	pdxST-88	Suppnick	4	0.94	0	4	17	16	10	1	0	pdxST	88
2014-05-17_seaRM-at-pdxST	pdxST-24	Norden	4	0.92	0	4	51	47	40	0	0	pdxST	24
2014-05-17_seaRM-at-pdxST	pdxST-10	Strout	3	0.95	2	1	40	38	39	1	0	pdxST	10
2014-05-17_seaRM-at-pdxST	pdxST-17	Hayes	3	1	2	1	4	4	6	0	0	pdxST	17
2014-05-17_seaRM-at-pdxST	pdxST-8	Davis	2	0.84	1	1	19	16	17	1	0	pdxST	8
2014-05-17_seaRM-at-pdxST	pdxST-11	Kenton	2	0.97	0	2	39	38	30	0	0	pdxST	11
2014-05-17_seaRM-at-pdxST	pdxST-5	Woodside	1	NA	1	0	0	0	1	1	0	pdxST	5
2014-05-17_seaRM-at-pdxST	pdxST-21	McGinn	1	0.9	1	0	10	9	9	0	0	pdxST	21
2014-05-17_seaRM-at-pdxST	pdxST-73	King	1	1	1	0	10	10	8	0	0	pdxST	73
2014-05-17_seaRM-at-pdxST	pdxST-9	Hancock	1	1	1	0	2	2	1	0	0	pdxST	9
2014-05-17_seaRM-at-pdxST	pdxST-3	Ferrea	0	1	0	0	1	1	1	1	0	pdxST	3
2014-05-17_seaRM-at-pdxST	pdxST-4	Blackman	0	1	0	0	1	1	1	1	0	pdxST	4
2014-05-17_seaRM-at-pdxST	pdxST-	?name?	0	NA	0	0	0	0	0	0	0	pdxST	pdxST
2014-05-17_seaRM-at-pdxST	pdxST-14	Adamson	0	0	0	0	1	0	1	0	0	pdxST	14
2014-05-17_seaRM-at-pdxST	pdxST-22	Cole	0	1	0	0	7	7	7	0	0	pdxST	22
2014-05-17_seaRM-at-pdxST	pdxST-25	Meinershagen	0	0.83	0	0	12	10	11	0	0	pdxST	25
2014-05-17_seaRM-at-pdxST	seaRM-48	clark	7	0.91	5	2	11	10	15	1	0	seaRM	48
2014-05-17_seaRM-at-pdxST	seaRM-6	trytiak	6	0.87	1	5	23	20	25	0	0	seaRM	6
2014-05-17_seaRM-at-pdxST	seaRM-20	simon	5	0.98	2	3	44	43	39	0	0	seaRM	20
2014-05-17_seaRM-at-pdxST	seaRM-18	uhrig-fox	4	0.8	4	0	5	4	9	0	0	seaRM	18
2014-05-17_seaRM-at-pdxST	seaRM-8	fong	3	1	2	1	2	2	4	0	0	seaRM	8
2014-05-17_seaRM-at-pdxST	seaRM-99	el-salaam	3	0.89	1	2	19	17	21	1	0	seaRM	99
2014-05-17_seaRM-at-pdxST	seaRM-17	zemel	3	1	1	2	21	21	15	0	0	seaRM	17
2014-05-17_seaRM-at-pdxST	seaRM-21	phan	3	1	0	3	10	10	7	0	0	seaRM	21
2014-05-17_seaRM-at-pdxST	seaRM-35	koss	3	0.83	0	3	12	10	8	0	0	seaRM	35
2014-05-17_seaRM-at-pdxST	seaRM-23	sliva	2	1	2	0	6	6	8	1	0	seaRM	23
2014-05-17_seaRM-at-pdxST	seaRM-12	gallagher	2	NA	2	0	0	0	2	0	0	seaRM	12
2014-05-17_seaRM-at-pdxST	seaRM-25	rosatto	2	0.67	2	0	3	2	6	0	0	seaRM	25
2014-05-17_seaRM-at-pdxST	seaRM-1	mckibben	2	1	1	1	30	30	17	0	0	seaRM	1
2014-05-17_seaRM-at-pdxST	seaRM-5	chu	2	1	1	1	9	9	10	0	0	seaRM	5
2014-05-17_seaRM-at-pdxST	seaRM-29	feeley	2	0.96	0	2	24	23	18	0	0	seaRM	29
2014-05-17_seaRM-at-pdxST	seaRM-9	harkness	1	1	1	0	7	7	8	0	0	seaRM	9
2014-05-17_seaRM-at-pdxST	seaRM-28	linn	0	1	0	0	2	2	2	2	0	seaRM	28
2014-05-17_seaRM-at-pdxST	seaRM-15	beehner	0	1	0	0	2	2	3	1	0	seaRM	15
2014-05-17_seaRM-at-pdxST	seaRM-	?name?	0	NA	0	0	0	0	0	0	0	seaRM	seaRM
2014-05-17_seaRM-at-pdxST	seaRM-00	rupp	0	1	0	0	5	5	4	0	0	seaRM	00
2014-05-17_seaRM-at-pdxST	seaRM-13	sewell	0	1	0	0	2	2	2	0	0	seaRM	13
2014-05-17_seaRM-at-pdxST	seaRM-2	bubernak	0	1	0	0	1	1	1	0	0	seaRM	2
2014-05-17_seaRM-at-pdxST	seaRM-24	duffel	0	1	0	0	1	1	1	0	0	seaRM	24
2014-05-17_seaRM-at-pdxST	seaRM-3	o'brien	0	1	0	0	1	1	1	0	0	seaRM	3
2014-05-17_seaRM-at-pdxST	seaRM-4	schneider	0	1	0	0	1	1	1	0	0	seaRM	4
2014-05-17_seaRM-at-pdxST	seaRM-51	entz	0	0.5	0	0	4	2	4	0	0	seaRM	51
2014-05-17_seaRM-at-pdxST	seaRM-7	cooper	0	1	0	0	1	1	1	0	0	seaRM	7
