point	pullTeam	recvTeam	event	pullNum	pullCode	recvNum	recvCode	scorTeam
1	sfoDF	vanNH	1	16	P			sfoDF
1	sfoDF	vanNH	2			89	PU	sfoDF
1	sfoDF	vanNH	3			5		sfoDF
1	sfoDF	vanNH	4	18	PU			sfoDF
1	sfoDF	vanNH	5			89	PU	sfoDF
1	sfoDF	vanNH	6			19		sfoDF
1	sfoDF	vanNH	7			89		sfoDF
1	sfoDF	vanNH	8			72		sfoDF
1	sfoDF	vanNH	9	18	PU			sfoDF
1	sfoDF	vanNH	10			5	PU	sfoDF
1	sfoDF	vanNH	11			21		sfoDF
1	sfoDF	vanNH	12	16	D			sfoDF
1	sfoDF	vanNH	13	16	PU			sfoDF
1	sfoDF	vanNH	14			89	D	sfoDF
1	sfoDF	vanNH	15			10	PU	sfoDF
1	sfoDF	vanNH	16			89		sfoDF
1	sfoDF	vanNH	17			19		sfoDF
1	sfoDF	vanNH	18			89		sfoDF
1	sfoDF	vanNH	19			98		sfoDF
1	sfoDF	vanNH	20			21		sfoDF
1	sfoDF	vanNH	21			10		sfoDF
1	sfoDF	vanNH	22			89		sfoDF
1	sfoDF	vanNH	23	21	D			sfoDF
1	sfoDF	vanNH	24	12	PU			sfoDF
1	sfoDF	vanNH	25	16				sfoDF
1	sfoDF	vanNH	26			89	PU	sfoDF
1	sfoDF	vanNH	27			5		sfoDF
1	sfoDF	vanNH	28	85	D			sfoDF
1	sfoDF	vanNH	29	12	PUA			sfoDF
1	sfoDF	vanNH	30	21	LG			sfoDF
2	sfoDF	vanNH	1	13	P			sfoDF
2	sfoDF	vanNH	2			19	PU	sfoDF
2	sfoDF	vanNH	3			5		sfoDF
2	sfoDF	vanNH	4			8		sfoDF
2	sfoDF	vanNH	5			39	VTT	sfoDF
2	sfoDF	vanNH	6	88	PU			sfoDF
2	sfoDF	vanNH	7	34				sfoDF
2	sfoDF	vanNH	8	40				sfoDF
2	sfoDF	vanNH	9	88				sfoDF
2	sfoDF	vanNH	10	34				sfoDF
2	sfoDF	vanNH	11	40	LA			sfoDF
2	sfoDF	vanNH	12	6	G			sfoDF
3	sfoDF	vanNH	1	12	P			vanNH
3	sfoDF	vanNH	2			89	PU	vanNH
3	sfoDF	vanNH	3			19		vanNH
3	sfoDF	vanNH	4			89		vanNH
3	sfoDF	vanNH	5			21		vanNH
3	sfoDF	vanNH	6			19		vanNH
3	sfoDF	vanNH	7			21		vanNH
3	sfoDF	vanNH	8			89		vanNH
3	sfoDF	vanNH	9			98		vanNH
3	sfoDF	vanNH	10			89		vanNH
3	sfoDF	vanNH	11			21		vanNH
3	sfoDF	vanNH	12			89		vanNH
3	sfoDF	vanNH	13			98		vanNH
3	sfoDF	vanNH	14			33		vanNH
3	sfoDF	vanNH	15			89		vanNH
3	sfoDF	vanNH	16			21		vanNH
3	sfoDF	vanNH	17			22		vanNH
3	sfoDF	vanNH	18			89	A	vanNH
3	sfoDF	vanNH	19			98	G	vanNH
4	vanNH	sfoDF	1	8	P			vanNH
4	vanNH	sfoDF	2			25	PU	vanNH
4	vanNH	sfoDF	3			23		vanNH
4	vanNH	sfoDF	4			25		vanNH
4	vanNH	sfoDF	5			23		vanNH
4	vanNH	sfoDF	6			25		vanNH
4	vanNH	sfoDF	7			19		vanNH
4	vanNH	sfoDF	8			23		vanNH
4	vanNH	sfoDF	9	8	PUA			vanNH
4	vanNH	sfoDF	10	31	G			vanNH
5	vanNH	sfoDF	1	33	P			sfoDF
5	vanNH	sfoDF	2			12	PU	sfoDF
5	vanNH	sfoDF	3			16		sfoDF
5	vanNH	sfoDF	4	45	PU			sfoDF
5	vanNH	sfoDF	5	14				sfoDF
5	vanNH	sfoDF	6			12	PU	sfoDF
5	vanNH	sfoDF	7	14	D			sfoDF
5	vanNH	sfoDF	8	13	PU			sfoDF
5	vanNH	sfoDF	9	75				sfoDF
5	vanNH	sfoDF	10			12	D	sfoDF
5	vanNH	sfoDF	11			18	PU	sfoDF
5	vanNH	sfoDF	12			46		sfoDF
5	vanNH	sfoDF	13			16		sfoDF
5	vanNH	sfoDF	14			85		sfoDF
5	vanNH	sfoDF	15			16	A	sfoDF
5	vanNH	sfoDF	16			21	G	sfoDF
6	sfoDF	vanNH	1		P			vanNH
6	sfoDF	vanNH	2			5	PU	vanNH
6	sfoDF	vanNH	3			89		vanNH
6	sfoDF	vanNH	4			98		vanNH
6	sfoDF	vanNH	5			10		vanNH
6	sfoDF	vanNH	6			19		vanNH
6	sfoDF	vanNH	7			72	TD	vanNH
6	sfoDF	vanNH	8	88	PU			vanNH
6	sfoDF	vanNH	9	25				vanNH
6	sfoDF	vanNH	10	34				vanNH
6	sfoDF	vanNH	11	23				vanNH
6	sfoDF	vanNH	12	13	TD			vanNH
6	sfoDF	vanNH	13			89	PU	vanNH
6	sfoDF	vanNH	14			5		vanNH
6	sfoDF	vanNH	15			89		vanNH
6	sfoDF	vanNH	16			10		vanNH
6	sfoDF	vanNH	17			98		vanNH
6	sfoDF	vanNH	18			19		vanNH
6	sfoDF	vanNH	19			21		vanNH
6	sfoDF	vanNH	20			98	LA	vanNH
6	sfoDF	vanNH	21			89	G	vanNH
7	vanNH	sfoDF	1	8	P			sfoDF
7	vanNH	sfoDF	2			1	PU	sfoDF
7	vanNH	sfoDF	3			16		sfoDF
7	vanNH	sfoDF	4			1		sfoDF
7	vanNH	sfoDF	5			10		sfoDF
7	vanNH	sfoDF	6			2		sfoDF
7	vanNH	sfoDF	7			16		sfoDF
7	vanNH	sfoDF	8			2	A	sfoDF
7	vanNH	sfoDF	9			17	G	sfoDF
8	sfoDF	vanNH	1	23	P			vanNH
8	sfoDF	vanNH	2			89	PU	vanNH
8	sfoDF	vanNH	3			21	TD	vanNH
8	sfoDF	vanNH	4	23	PU			vanNH
8	sfoDF	vanNH	5	8				vanNH
8	sfoDF	vanNH	6			89	PU	vanNH
8	sfoDF	vanNH	7			5		vanNH
8	sfoDF	vanNH	8			89		vanNH
8	sfoDF	vanNH	9			5		vanNH
8	sfoDF	vanNH	10	34	D			vanNH
8	sfoDF	vanNH	11	23	PU			vanNH
8	sfoDF	vanNH	12			5	PUA	vanNH
8	sfoDF	vanNH	13			10	G	vanNH
9	vanNH	sfoDF	1	33	P			NA
9	vanNH	sfoDF	2			17	PU	NA
9	vanNH	sfoDF	3			1		NA
9	vanNH	sfoDF	4			5		NA
9	vanNH	sfoDF	5			10		NA
9	vanNH	sfoDF	6	8				NA
9	vanNH	sfoDF	7			12	D	NA
10	vanNH	sfoDF	1	8	P			sfoDF
10	vanNH	sfoDF	2			34	PU	sfoDF
10	vanNH	sfoDF	3			23	L	sfoDF
10	vanNH	sfoDF	4			6		sfoDF
10	vanNH	sfoDF	5			23		sfoDF
10	vanNH	sfoDF	6			6	A	sfoDF
10	vanNH	sfoDF	7			11	G	sfoDF
11	sfoDF	vanNH	1	16	P			sfoDF
11	sfoDF	vanNH	2			19	PU	sfoDF
11	sfoDF	vanNH	3			89		sfoDF
11	sfoDF	vanNH	4	46	D			sfoDF
11	sfoDF	vanNH	5	12	PU			sfoDF
11	sfoDF	vanNH	6	85				sfoDF
11	sfoDF	vanNH	7	46				sfoDF
11	sfoDF	vanNH	8	12	A			sfoDF
11	sfoDF	vanNH	9	18	LG			sfoDF
12	sfoDF	vanNH	1	13	P			vanNH
12	sfoDF	vanNH	2			75	PU	vanNH
12	sfoDF	vanNH	3			89		vanNH
12	sfoDF	vanNH	4			33		vanNH
12	sfoDF	vanNH	5			8		vanNH
12	sfoDF	vanNH	6	23	D			vanNH
12	sfoDF	vanNH	7	23	PU			vanNH
12	sfoDF	vanNH	8	34				vanNH
12	sfoDF	vanNH	9			49	D	vanNH
12	sfoDF	vanNH	10			89	PU	vanNH
12	sfoDF	vanNH	11			75		vanNH
12	sfoDF	vanNH	12	34	D			vanNH
12	sfoDF	vanNH	13	40	PU			vanNH
12	sfoDF	vanNH	14			33	PUA	vanNH
12	sfoDF	vanNH	15			13	G	vanNH
13	vanNH	sfoDF	1	8	P			sfoDF
13	vanNH	sfoDF	2			17	PU	sfoDF
13	vanNH	sfoDF	3			12		sfoDF
13	vanNH	sfoDF	4			5	TD	sfoDF
13	vanNH	sfoDF	5	24	PU			sfoDF
13	vanNH	sfoDF	6			85	D	sfoDF
13	vanNH	sfoDF	7			12	PU	sfoDF
13	vanNH	sfoDF	8			10		sfoDF
13	vanNH	sfoDF	9			5		sfoDF
13	vanNH	sfoDF	10			17		sfoDF
13	vanNH	sfoDF	11			1		sfoDF
13	vanNH	sfoDF	12			85		sfoDF
13	vanNH	sfoDF	13			10		sfoDF
13	vanNH	sfoDF	14	39	D			sfoDF
13	vanNH	sfoDF	15		TO			sfoDF
13	vanNH	sfoDF	16	5	PU			sfoDF
13	vanNH	sfoDF	17	21				sfoDF
13	vanNH	sfoDF	18	22	TD			sfoDF
13	vanNH	sfoDF	19			16	PU	sfoDF
13	vanNH	sfoDF	20			85		sfoDF
13	vanNH	sfoDF	21			16		sfoDF
13	vanNH	sfoDF	22	89	PU			sfoDF
13	vanNH	sfoDF	23	98				sfoDF
13	vanNH	sfoDF	24			46	D	sfoDF
13	vanNH	sfoDF	25			12	PU	sfoDF
13	vanNH	sfoDF	26			85		sfoDF
13	vanNH	sfoDF	27				TO	sfoDF
13	vanNH	sfoDF	28			34	PUA	sfoDF
13	vanNH	sfoDF	29			6	G	sfoDF
14	sfoDF	vanNH	1	34	P			vanNH
14	sfoDF	vanNH	2			5	PU	vanNH
14	sfoDF	vanNH	3			89		vanNH
14	sfoDF	vanNH	4			21		vanNH
14	sfoDF	vanNH	5			22		vanNH
14	sfoDF	vanNH	6			19		vanNH
14	sfoDF	vanNH	7			22		vanNH
14	sfoDF	vanNH	8			89		vanNH
14	sfoDF	vanNH	9	23	D			vanNH
14	sfoDF	vanNH	10	34				vanNH
14	sfoDF	vanNH	11	23				vanNH
14	sfoDF	vanNH	12	34				vanNH
14	sfoDF	vanNH	13	23	D			vanNH
14	sfoDF	vanNH	14			5	PU	vanNH
14	sfoDF	vanNH	15			21		vanNH
14	sfoDF	vanNH	16			5		vanNH
14	sfoDF	vanNH	17	34	PU			vanNH
14	sfoDF	vanNH	18	9	TD			vanNH
14	sfoDF	vanNH	19			5	PU	vanNH
14	sfoDF	vanNH	20	34	PU			vanNH
14	sfoDF	vanNH	21	6				vanNH
14	sfoDF	vanNH	22	25				vanNH
14	sfoDF	vanNH	23	11				vanNH
14	sfoDF	vanNH	24	25				vanNH
14	sfoDF	vanNH	25			22	D	vanNH
14	sfoDF	vanNH	26			5		vanNH
14	sfoDF	vanNH	27	34	D			vanNH
14	sfoDF	vanNH	28	34	PU			vanNH
14	sfoDF	vanNH	29	23	TD			vanNH
14	sfoDF	vanNH	30			89	PU	vanNH
14	sfoDF	vanNH	31			21		vanNH
14	sfoDF	vanNH	32			98		vanNH
14	sfoDF	vanNH	33			89		vanNH
14	sfoDF	vanNH	34			5	A	vanNH
14	sfoDF	vanNH	35			98	G	vanNH
15	vanNH	sfoDF	1	33	P			sfoDF
15	vanNH	sfoDF	2			12	PU	sfoDF
15	vanNH	sfoDF	3	31	D			sfoDF
15	vanNH	sfoDF	4	31	PU			sfoDF
15	vanNH	sfoDF	5	75				sfoDF
15	vanNH	sfoDF	6	81				sfoDF
15	vanNH	sfoDF	7	8				sfoDF
15	vanNH	sfoDF	8	81				sfoDF
15	vanNH	sfoDF	9	8				sfoDF
15	vanNH	sfoDF	10	81				sfoDF
15	vanNH	sfoDF	11			85	D	sfoDF
15	vanNH	sfoDF	12			1	PU	sfoDF
15	vanNH	sfoDF	13			17		sfoDF
15	vanNH	sfoDF	14			5		sfoDF
15	vanNH	sfoDF	15			1		sfoDF
15	vanNH	sfoDF	16			17		sfoDF
15	vanNH	sfoDF	17			85		sfoDF
15	vanNH	sfoDF	18			12		sfoDF
15	vanNH	sfoDF	19			10	A	sfoDF
15	vanNH	sfoDF	20			12	G	sfoDF
16	sfoDF	vanNH	1	13	P			vanNH
16	sfoDF	vanNH	2			5	PU	vanNH
16	sfoDF	vanNH	3			21		vanNH
16	sfoDF	vanNH	4			10	A	vanNH
16	sfoDF	vanNH	5			72	G	vanNH
17	vanNH	sfoDF	1	8	P			vanNH
17	vanNH	sfoDF	2			17	PU	vanNH
17	vanNH	sfoDF	3			2		vanNH
17	vanNH	sfoDF	4			17		vanNH
17	vanNH	sfoDF	5			16		vanNH
17	vanNH	sfoDF	6			2	TD	vanNH
17	vanNH	sfoDF	7		TO			vanNH
17	vanNH	sfoDF	8	19	PU			vanNH
17	vanNH	sfoDF	9	89				vanNH
17	vanNH	sfoDF	10	19	TD			vanNH
17	vanNH	sfoDF	11			16	PU	vanNH
17	vanNH	sfoDF	12				TO	vanNH
17	vanNH	sfoDF	13			34	PU	vanNH
17	vanNH	sfoDF	14	5	PU			vanNH
17	vanNH	sfoDF	15	45				vanNH
