point	Period	Clock.before.point	Clock.after.point	pullTeam	scorTeam	sfoDF	vanNH
1	1	10:00:00	7:56:00	sfoDF	sfoDF	1	0
2	1	7:56:00	6:55:00	sfoDF	sfoDF	2	0
3	1	6:55:00	6:03:00	sfoDF	vanNH	2	1
4	1	6:03:00	5:06:00	vanNH	vanNH	2	2
5	1	5:06:00	3:49:00	vanNH	sfoDF	3	2
6	1	3:49:00	2:06:00	sfoDF	vanNH	3	3
7	1	2:06:00	1:36:00	vanNH	sfoDF	4	3
8	1	1:36:00	0:38:00	sfoDF	vanNH	4	4
9	1	0:38:00	0:00:00	vanNH	NA	4	4
10	2	10:00:00	9:43:00	vanNH	sfoDF	5	4
11	2	9:43:00	8:58:00	sfoDF	sfoDF	6	4
12	2	8:58:00	7:55:00	sfoDF	vanNH	6	5
13	2	7:55:00	6:17:00	vanNH	sfoDF	7	5
14	2	6:17:00	3:42:00	sfoDF	vanNH	7	6
15	2	3:42:00	2:27:00	vanNH	sfoDF	8	6
16	2	2:27:00	2:13:00	sfoDF	vanNH	8	7
17	2	2:13:00	0:18:00	vanNH	vanNH	8	8
18	2	0:18:00	0:00:00	vanNH	NA	8	8
19	3	10:00:00	8:52:00	sfoDF	sfoDF	9	8
20	3	8:52:00	7:53:00	sfoDF	vanNH	9	9
21	3	7:53:00	7:41:00	vanNH	sfoDF	10	9
22	3	7:41:00	3:37:00	sfoDF	vanNH	10	10
23	3	3:37:00	0:22:00	vanNH	vanNH	10	11
24	3	0:22:00	0:08:00	vanNH	vanNH	10	12
25	3	0:08:00	0:00:00	vanNH	NA	10	12
26	4	10:00:00	3:16:00	vanNH	sfoDF	11	12
27	4	3:16:00	1:47:00	sfoDF	sfoDF	12	12
28	4	1:46:00	0:00:00	sfoDF	NA	12	12
29	5	5:00:00	3:23:00	sfoDF	sfoDF	13	12
30	5	3:23:00	0:00:00	sfoDF	NA	13	12
