point	event	pullNum	pullCode	recvNum	recvCode
1	1	16	P		
1	2			89	PU
1	3			5	
1	4	18	PU		
1	5			89	PU
1	6			19	
1	7			89	
1	8			72	
1	9	18	PU		
1	10			5	PU
1	11			21	
1	12	16	D		
1	13	16	PU		
1	14			89	D
1	15			10	PU
1	16			89	
1	17			19	
1	18			89	
1	19			98	
1	20			21	
1	21			10	
1	22			89	
1	23	21	D		
1	24	12	PU		
1	25	16			
1	26			89	PU
1	27			5	
1	28	85	D		
1	29	12	PU		
1	30	21	LG		
2	1	13	P		
2	2			19	PU
2	3			5	
2	4			8	
2	5			39	VTT
2	6	88	PU		
2	7	34			
2	8	40			
2	9	88			
2	10	34			
2	11	40	L		
2	12	6	G		
3	1	12	P		
3	2			89	PU
3	3			19	
3	4			89	
3	5			21	
3	6			19	
3	7			21	
3	8			89	
3	9			98	
3	10			89	
3	11			21	
3	12			89	
3	13			98	
3	14			33	
3	15			89	
3	16			21	
3	17			22	
3	18			89	
3	19			98	G
4	1	8	P		
4	2			25	PU
4	3			23	
4	4			25	
4	5			23	
4	6			25	
4	7			19	
4	8			23	
4	9	8	PU		
4	10	31	G		
5	1	33	P		
5	2			12	PU
5	3			16	
5	4	45	PU		
5	5	14			
5	6			12	PU
5	7	14	D		
5	8	13	PU		
5	9	75			
5	10			12	D
5	11			18	PU
5	12			46	
5	13			16	
5	14			85	
5	15			16	
5	16			21	G
6	1	?	P		
6	2			5	PU
6	3			89	
6	4			98	
6	5			10	
6	6			19	
6	7			72	TD
6	8	88	PU		
6	9	25			
6	10	34			
6	11	23			
6	12	13	TD		
6	13			89	PU
6	14			5	
6	15			89	
6	16			10	
6	17			98	
6	18			19	
6	19			21	
6	20			98	L
6	21			89	G
7	1	8	P		
7	2			1	PU
7	3			16	
7	4			1	
7	5			10	
7	6			2	
7	7			16	
7	8			2	
7	9			17	G
8	1	23	P		
8	2			89	PU
8	3			21	TD
8	4	23	PU		
8	5	8			
8	6			89	PU
8	7			5	
8	8			89	
8	9			5	
8	10	34	D		
8	11	23	PU		
8	12			5	PU
8	13			10	G
9	1	33	P		
9	2			17	PU
9	3			1	
9	4			5	
9	5			10	
9	6	8	D		
9	7	8			
9	8			12	D
10	1	8	P		
10	2			34	PU
10	3			23	L
10	4			6	
10	5			23	
10	6			6	
10	7			11	G
11	1	16	P		
11	2			19	PU
11	3			89	
11	4	46	D		
11	5	12	PU		
11	6	85			
11	7	46			
11	8	12			
11	9	18	LG		
12	1	13	P		
12	2			75	PU
12	3			89	
12	4			33	
12	5			8	
12	6	23	D		
12	7	23	PU		
12	8	34			
12	9			49	D
12	10			89	PU
12	11			75	
12	12	34	D		
12	13	40	PU		
12	14			33	PU
12	15			13	G
13	1	8	P		
13	2			17	PU
13	3			12	
13	4			5	TD
13	5	24	PU		
13	6			85	D
13	7			12	PU
13	8			10	
13	9			5	
13	10			17	
13	11			1	
13	12			85	
13	13			10	
13	14	39	D		
13	15		TO		
13	16	5	PU		
13	17	21			
13	18	22	TD		
13	19			16	PU
13	20			85	
13	21			16	
13	22	89	PU		
13	23	98			
13	24			46	D
13	25			12	PU
13	26			85	
13	27				TO
13	28			34	PU
13	29			6	G
14	1	34	P		
14	2			5	PU
14	3			89	
14	4			21	
14	5			22	
14	6			19	
14	7			22	
14	8			89	
14	9	23	D		
14	10	23			
14	11	34	PU		
14	12	23			
14	13	34			
14	14	23	TD		
14	15			5	PU
14	16			21	
14	17			5	
14	18	34	PU		
14	19	9	TD		
14	20			5	PU
14	21	34	PU		
14	22	6			
14	23	25			
14	24	11			
14	25	25			
14	26			22	D
14	27			22	
14	28			5	
14	29	34	D		
14	30	34	PU		
14	31	23	TD		
14	32			89	PU
14	33			21	
14	34			98	
14	35			89	
14	36			5	
14	37			98	G
15	1	33	P		
15	2			12	PU
15	3	31	D		
15	4	31	PU		
15	5	75			
15	6	81			
15	7	8			
15	8	81			
15	9	8			
15	10	81			
15	11			85	D
15	12			1	PU
15	13			17	
15	14			5	
15	15			1	
15	16			17	
15	17			85	
15	18			12	
15	19			10	
15	20			12	G
16	1	13	P		
16	2			5	PU
16	3			21	
16	4			10	
16	5			72	G
17	1	8	P		
17	2			17	PU
17	3			2	
17	4			17	
17	5			16	
17	6			2	TD
17	7		TO		
17	8	19	PU		
17	9	89			
17	10	19	TD		
17	11			16	PU
17	12				TO
17	13			34	PU
17	14	5	PU		
17	15	45			
17	16	24			
17	17	89			
17	18	5			
17	19	8	TD		
17	20			34	PU
17	21	21	PU		
17	22	89			
17	23	8			
17	24	45			
17	25	89			
17	26	5	G		
18	1	33	P		
18	2			34	PU
18	3			40	
18	4			23	
18	5			13	
19	1	12	P		
19	2			19	PU
19	3			5	
19	4	12	D		
19	5	12	PU		
19	6	18			
19	7	46			
19	8	2			
19	9	85			
19	10	18	G		
20	1	34	P		
20	2			5	PU
20	3			8	
20	4			75	
20	5			8	
20	6			75	TD
20	7	34	PU		
20	8			22	D
20	9			75	PU
20	10			8	
20	11			75	
20	12			89	
20	13			21	G
21	1	8	P		
21	2			16	PU
21	3			21	L
21	4			10	
21	5			46	G
22	1	13	P		
22	2			89	PU
22	3			98	TD
22	4	34	PU		
22	5	25			
22	6	6			
22	7	88			
22	8	40			
22	9			22	F
22	10			22	FB
22	11			5	PU
