poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr
1	1	1	2	3	ao	0	O-PU	vanNH-89		O-CTH	vanNH-5
1	1	1	3	3	an	-1	O-CTH	vanNH-5		NA	vanNH-5
2	2	1	4	4	an	-1	O-PU	sfoDF-18		NA	sfoDF-18
3	3	1	5	6	ao	0	O-PU	vanNH-89		O-CTH	vanNH-19
3	3	1	6	7	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-89
3	3	1	7	8	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-72
3	3	1	8	8	an	-1	O-CTH	vanNH-72		NA	vanNH-72
4	4	1	9	9	an	-1	O-PU	sfoDF-18		NA	sfoDF-18
5	5	1	10	11	ao	0	O-PU	vanNH-5		O-CTH	vanNH-21
5	5	1	11	12	ao	0	O-CTH	vanNH-21		D-D	vanNH-16
6	6	1	13	14	ao	0	O-PU	sfoDF-16		D-D	sfoDF-89
7	7	1	15	16	ao	0	O-PU	vanNH-10		O-CTH	vanNH-89
7	7	1	16	17	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-19
7	7	1	17	18	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-89
7	7	1	18	19	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-98
7	7	1	19	20	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-21
7	7	1	20	21	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-10
7	7	1	21	22	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-89
7	7	1	22	23	ao	0	O-CTH	vanNH-89		D-D	vanNH-21
8	8	1	24	25	ao	0	O-PU	sfoDF-12		O-CTH	sfoDF-16
8	8	1	25	25	an	-1	O-CTH	sfoDF-16		NA	sfoDF-16
9	9	1	26	27	ao	0	O-PU	vanNH-89		O-CTH	vanNH-5
9	9	1	27	28	ao	0	O-CTH	vanNH-5		D-D	vanNH-85
10	10	1	29	30	ao	0	O-PU	sfoDF-12		O-G	sfoDF-21
11	1	2	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-5
11	1	2	3	4	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-8
11	1	2	4	5	ao	0	O-CTH	vanNH-8		O-OV	vanNH-39
12	2	2	6	7	ao	0	O-PU	sfoDF-88		O-CTH	sfoDF-34
12	2	2	7	8	ao	0	O-CTH	sfoDF-34		O-CTH	sfoDF-40
12	2	2	8	9	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-88
12	2	2	9	10	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-34
12	2	2	10	11	ao	0	O-CTH	sfoDF-34		O-CTH	sfoDF-40
12	2	2	11	12	ao	0	O-CTH	sfoDF-40		O-G	sfoDF-6
13	1	3	2	3	ao	0	O-PU	vanNH-89		O-CTH	vanNH-19
13	1	3	3	4	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-89
13	1	3	4	5	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-21
13	1	3	5	6	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-19
13	1	3	6	7	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-21
13	1	3	7	8	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-89
13	1	3	8	9	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-98
13	1	3	9	10	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-89
13	1	3	10	11	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-21
13	1	3	11	12	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-89
13	1	3	12	13	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-98
13	1	3	13	14	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-33
13	1	3	14	15	ao	0	O-CTH	vanNH-33		O-CTH	vanNH-89
13	1	3	15	16	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-21
13	1	3	16	17	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-22
13	1	3	17	18	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-89
13	1	3	18	19	ao	0	O-CTH	vanNH-89		O-G	vanNH-98
14	1	4	2	3	ao	0	O-PU	sfoDF-25		O-CTH	sfoDF-23
14	1	4	3	4	ao	0	O-CTH	sfoDF-23		O-CTH	sfoDF-25
