game	player	points	goals	assists	Ds
2014-05-17_vanNH-at-sfoDF	sfoDF-18-Weaver	4	4	0	1
2014-05-17_vanNH-at-sfoDF	sfoDF-6-Kim	4	2	2	0
2014-05-17_vanNH-at-sfoDF	sfoDF-12-Bellinger	4	1	3	4
2014-05-17_vanNH-at-sfoDF	sfoDF-34-Boucher	3	1	2	5
2014-05-17_vanNH-at-sfoDF	sfoDF-21-Stearns	2	2	0	2
2014-05-17_vanNH-at-sfoDF	sfoDF-10-Sugioka	2	0	2	0
2014-05-17_vanNH-at-sfoDF	sfoDF-46-McCarty	1	1	0	2
2014-05-17_vanNH-at-sfoDF	sfoDF-11-Lee	1	1	0	0
2014-05-17_vanNH-at-sfoDF	sfoDF-17-Boyd-Meredith	1	1	0	0
2014-05-17_vanNH-at-sfoDF	sfoDF-85-Brydon	1	0	1	4
2014-05-17_vanNH-at-sfoDF	sfoDF-16-Yeager	1	0	1	1
2014-05-17_vanNH-at-sfoDF	sfoDF-2-Adamson	1	0	1	1
2014-05-17_vanNH-at-sfoDF	sfoDF-40-Taylor	1	0	1	0
2014-05-17_vanNH-at-sfoDF	sfoDF-23-Jeffery	0	0	0	2
2014-05-17_vanNH-at-sfoDF	sfoDF-8-Pollard	0	0	0	2
2014-05-17_vanNH-at-sfoDF	sfoDF-5-Cascino	0	0	0	1
2014-05-17_vanNH-at-sfoDF	vanNH-89-underhill	4	1	3	1
2014-05-17_vanNH-at-sfoDF	vanNH-98-wong	3	2	1	1
2014-05-17_vanNH-at-sfoDF	vanNH-10-chatha	3	2	1	0
2014-05-17_vanNH-at-sfoDF	vanNH-5-norris	3	1	2	1
2014-05-17_vanNH-at-sfoDF	vanNH-8-hibbert	2	1	1	2
2014-05-17_vanNH-at-sfoDF	vanNH-33-collins	2	1	1	1
2014-05-17_vanNH-at-sfoDF	vanNH-72-leduc	2	1	1	1
2014-05-17_vanNH-at-sfoDF	vanNH-21-loach	1	1	0	1
2014-05-17_vanNH-at-sfoDF	vanNH-31-saito	1	1	0	1
2014-05-17_vanNH-at-sfoDF	vanNH-13-tessarolo	1	1	0	0
2014-05-17_vanNH-at-sfoDF	vanNH-39-seraglia	1	0	1	1
2014-05-17_vanNH-at-sfoDF	vanNH-81-tejpar	1	0	1	0
2014-05-17_vanNH-at-sfoDF	vanNH-22-berezan	0	0	0	3
2014-05-17_vanNH-at-sfoDF	vanNH-75-bellavance	0	0	0	2
2014-05-17_vanNH-at-sfoDF	vanNH-14-eyrich	0	0	0	1
2014-05-17_vanNH-at-sfoDF	vanNH-19-knapp	0	0	0	1
2014-05-17_vanNH-at-sfoDF	vanNH-49-hayduk	0	0	0	1
