game	player	points	goals	assists	Ds
2014-05-17_wdcCT-at-nykRM	nykRM-19-saul	6	0	6	0
2014-05-17_wdcCT-at-nykRM	nykRM-14-vuckovich	5	3	2	0
2014-05-17_wdcCT-at-nykRM	nykRM-41-faust	5	3	2	0
2014-05-17_wdcCT-at-nykRM	nykRM-13-hunziker	4	4	0	1
2014-05-17_wdcCT-at-nykRM	nykRM-4-hennessy	3	2	1	1
2014-05-17_wdcCT-at-nykRM	nykRM-18-yz	2	1	1	0
2014-05-17_wdcCT-at-nykRM	nykRM-33-herman	2	1	1	0
2014-05-17_wdcCT-at-nykRM	nykRM-5-sender	2	0	2	0
2014-05-17_wdcCT-at-nykRM	nykRM-10-hennessy	1	1	0	1
2014-05-17_wdcCT-at-nykRM	nykRM-82-brownlee	1	1	0	1
2014-05-17_wdcCT-at-nykRM	nykRM-1-kuzmowycz	1	1	0	0
2014-05-17_wdcCT-at-nykRM	nykRM-15-baum	1	1	0	0
2014-05-17_wdcCT-at-nykRM	nykRM-24-glatt	1	0	1	1
2014-05-17_wdcCT-at-nykRM	nykRM-21-anderson	1	0	1	0
2014-05-17_wdcCT-at-nykRM	nykRM-47-murphy	1	0	1	0
2014-05-17_wdcCT-at-nykRM	wdcCT-90-shofner	7	2	5	0
2014-05-17_wdcCT-at-nykRM	wdcCT-9-doi	6	4	2	0
2014-05-17_wdcCT-at-nykRM	wdcCT-8-prial	5	4	1	0
2014-05-17_wdcCT-at-nykRM	wdcCT-45-wodatch	4	3	1	0
2014-05-17_wdcCT-at-nykRM	wdcCT-32-peters	4	2	2	0
2014-05-17_wdcCT-at-nykRM	wdcCT-2-keegan	4	1	3	1
2014-05-17_wdcCT-at-nykRM	wdcCT-12-bellinger	3	3	0	0
2014-05-17_wdcCT-at-nykRM	wdcCT-14-blake	3	1	2	1
2014-05-17_wdcCT-at-nykRM	wdcCT-24-fleming	2	2	0	1
2014-05-17_wdcCT-at-nykRM	wdcCT-22-marshall	2	1	1	3
2014-05-17_wdcCT-at-nykRM	wdcCT-25-gordon	2	1	1	1
2014-05-17_wdcCT-at-nykRM	wdcCT-99-kolick	2	1	1	0
2014-05-17_wdcCT-at-nykRM	wdcCT-5-cranston	2	0	2	0
2014-05-17_wdcCT-at-nykRM	wdcCT-4-johnson	1	1	0	1
2014-05-17_wdcCT-at-nykRM	wdcCT-6-gordon	1	1	0	0
2014-05-17_wdcCT-at-nykRM	wdcCT-21-dulabon	1	0	1	2
2014-05-17_wdcCT-at-nykRM	wdcCT-17-miner	1	0	1	1
2014-05-17_wdcCT-at-nykRM	wdcCT-42-gibson	1	0	1	1
2014-05-17_wdcCT-at-nykRM	wdcCT-27-johnston	1	0	1	0
2014-05-17_wdcCT-at-nykRM	wdcCT-3-fickley	1	0	1	0
2014-05-17_wdcCT-at-nykRM	wdcCT-7-boylan-kolchin	1	0	1	0
2014-05-17_wdcCT-at-nykRM	wdcCT-88-oung	0	0	0	1
