point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	1	P		
1	2			00	PU
1	3			13	
1	4			1	
1	5			18	
1	6			8	
1	7			1	G
2	1	43	P		
2	2			7	PU
2	3			27	
2	4			7	
2	5			13	
2	6			14	
2	7			25	
2	8			27	
2	9			25	
2	10			13	
2	11			14	
2	12			7	
2	13			13	
2	14			9	G
3	1	1	OBP		
3	2			13	PU
3	3			8	
3	4			13	
3	5			1	
3	6			8	
3	7			13	
3	8			64	
3	9			00	
3	10			13	
3	11			18	
3	12			9	G
4	1	43	P		
4	2			25	PU
4	3			13	
4	4			7	
4	5			9	LG
5	1	20	P		
5	2			13	PU
5	3			8	
5	4			1	
5	5			9	
5	6			3	
5	7			29	
5	8			13	LG
6	1	43	P		
6	2			25	PU
6	3			13	
6	4			25	
6	5			4	
6	6			14	
6	7			27	
6	8			9	L
6	9			4	G
7	1	1	P		
7	2			00	PU
7	3			13	
7	4			00	
7	5			8	
7	6			13	
7	7			9	LG
8	1	43	P		
8	2			20	PU
8	3			7	
8	4			27	
8	5			25	
8	6			7	
8	7	10	F		
8	8			25	
8	9			20	
8	10			7	
8	11			20	
8	12			11	
8	13			14	
8	14			25	
8	15			27	
8	16			11	G
9	1	28	P		
9	2			00	PU
9	3			13	
9	4			9	
9	5			12	
9	6			00	
9	7			13	
9	8			29	
9	9			64	G
10	1	43	P		
10	2			13	PU
10	3			7	
10	4			13	
10	5			7	
10	6			27	
10	7			71	
10	8			13	
10	9			71	
10	10			11	
10	11			7	
10	12			13	
10	13			25	
10	14			14	
10	15	4	D		
10	16	4	PU		
10	17	10			
10	18	12			
10	19	27	G		
11	1	18	P		
11	2			20	PU
11	3	00	D		
11	4	00	PU		
11	5	8			
11	6	00			
11	7	8			
11	8	1			
11	9	9	G		
12	1	18	P		
12	2			13	PU
12	3			7	
12	4			27	
12	5			11	
12	6			27	
12	7			7	
12	8			9	
12	9	00	PU		
12	10	18			
12	11	29	TD		
12	12			25	PU
12	13			7	
12	14			11	
12	15			9	
12	16			11	G
13	1	1	P		
13	2			21	PU
13	3			4	
13	4			21	L
13	5			27	G
13	6	64	F		
14	1	18	P		
14	2			25	PU
14	3			13	
14	4			7	
14	5			13	
14	6			4	
14	7			25	
14	8			14	
14	9			11	LG
15	1	20	P		
15	2			10	PU
15	3			4	
15	4			21	
15	5			17	
15	6			21	
15	7			27	
15	8			43	G
16	1	18	P		
16	2			13	PU
16	3			7	
16	4			13	
16	5			14	
16	6			7	
16	7			13	
16	8			14	
16	9			13	
16	10			27	
16	11			25	
16	12			7	G
17	1	1	OBP		
17	2			4	PU
17	3			21	
17	4			10	
17	5			43	
17	6			4	
17	7	21	F		
17	8			10	
17	9			4	
17	10			17	
17	11			10	
17	12			43	
17	13			21	G
18	1	18	P		
