period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	phlSP	7	1	1	bosWC	bosWC	1	G	7	FALSE	TRUE	bosWC	o_line	G	G
1	2	bosWC	14	2	1	phlSP	phlSP	9	G	14	FALSE	TRUE	phlSP	o_line	G	G
1	3	phlSP	12	3	1	bosWC	bosWC	9	G	12	FALSE	TRUE	bosWC	o_line	G	G
1	4	bosWC	5	4	1	phlSP	phlSP	9	LG	5	TRUE	TRUE	phlSP	o_line	G	G
1	5	phlSP	8	5	1	bosWC	bosWC	13	LG	8	TRUE	TRUE	bosWC	o_line	G	G
1	6	bosWC	9	6	1	phlSP	phlSP	4	G	9	TRUE	TRUE	phlSP	o_line	G	G
1	7	phlSP	7	7	1	bosWC	bosWC	9	LG	7	TRUE	TRUE	bosWC	o_line	G	G
1	8	bosWC	16	8	1	phlSP	phlSP	11	G	16	FALSE	TRUE	phlSP	o_line	G	G
1	9	phlSP	9	9	1	bosWC	bosWC	64	G	9	FALSE	TRUE	bosWC	o_line	G	G
1	10	bosWC	15	10	1	phlSP	bosWC	4	D	15	FALSE	FALSE	NA	o_line	D	def +
1	10	bosWC	19	11	2	bosWC	bosWC	27	G	4	FALSE	TRUE	bosWC	d_line	G	G
1	11	bosWC	3	12	1	phlSP	bosWC	00	D	3	FALSE	FALSE	NA	o_line	D	def +
1	11	bosWC	9	13	2	bosWC	bosWC	9	G	6	FALSE	TRUE	bosWC	d_line	G	G
1	12	bosWC	8	14	1	phlSP	phlSP	9	TA	8	FALSE	FALSE	NA	o_line	TA	off -
1	12	bosWC	11	15	2	bosWC	bosWC	29	TD	3	FALSE	FALSE	NA	d_line	TD	off -
1	12	bosWC	16	16	3	phlSP	phlSP	11	G	5	FALSE	TRUE	phlSP	o_line	G	G
1	13	phlSP	5	17	1	bosWC	bosWC	27	G	5	TRUE	TRUE	bosWC	o_line	G	G
1	14	bosWC	9	18	1	phlSP	phlSP	11	LG	9	TRUE	TRUE	phlSP	o_line	G	G
1	15	phlSP	8	19	1	bosWC	bosWC	43	G	8	FALSE	TRUE	bosWC	o_line	G	G
1	16	bosWC	12	20	1	phlSP	phlSP	7	G	12	FALSE	TRUE	phlSP	o_line	G	G
1	17	phlSP	13	21	1	bosWC	bosWC	21	G	13	FALSE	TRUE	bosWC	o_line	G	G
1	18	bosWC	6	22	1	phlSP	phlSP	27	LG	6	TRUE	TRUE	phlSP	o_line	G	G
1	19	phlSP	5	23	1	bosWC	phlSP	25	eop	5	FALSE	FALSE	NA	o_line	eop	eop
2	20	bosWC	24	24	1	phlSP	phlSP	25	G	24	FALSE	TRUE	phlSP	o_line	G	G
2	21	phlSP	9	25	1	bosWC	bosWC	21	LG	9	TRUE	TRUE	bosWC	o_line	G	G
2	22	bosWC	11	26	1	phlSP	phlSP	27	G	11	FALSE	TRUE	phlSP	o_line	G	G
2	23	phlSP	5	27	1	bosWC	bosWC	4	TA	5	FALSE	FALSE	NA	o_line	TA	off -
