poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	bosWC-00		O-CTH	bosWC-13	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	bosWC-13		O-CTH	bosWC-1	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	bosWC-1		O-CTH	bosWC-18	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	bosWC-18		O-CTH	bosWC-8	TRUE	compl
1	1	1	6	7	ao	0	O-CTH	bosWC-8		O-G	bosWC-1	TRUE	compl
2	1	2	2	3	ao	0	O-PU	phlSP-7		O-CTH	phlSP-27	TRUE	compl
2	1	2	3	4	ao	0	O-CTH	phlSP-27		O-CTH	phlSP-7	TRUE	compl
2	1	2	4	5	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-13	TRUE	compl
2	1	2	5	6	ao	0	O-CTH	phlSP-13		O-CTH	phlSP-14	TRUE	compl
2	1	2	6	7	ao	0	O-CTH	phlSP-14		O-CTH	phlSP-25	TRUE	compl
2	1	2	7	8	ao	0	O-CTH	phlSP-25		O-CTH	phlSP-27	TRUE	compl
2	1	2	8	9	ao	0	O-CTH	phlSP-27		O-CTH	phlSP-25	TRUE	compl
2	1	2	9	10	ao	0	O-CTH	phlSP-25		O-CTH	phlSP-13	TRUE	compl
2	1	2	10	11	ao	0	O-CTH	phlSP-13		O-CTH	phlSP-14	TRUE	compl
2	1	2	11	12	ao	0	O-CTH	phlSP-14		O-CTH	phlSP-7	TRUE	compl
2	1	2	12	13	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-13	TRUE	compl
2	1	2	13	14	ao	0	O-CTH	phlSP-13		O-G	phlSP-9	TRUE	compl
3	1	3	2	3	ao	0	O-PU	bosWC-13		O-CTH	bosWC-8	TRUE	compl
3	1	3	3	4	ao	0	O-CTH	bosWC-8		O-CTH	bosWC-13	TRUE	compl
3	1	3	4	5	ao	0	O-CTH	bosWC-13		O-CTH	bosWC-1	TRUE	compl
3	1	3	5	6	ao	0	O-CTH	bosWC-1		O-CTH	bosWC-8	TRUE	compl
3	1	3	6	7	ao	0	O-CTH	bosWC-8		O-CTH	bosWC-13	TRUE	compl
3	1	3	7	8	ao	0	O-CTH	bosWC-13		O-CTH	bosWC-64	TRUE	compl
3	1	3	8	9	ao	0	O-CTH	bosWC-64		O-CTH	bosWC-00	TRUE	compl
3	1	3	9	10	ao	0	O-CTH	bosWC-00		O-CTH	bosWC-13	TRUE	compl
3	1	3	10	11	ao	0	O-CTH	bosWC-13		O-CTH	bosWC-18	TRUE	compl
3	1	3	11	12	ao	0	O-CTH	bosWC-18		O-G	bosWC-9	TRUE	compl
4	1	4	2	3	ao	0	O-PU	phlSP-25		O-CTH	phlSP-13	TRUE	compl
4	1	4	3	4	ao	0	O-CTH	phlSP-13		O-CTH	phlSP-7	TRUE	compl
4	1	4	4	5	ao	0	O-CTH	phlSP-7		O-G	phlSP-9	TRUE	compl
5	1	5	2	3	ao	0	O-PU	bosWC-13		O-CTH	bosWC-8	TRUE	compl
5	1	5	3	4	ao	0	O-CTH	bosWC-8		O-CTH	bosWC-1	TRUE	compl
5	1	5	4	5	ao	0	O-CTH	bosWC-1		O-CTH	bosWC-9	TRUE	compl
5	1	5	5	6	ao	0	O-CTH	bosWC-9		O-CTH	bosWC-3	TRUE	compl
5	1	5	6	7	ao	0	O-CTH	bosWC-3		O-CTH	bosWC-29	TRUE	compl
5	1	5	7	8	ao	0	O-CTH	bosWC-29		O-G	bosWC-13	TRUE	compl
6	1	6	2	3	ao	0	O-PU	phlSP-25		O-CTH	phlSP-13	TRUE	compl
6	1	6	3	4	ao	0	O-CTH	phlSP-13		O-CTH	phlSP-25	TRUE	compl
6	1	6	4	5	ao	0	O-CTH	phlSP-25		O-CTH	phlSP-4	TRUE	compl
6	1	6	5	6	ao	0	O-CTH	phlSP-4		O-CTH	phlSP-14	TRUE	compl
6	1	6	6	7	ao	0	O-CTH	phlSP-14		O-CTH	phlSP-27	TRUE	compl
6	1	6	7	8	ao	0	O-CTH	phlSP-27		O-CTH	phlSP-9	TRUE	compl
6	1	6	8	9	ao	0	O-CTH	phlSP-9		O-G	phlSP-4	TRUE	compl
7	1	7	2	3	ao	0	O-PU	bosWC-00		O-CTH	bosWC-13	TRUE	compl
7	1	7	3	4	ao	0	O-CTH	bosWC-13		O-CTH	bosWC-00	TRUE	compl
7	1	7	4	5	ao	0	O-CTH	bosWC-00		O-CTH	bosWC-8	TRUE	compl
7	1	7	5	6	ao	0	O-CTH	bosWC-8		O-CTH	bosWC-13	TRUE	compl
7	1	7	6	7	ao	0	O-CTH	bosWC-13		O-G	bosWC-9	TRUE	compl
8	1	8	2	3	ao	0	O-PU	phlSP-20		O-CTH	phlSP-7	TRUE	compl
