point	Offense	Defense
1		11p
1	19pu	
1	6	
1	2	
1	47td	
1		8pu
1		29
1		6g
2		11p
2	6pu	
2	19	
2	33	
2	6	
2	47	
2	2	
2	81td	
2		14pu
2		8
2		6
2		29g
3		13p
3	15pu	
3	6	
3	38	
3	82	
3	10	
3	38	
3		13d
3		13pu
3	15pu	
3		1d
3		1PU
3		10
3		8
3		13g
4		11p
4	26pu	
4	19	
4	4	
4	45	
4	19	
4	4	
4	45	
4	33	
4		25hb
4		7pu
4		11l
4		21
4		11g
5		13p
5	9pu	
5	4	
5	6	5f
5	10pu	
5	6	
5		3d
5		28pu
5		10
5		28
5		13
5		5
5		13
5		3
5		1
5		28
5		10
5		13
5		5
5		10
5	4pu	
5	6	
5	38td	
5		10pu
5		13
5		3g
6		11obp
6	19pu	
6	33	
6	2	
6	19	
6	6	
6	26	
6	6td	
6		4pu
6		7
6		25
6		29
6		7
6		37
6		4
6		11
6		7
6		21
6		4
6		11
6		7
6		4
6	19pu	
6	26	
6	33	
6	81td	
6		7pu
6		29
6		7
6		21
6		4g
7		13p
7	4pu	
7	19	
7	10	
7	38	
7	9	
7	10	
7		1d
7		13pu
7		14
7		8
7	19d	
7	19PU	
7	38	
7	19	
7	9g	
8		6p
8	7pu	
8	4	
8	21	
8	7	
8	4	
8	7	
8	29gl	
9		13p
9	15pu	
9	19	
9		14d
10		82p
10	4pu	
10	13	
10	1	
10	64	
10	7	
10		82d
10		82PU
10		47
10		10td
10	7pu	
10	13	
10	21g	
11		11p
11	26pu	
11	19	
11	6	
11	4	
11	2	
11	26	
11		8d
11		8PU
11		28
11		10
11		6gl
12		7obp
12	82pu	
12	38	
12	9	
12	45	
12	10	
12	8	
12	47	
12	10	
12	82	
12	10g	
13		6p
13	14pu	
13	13	
13	64	
13		4so
13		10si
13	1	
13	5	
13	3	
13	8	
13	14	
13		19pu
13		6
13		2
13		19td
13	8pu	
13	13g	
14		11obp
14	15pu	
14	38	
14	45	
14	10	
14	47	
14	10	
14	38	
14	45gl	
15		6p
15	8pu	
15	13	
15	5	
15	1	
15	5	
15	28	
15	3	
15	13	
15	5g	
16		11p
16	15pu	
16	47	
16	9	
16	8	
16	47	
16	15	
16	10	
16	38	
16	10	
16	15	
16	8td	
16		7pu
16		27
16		10
16		4
16	45d	
16	15pu	
16	10	
16	38	
16		11d
16		11PU
16		7
16		to
16		13pu
16		7
16		13
16		7
16		21g
17		10p
17	26pu	
17	82	
17	4	
17	82	
17	2	
17	82	
17	26	
17	2	
17		10pu
17		8
17		28
17		29
17		25
17	81d	
17	82pu	
17	4	
17	2	
17	81l	
17	81vst	
17		10pu
17		8
17		10
17		28
17		10
17		5
17		29
17	82pu	
17	6	
17	4	
17	2	
17		29d
17		10pu
17		8
17		to
17		13pu
17		17
17		1
17		17td
17	47pu	
17	15	
17	8td	
17		13pu
17		1
17	9d	
17	47pu	
17	10	
17	47	
17	10	
17	38pu	7f
17	10	
17	45g	
18		6p
18	10pu	
18	21	
18	11	
18	29gl	
19		11p
19	19pu	
19	6	
19	19	
19	82td	
19		11pu
19		10
19		11td
19	19pu	
19	6	
19	19	
19	26	
19	81	
19	19	11f
19	33	
19	6	
19	4	
19	82	
19		10pu
19		14
19		11
19		25l
19		6
19		28td
19	6pu	
19	81	
19	82gl	
20		19P
20	4pu	
20	7	
20	4	
20	7	
20	4	
20	7	
20	17	
20	21	
20	7	
20	1	
20	13	
20	4	
20	7td	
20		15pu
20		47
20	17d	
20	7pu	
20	4	
20	13	
20	17g	
21		11p
21	6pu	
21	19	
21	4	
21	6	
21	4	
21	82	
21	4	
21	19	
21		10d
21		10so
21		?si
21		13pu
21		8
21		13
21		37
21		13
21		6
21		37
21		8
21		11g
22		7p
22	45pu	
22	47	
22	10	
22	38	
22	45	
22	15	
22		14pu
22		28
22		14
22		7
22		4
22		7
22		4
22		7
22		4
22		14
22		7
22		4
22		7
22	38d	
22	47pu	
22	45	
22	15	
22	8	
22	45	
22	15g	
23		6p
23	8pu	
23	13	
23	8	
23	64	
23	1	
23	6td	
23		19pu
23		26
23	64d	
23	13pu	
23	1	
23	3	
23	64	6f
23	8	
23	1	
23	5g	
24		11p
24	9pu	
24	47	
24	9	
24	38	
24	15	
24		29d
24		4pu
24		10
24		21
24		4
24		11
24		4
24		27
24		10
24		21
24		10
24		4
24		11
24		29td
24	47pu	
24	10	
24	8	
24	38	
24	10	
24	47	
24	45	
24	47	
24	8	
24	10	
24	15	
24	38f	
24		4pu
24		10
24	15d	
24	15PU	
25		6p
25	13pu	
25	4	
25	7	
25	4	
25	17	
25	4	
25	13	
25	7	
25	4	
25	64	
25	4	
25	7	
25	13	
25	4td	
25		10pu
25		38
25		10
25		38
25	13pu	
25	7	
25	17	
25	1	
25	29	
25	64	
25	29	
25	7	
25	64	
25	29	
25	17g	
26		11p
26	26pu	
26	6	
26	4	
26	19	
26	6	
26		8d
26		8PU
26		10
26		14
26	6f	10
26		8
26		6
26		14
26		10
26	6pu	
26	19	
26	6	
26	19	
26	81td	
26		14pu
26		10l
26		11g
27		13p
27	10pu	
27	47	
27	9	
27	45	
27	38	
27	9td	
27		17pu
27		3
27		37
27		13
27	8d	
27	10pu	
27	47	
27	15	
27	9	
27	38	
27	9	
27	10td	
27		13pu
27		25l
27		17
27		25g
28		11p
28	19pu	
28	6	
28		4pu
28		5
28		7
28		10g
29		13p
29	47pu	
29	19	
29	47	
29	19	
29	10	
29	45	
29		1d
29		1pu
29		17
29		14
29		6
29		3
29		13
29		17
29		28
29	47pu	
29	38	
29	47td	
29		1pu
29		13g
30		14p
30	26pu	
30	6	
30	82	
30	6	
30	81	
30	33	
30		5d
30		7pu
30		29
30		11
30		7
30		5
30		11
30		37g
31		13p
31	6pu	
31	19	
31	9	
31	38	
31		6d
31		13pu
31		8
31		1
31		3
31		8
31		1gl
32		7p
32	47pu	
32	26	
32	33	
32	9	
32	26	
32	9	
32		37d
32		37PU
