point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Boston Whitecaps	1	10:00:00	9:34:00
2	Boston Whitecaps	1	9:34:00	8:47:00
3	Boston Whitecaps	1	8:47:00	7:38:00
4	Boston Whitecaps	1	7:38:00	6:32:00
5	Boston Whitecaps	1	6:32:00	3:48:00
6	Boston Whitecaps	1	3:48:00	1:29:00
7	Boston Whitecaps	1	1:29:00	0:23:00
8	New York Rumble	1	0:23:00	0:04:00
9	Boston Whitecaps	1	0:04:00	0:00:00
10	New York Rumble	2	10:00:00	9:17:00
11	Boston Whitecaps	2	9:17:00	8:37:00
12	Boston Whitecaps	2	8:37:00	8:14:00
13	New York Rumble	2	8:14:00	7:12:00
14	Boston Whitecaps	2	7:12:00	6:38:00
15	New York Rumble	2	6:38:00	6:01:00
16	Boston Whitecaps	2	6:01:00	4:01:00
17	Boston Whitecaps	2	4:01:00	0:08:00
18	New York Rumble	2	0:08:00	0:00:00
19	Boston Whitecaps	3	10:00:00	7:46:00
20	New York Rumble	3	7:46:00	6:28:00
21	Boston Whitecaps	3	6:28:00	5:27:00
22	Boston Whitecaps	3	5:27:00	3:29:00
23	New York Rumble	3	3:29:00	2:06:00
24	Boston Whitecaps	3	2:06:00	0:00:00
25	New York Rumble	4	10:00:00	7:57:00
26	Boston Whitecaps	4	7:57:00	5:52:00
27	Boston Whitecaps	4	5:52:00	4:04:00
28	Boston Whitecaps	4	4:04:00	3:16:00
29	Boston Whitecaps	4	3:16:00	1:54:00
30	Boston Whitecaps	4	1:54:00	1:01:00
31	Boston Whitecaps	4	1:01:00	0:12:00
32	Boston Whitecaps	4	0:12:00	0:00:00
