point	Offense	Defense
1		8P
1	7PU	
1	9	
1	11	
1	42	
1	11	
1	9	
1	16	
1	11	
1	6LG	
2		22P
2	89PU	
2	5	
2	22	
2	98	
2		88PU
2		8
2		17
2		88
2	5PU	
2	22	
2	98	
2	72	
2	21	
2	98LG	
3		8P
3	7	
3	9	
3	42	
3	9	
3	7	
3	2	
3	7	
3	6	
3	42	
3	7	
3	11	
3	42	
3	11	
3	42	
3	11	
3	7	
3	16	
3	7	
3	11	
3	7	24F
3	6	
3		45PU
3		31
3		8
3		39
3	7D	
3	7PU	
3	11	
3	42	
3	16	
3	9	
3	2	
3	11	
3		TO
3		91PU
3		98
3		10
3		22
3		98
3	88F	91
3		98
3		19
3		22
3		10
3		98G
4		33P
4	11pu	
4	9	
4	73	
4	7	
4	73	
4		37D
4		18PU
4		33
4	7f	37
4		18
4		75G
5		8P
5	9PU	
5	11	
5	9	
5	16	
5	7LG	
6		22P
6	19	
6	89	
6	10	
6	21	
6	98	
6	10	
6	21	
6	72	
6	98G	
7		8P
7	11	
7	9	
7	11	
7	7	
7	6L	
7	16G	
8		88P
8	5	
8	19	
8	91	
8	22	
8	21	
8	98TD	
8		8PU
8		88
8		22
8		88
8		25
8		88
8		14TO
8		11PU
8		9
8		7
8		?VP
8		9
8		2
8		9
8		2
8	81F	16
8		7L
8		6G
9		88P
9	89pu	
9	91	
9		8D
9		88PU
9		8
9		22
9		88
9		22
9		17G
10		88P
10	91	
10	5	
10		17D
10		8PU
10		25
10		88
10		17
10		25
10		22
10		14
10	72D	
10	91PU	
11		88P
11	5	
11	91	
11	21	
11	91	
11	10	
11	5	
11	22	
11	98	
11	5	
11	91	
11	98G	
12		8P
12	11PU	
12	42	
12	7	
12	9	
12	16	
12		39D
12		39PU
12		31
12		8
12		24
12		27
12	42D	
12	11PU	
12	9	
12	7	
12	42SO	
12	73SI	
12	7PU	
12	9	
12	11	
12	73	
12	11	
12	73	
12	9TD	
12		45PU
12		27
12		39
12	11PU	
12	9G	
13		8P
13	19	
13	89	
13	22	
13	?F	
13		5PU
13		88
13		14
13		22
13		5
13		22
13		8
13		25
13		20G
14		88P
14	75	
14	5	
14	33	
14	5	
14	98	
14		88D
14		88PU
14		7
14		25
14		7
14		88VST
14	5PU	
14		88PU
14	89PU	
14	75	
14	33	
14	75	
14	5	
14	13	
14	98	
14		22D
14		22TO
14		11PU
14		73
14		11
14		9
14		2
14		9
