point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Vancouver Nighthawks	1	10:00:00	9:28:00
2	Portland Stags	1	9:28:00	8:20:00
3	Vancouver Nighthawks	1	8:20:00	5:05:00
4	Vancouver Nighthawks	1	5:05:00	4:17:00
5	Vancouver Nighthawks	1	4:17:00	4:05:00
6	Portland Stags	1	4:05:00	3:35:00
7	Vancouver Nighthawks	1	3:35:00	3:12:00
8	Portland Stags	1	3:12:00	1:25:00
9	Portland Stags	1	1:25:00	0:55:00
10	Portland Stags	1	0:55:00	0:00:00
11	Portland Stags	2	10:00:00	9:17:00
12	Vancouver Nighthawks	2	9:17:00	7:38:00
13	Portland Stags	2	7:38:00	6:49:00
14	Portland Stags	2	6:49:00	2:32:00
15	Portland Stags	2	2:32:00	1:27:00
16	Portland Stags	2	1:27:00	0:00:00
17	Vancouver Nighthawks	3	10:00:00	9:53:00
18	Portland Stags	3	9:53:00	9:15:00
19	Vancouver Nighthawks	3	9:15:00	8:22:00
20	Portland Stags	3	8:22:00	7:03:00
21	Portland Stags	3	7:03:00	6:13:00
22	Vancouver Nighthawks	3	6:13:00	5:22:00
23	Vancouver Nighthawks	3	5:22:00	4:05:00
24	Portland Stags	3	4:05:00	3:33:00
25	Vancouver Nighthawks	3	3:33:00	3:13:00
26	Vancouver Nighthawks	3	3:13:00	2:18:00
27	Portland Stags	3	2:18:00	1:40:00
28	Vancouver Nighthawks	3	1:40:00	0:37:00
29	Portland Stags	3	0:37:00	0:00:00
30	Portland Stags	4	10:00:00	8:50:00
31	Vancouver Nighthawks	4	8:50:00	8:23:00
32	Vancouver Nighthawks	4	8:23:00	7:43:00
33	Vancouver Nighthawks	4	7:43:00	5:42:00
34	Vancouver Nighthawks	4	5:42:00	3:57:00
35	Portland Stags	4	3:57:00	2:46:00
36	Portland Stags	4	2:46:00	1:47:00
37	Vancouver Nighthawks	4	1:47:00	1:09:00
38	Portland Stags	4	1:09:00	0:09:00
39	Portland Stags	4	0:09:00	0:00:00
