point	pullTeam	recvTeam	event	pullNum	pullCode	recvNum	recvCode	scorTeam
1	vanNH	pdxST	1	8	P			pdxST
1	vanNH	pdxST	2			7	PU	pdxST
1	vanNH	pdxST	3			9		pdxST
1	vanNH	pdxST	4			11		pdxST
1	vanNH	pdxST	5			42		pdxST
1	vanNH	pdxST	6			11		pdxST
1	vanNH	pdxST	7			9		pdxST
1	vanNH	pdxST	8			16		pdxST
1	vanNH	pdxST	9			11	A	pdxST
1	vanNH	pdxST	10			6	LG	pdxST
2	pdxST	vanNH	1	22	P			vanNH
2	pdxST	vanNH	2			89	PU	vanNH
2	pdxST	vanNH	3			5		vanNH
2	pdxST	vanNH	4			22		vanNH
2	pdxST	vanNH	5			98		vanNH
2	pdxST	vanNH	6	88	PU			vanNH
2	pdxST	vanNH	7	8				vanNH
2	pdxST	vanNH	8	17				vanNH
2	pdxST	vanNH	9	88				vanNH
2	pdxST	vanNH	10			5	PU	vanNH
2	pdxST	vanNH	11			22		vanNH
2	pdxST	vanNH	12			98		vanNH
2	pdxST	vanNH	13			72		vanNH
2	pdxST	vanNH	14			21	A	vanNH
2	pdxST	vanNH	15			98	LG	vanNH
3	vanNH	pdxST	1	8	P			vanNH
3	vanNH	pdxST	2			7		vanNH
3	vanNH	pdxST	3			9		vanNH
3	vanNH	pdxST	4			42		vanNH
3	vanNH	pdxST	5			9		vanNH
3	vanNH	pdxST	6			7		vanNH
3	vanNH	pdxST	7			2		vanNH
3	vanNH	pdxST	8			7		vanNH
3	vanNH	pdxST	9			6		vanNH
3	vanNH	pdxST	10			42		vanNH
3	vanNH	pdxST	11			7		vanNH
3	vanNH	pdxST	12			11		vanNH
3	vanNH	pdxST	13			42		vanNH
3	vanNH	pdxST	14			11		vanNH
3	vanNH	pdxST	15			42		vanNH
3	vanNH	pdxST	16			11		vanNH
3	vanNH	pdxST	17			7		vanNH
3	vanNH	pdxST	18			16		vanNH
3	vanNH	pdxST	19			7		vanNH
3	vanNH	pdxST	20			11		vanNH
3	vanNH	pdxST	21			7		vanNH
3	vanNH	pdxST	22	24	F			vanNH
3	vanNH	pdxST	23			6		vanNH
3	vanNH	pdxST	24	45	PU			vanNH
3	vanNH	pdxST	25	31				vanNH
3	vanNH	pdxST	26	8				vanNH
3	vanNH	pdxST	27	39				vanNH
3	vanNH	pdxST	28			7	D	vanNH
3	vanNH	pdxST	29			7	PU	vanNH
3	vanNH	pdxST	30			11		vanNH
3	vanNH	pdxST	31			42		vanNH
3	vanNH	pdxST	32			16		vanNH
3	vanNH	pdxST	33			9		vanNH
3	vanNH	pdxST	34			2		vanNH
3	vanNH	pdxST	35			11		vanNH
3	vanNH	pdxST	36		TO			vanNH
3	vanNH	pdxST	37	91	PU			vanNH
3	vanNH	pdxST	38	98				vanNH
3	vanNH	pdxST	39	10				vanNH
3	vanNH	pdxST	40	22				vanNH
3	vanNH	pdxST	41	98				vanNH
3	vanNH	pdxST	42	91				vanNH
3	vanNH	pdxST	43			88	F	vanNH
3	vanNH	pdxST	44	98				vanNH
3	vanNH	pdxST	45	19				vanNH
3	vanNH	pdxST	46	22				vanNH
3	vanNH	pdxST	47	10	A			vanNH
3	vanNH	pdxST	48	98	G			vanNH
4	vanNH	pdxST	1	33	P			vanNH
4	vanNH	pdxST	2			11	PU	vanNH
4	vanNH	pdxST	3			9		vanNH
4	vanNH	pdxST	4			73		vanNH
4	vanNH	pdxST	5			7		vanNH
4	vanNH	pdxST	6			73		vanNH
4	vanNH	pdxST	7	37	D			vanNH
4	vanNH	pdxST	8	18	PU			vanNH
4	vanNH	pdxST	9	33				vanNH
4	vanNH	pdxST	10	37				vanNH
4	vanNH	pdxST	11			7	F	vanNH
4	vanNH	pdxST	12	18	A			vanNH
4	vanNH	pdxST	13	75	G			vanNH
5	vanNH	pdxST	1	8	P			pdxST
5	vanNH	pdxST	2			9	PU	pdxST
5	vanNH	pdxST	3			11		pdxST
5	vanNH	pdxST	4			9		pdxST
5	vanNH	pdxST	5			16	A	pdxST
5	vanNH	pdxST	6			7	LG	pdxST
6	pdxST	vanNH	1	22	P			vanNH
6	pdxST	vanNH	2			19		vanNH
6	pdxST	vanNH	3			89		vanNH
6	pdxST	vanNH	4			10		vanNH
6	pdxST	vanNH	5			21		vanNH
6	pdxST	vanNH	6			98		vanNH
6	pdxST	vanNH	7			10		vanNH
6	pdxST	vanNH	8			21		vanNH
6	pdxST	vanNH	9			72	A	vanNH
6	pdxST	vanNH	10			98	G	vanNH
7	vanNH	pdxST	1	8	P			pdxST
7	vanNH	pdxST	2			11		pdxST
7	vanNH	pdxST	3			9		pdxST
7	vanNH	pdxST	4			11		pdxST
7	vanNH	pdxST	5			7		pdxST
7	vanNH	pdxST	6			6	LA	pdxST
7	vanNH	pdxST	7			16	G	pdxST
8	pdxST	vanNH	1	88	P			pdxST
8	pdxST	vanNH	2			5		pdxST
8	pdxST	vanNH	3			19		pdxST
8	pdxST	vanNH	4			91		pdxST
8	pdxST	vanNH	5			22		pdxST
8	pdxST	vanNH	6			21		pdxST
8	pdxST	vanNH	7			98	TD	pdxST
8	pdxST	vanNH	8	8	PU			pdxST
8	pdxST	vanNH	9	88				pdxST
8	pdxST	vanNH	10	22				pdxST
8	pdxST	vanNH	11	88				pdxST
8	pdxST	vanNH	12	25				pdxST
8	pdxST	vanNH	13	88				pdxST
8	pdxST	vanNH	14	14	TO			pdxST
8	pdxST	vanNH	15	11	PU			pdxST
8	pdxST	vanNH	16	9				pdxST
8	pdxST	vanNH	17	7				pdxST
8	pdxST	vanNH	18		VP			pdxST
8	pdxST	vanNH	19	9				pdxST
8	pdxST	vanNH	20	2				pdxST
8	pdxST	vanNH	21	9				pdxST
8	pdxST	vanNH	22	2				pdxST
8	pdxST	vanNH	23	16				pdxST
8	pdxST	vanNH	24			81	F	pdxST
8	pdxST	vanNH	25	7	LA			pdxST
8	pdxST	vanNH	26	6	G			pdxST
9	pdxST	vanNH	1	88	P			pdxST
9	pdxST	vanNH	2			89	PU	pdxST
9	pdxST	vanNH	3			91		pdxST
9	pdxST	vanNH	4	8	D			pdxST
9	pdxST	vanNH	5	88	PU			pdxST
9	pdxST	vanNH	6	8				pdxST
9	pdxST	vanNH	7	22				pdxST
9	pdxST	vanNH	8	88				pdxST
9	pdxST	vanNH	9	22	A			pdxST
9	pdxST	vanNH	10	17	G			pdxST
10	pdxST	vanNH	1	88	P			NA
10	pdxST	vanNH	2			91		NA
10	pdxST	vanNH	3			5		NA
10	pdxST	vanNH	4	17	D			NA
10	pdxST	vanNH	5	8	PU			NA
10	pdxST	vanNH	6	25				NA
10	pdxST	vanNH	7	88				NA
10	pdxST	vanNH	8	17				NA
10	pdxST	vanNH	9	25				NA
10	pdxST	vanNH	10	22				NA
10	pdxST	vanNH	11	14				NA
10	pdxST	vanNH	12			72	D	NA
10	pdxST	vanNH	13			91	PU	NA
11	pdxST	vanNH	1	88	P			vanNH
11	pdxST	vanNH	2			5		vanNH
11	pdxST	vanNH	3			91		vanNH
11	pdxST	vanNH	4			21		vanNH
11	pdxST	vanNH	5			91		vanNH
11	pdxST	vanNH	6			10		vanNH
11	pdxST	vanNH	7			5		vanNH
11	pdxST	vanNH	8			22		vanNH
11	pdxST	vanNH	9			98		vanNH
11	pdxST	vanNH	10			5		vanNH
11	pdxST	vanNH	11			91	A	vanNH
11	pdxST	vanNH	12			98	G	vanNH
12	vanNH	pdxST	1	8	P			pdxST
12	vanNH	pdxST	2			11	PU	pdxST
12	vanNH	pdxST	3			42		pdxST
12	vanNH	pdxST	4			7		pdxST
12	vanNH	pdxST	5			9		pdxST
12	vanNH	pdxST	6			16		pdxST
12	vanNH	pdxST	7	39	D			pdxST
12	vanNH	pdxST	8	39	PU			pdxST
12	vanNH	pdxST	9	31				pdxST
12	vanNH	pdxST	10	8				pdxST
12	vanNH	pdxST	11	24				pdxST
12	vanNH	pdxST	12	27				pdxST
12	vanNH	pdxST	13			42	D	pdxST
12	vanNH	pdxST	14			11	PU	pdxST
12	vanNH	pdxST	15			9		pdxST
12	vanNH	pdxST	16			7		pdxST
12	vanNH	pdxST	17			42	SO	pdxST
12	vanNH	pdxST	18			73	SI	pdxST
12	vanNH	pdxST	19			7	PU	pdxST
12	vanNH	pdxST	20			9		pdxST
12	vanNH	pdxST	21			11		pdxST
12	vanNH	pdxST	22			73		pdxST
12	vanNH	pdxST	23			11		pdxST
12	vanNH	pdxST	24			73		pdxST
12	vanNH	pdxST	25			9	TD	pdxST
12	vanNH	pdxST	26	45	PU			pdxST
12	vanNH	pdxST	27	27				pdxST
12	vanNH	pdxST	28	39				pdxST
12	vanNH	pdxST	29			11	PUA	pdxST
12	vanNH	pdxST	30			9	G	pdxST
13	pdxST	vanNH	1	8	P			pdxST
13	pdxST	vanNH	2			19		pdxST
13	pdxST	vanNH	3			89		pdxST
13	pdxST	vanNH	4			22		pdxST
13	pdxST	vanNH	5				F	pdxST
13	pdxST	vanNH	6	5	PU			pdxST
13	pdxST	vanNH	7	88				pdxST
13	pdxST	vanNH	8	14				pdxST
13	pdxST	vanNH	9	22				pdxST
13	pdxST	vanNH	10	5				pdxST
13	pdxST	vanNH	11	22				pdxST
13	pdxST	vanNH	12	8				pdxST
13	pdxST	vanNH	13	25	A			pdxST
13	pdxST	vanNH	14	20	G			pdxST
14	pdxST	vanNH	1	88	P			pdxST
14	pdxST	vanNH	2			75		pdxST
14	pdxST	vanNH	3			5		pdxST
14	pdxST	vanNH	4			33		pdxST
14	pdxST	vanNH	5			5		pdxST
14	pdxST	vanNH	6			98		pdxST
14	pdxST	vanNH	7	88	D			pdxST
14	pdxST	vanNH	8	88	PU			pdxST
14	pdxST	vanNH	9	7				pdxST
14	pdxST	vanNH	10	25				pdxST
14	pdxST	vanNH	11	7				pdxST
14	pdxST	vanNH	12	88	VST			pdxST
14	pdxST	vanNH	13			5	PU	pdxST
14	pdxST	vanNH	14	88	PU			pdxST
14	pdxST	vanNH	15			89	PU	pdxST
14	pdxST	vanNH	16			75		pdxST
14	pdxST	vanNH	17			33		pdxST
14	pdxST	vanNH	18			75		pdxST
14	pdxST	vanNH	19			5		pdxST
14	pdxST	vanNH	20			13		pdxST
14	pdxST	vanNH	21			98		pdxST
14	pdxST	vanNH	22	22	D			pdxST
14	pdxST	vanNH	23	22	TO			pdxST
14	pdxST	vanNH	24	11	PU			pdxST
14	pdxST	vanNH	25	73				pdxST
14	pdxST	vanNH	26	11				pdxST
14	pdxST	vanNH	27	9				pdxST
14	pdxST	vanNH	28	2				pdxST
14	pdxST	vanNH	29	9				pdxST
14	pdxST	vanNH	30	11				pdxST
14	pdxST	vanNH	31	2	L			pdxST
14	pdxST	vanNH	32	7				pdxST
14	pdxST	vanNH	33	6				pdxST
14	pdxST	vanNH	34			45	PU	pdxST
14	pdxST	vanNH	35			11		pdxST
14	pdxST	vanNH	36			37		pdxST
14	pdxST	vanNH	37			11		pdxST
14	pdxST	vanNH	38	8	D			pdxST
14	pdxST	vanNH	39	8	PU			pdxST
14	pdxST	vanNH	40	11				pdxST
14	pdxST	vanNH	41	7				pdxST
14	pdxST	vanNH	42	2				pdxST
14	pdxST	vanNH	43	73	A			pdxST
14	pdxST	vanNH	44	7	LG			pdxST
15	pdxST	vanNH	1	88	P			pdxST
15	pdxST	vanNH	2			91		pdxST
15	pdxST	vanNH	3			19		pdxST
15	pdxST	vanNH	4			91		pdxST
