point	event	pullNum	pullCode	recvNum	recvCode
1	1	8	P		
1	2			7	PU
1	3			9	
1	4			11	
1	5			42	
1	6			11	
1	7			9	
1	8			16	
1	9			11	
1	10			6	LG
2	1	22	P		
2	2			89	PU
2	3			5	
2	4			22	
2	5			98	
2	6	88	PU		
2	7	8			
2	8	17			
2	9	88			
2	10			5	PU
2	11			22	
2	12			98	
2	13			72	
2	14			21	
2	15			98	LG
3	1	8	P		
3	2			7	PU
3	3			9	
3	4			42	
3	5			9	
3	6			7	
3	7			2	
3	8			7	
3	9			6	
3	10			42	
3	11			7	
3	12			11	
3	13			42	
3	14			11	
3	15			42	
3	16			11	
3	17			7	
3	18			16	
3	19			7	
3	20			11	
3	21			7	
3	22	24	F		
3	23			6	
3	24	45	PU		
3	25	31			
3	26	8			
3	27	39			
3	28			7	D
3	29			7	PU
3	30			11	
3	31			42	
3	32			16	
3	33			9	
3	34			2	
3	35			11	
3	36		TO		
3	37	91	PU		
3	38	98			
3	39	10			
3	40	22			
3	41	98			
3	42	91			
3	43			88	F
3	44	98			
3	45	19			
3	46	22			
3	47	10			
3	48	98	G		
4	1	33	P		
4	2			11	PU
4	3			9	
4	4			73	
4	5			7	
4	6			73	
4	7	37	D		
4	8	18	PU		
4	9	33			
4	10	37			
4	11			7	F
4	12	18			
4	13	75	G		
5	1	8	P		
5	2			9	PU
5	3			11	
5	4			9	
5	5			16	
5	6			7	LG
6	1	22	P		
6	2			19	PU
6	3			89	
6	4			10	
6	5			21	
6	6			98	
6	7			10	
6	8			21	
6	9			72	
6	10			98	G
7	1	8	P		
7	2			11	PU
7	3			9	
7	4			11	
7	5			7	
7	6			6	L
7	7			16	G
8	1	88	P		
8	2			5	PU
8	3			19	
8	4			91	
8	5			22	
8	6			21	
8	7			98	TD
8	8	8	PU		
8	9	88			
8	10	22			
8	11	88			
8	12	25			
8	13	88			
8	14	14	TO		
8	15	11	PU		
8	16	9			
8	17	7			
8	18	?	VP		
8	19	9			
8	20	2			
8	21	9			
8	22	2			
8	23	16			
8	24			81	F
8	25	7	L		
8	26	6	G		
9	1	88	P		
9	2			89	PU
9	3			91	
9	4	8	D		
9	5	88	PU		
9	6	8			
9	7	22			
9	8	88			
9	9	22			
9	10	17	G		
10	1	88	P		
10	2			91	PU
10	3			5	
10	4	17	D		
10	5	8	PU		
10	6	25			
10	7	88			
10	8	17			
10	9	25			
10	10	22			
10	11	14			
10	12			72	D
10	13			91	PU
11	1	88	P		
11	2			5	PU
11	3			91	
11	4			21	
11	5			91	
11	6			10	
11	7			5	
11	8			22	
11	9			98	
11	10			5	
11	11			91	
11	12			98	G
12	1	8	P		
12	2			11	PU
12	3			42	
12	4			7	
12	5			9	
12	6			16	
12	7	39	D		
12	8	39	PU		
12	9	31			
12	10	8			
12	11	24			
12	12	27			
12	13			42	D
12	14			11	PU
12	15			9	
12	16			7	
12	17			42	SO
12	18			73	SI
12	19			7	PU
12	20			9	
12	21			11	
12	22			73	
12	23			11	
12	24			73	
12	25			9	TD
12	26	45	PU		
12	27	27			
12	28	39			
12	29			11	PU
12	30			9	G
13	1	8	P		
13	2			19	PU
13	3			89	
13	4			22	
13	5			?	F
13	6	5	PU		
13	7	88			
13	8	14			
13	9	22			
13	10	5			
13	11	22			
13	12	8			
13	13	25			
13	14	20	G		
14	1	88	P		
14	2			75	PU
14	3			5	
14	4			33	
14	5			5	
14	6			98	
14	7	88	D		
14	8	88	PU		
14	9	7			
14	10	25			
14	11	7			
14	12	88	VST		
14	13			5	PU
14	14	88	PU		
14	15			89	PU
14	16			75	
14	17			33	
14	18			75	
14	19			5	
14	20			13	
14	21			98	
14	22	22	D		
14	23	22	TO		
14	24	11	PU		
14	25	73			
14	26	11			
14	27	9			
14	28	2			
14	29	9			
14	30	11			
14	31	2	L		
14	32	7			
14	33	6			
14	34			45	PU
14	35			11	
14	36			37	
14	37			11	
14	38	8	D		
14	39	8	PU		
14	40	11			
14	41	7			
14	42	2			
14	43	73			
14	44	7	LG		
15	1	88	P		
15	2			91	PU
15	3			19	
15	4			91	
15	5			98	
15	6	16	F		
15	7			10	F
15	8	25	PU		
15	9	22			
15	10	88			
15	11	5			
15	12	25			
15	13	16			
15	14	22			
15	15	88			
15	16	25			
15	17	5	G		
16	1	88	P		
16	2			89	PU
16	3			91	
16	4			21	
16	5			8	
16	6			91	
16	7			13	
16	8			89	
16	9			19	
16	10			91	
16	11			21	
16	12			8	
16	13			21	
16	14			8	
16	15			72	
16	16			19	
16	17			91	
16	18			13	TD
16	19	8	PU		
16	20	15			
16	21	16	L		
16	22			8	D
17	1	8	P		
17	2			9	PU
17	3			2	LG
18	1	88	OBP		
18	2			89	PU
18	3			22	
18	4			21	
18	5			98	
18	6			72	
18	7			91	
18	8			89	
18	9			91	
18	10			98	
18	11			22	G
19	1	81	P		
19	2			42	PU
19	3			9	
19	4			11	
19	5			2	
19	6			42	
19	7			9	
19	8			42	
19	9			9	
19	10			11	
19	11			8	L
19	12			42	
19	13			8	
19	14			6	G
20	1	7	P		
20	2			91	PU
20	3			89	
20	4			91	
20	5			98	
20	6			91	
20	7			22	
20	8			89	
20	9			91	
20	10	25	D		
20	11	7	PU		
20	12	15			
20	13	17			
20	14	22			
20	15	15			
20	16	4			
20	17	5			
20	18	15			
20	19	17	G		
21	1	7	P		
21	2			19	PU
21	3			89	
21	4			98	
21	5			21	
21	6			22	
21	7			72	
21	8			22	
21	9			19	
21	10			91	
21	11			21	
21	12			19	
21	13			89	
21	14			21	
21	15			89	
21	16			91	
21	17			19	G
22	1	18	P		
22	2			11	PU
22	3			9	
22	4			11	
22	5			9	
22	6			11	
22	7			6	
22	8			11	
22	9			6	
22	10			11	
22	11	24	PU		
22	12			9	F
22	13	39	G		
23	1	8	P		
23	2			73	PU
23	3			9	
23	4			16	
23	5			73	
23	6			2	L
23	7	39	F		
23	8			7	
23	9			8	
23	10			11	
23	11			7	
23	12			8	
23	13			11	
23	14			7	
23	15			8	
23	16			7	
23	17			8	
23	18			6	
23	19	18	F		
23	20			16	G
24	1	7	P		
24	2			89	PU
24	3			19	
24	4			89	
24	5			91	
24	6			19	
24	7			98	
24	8			21	
24	9			10	
24	10			91	G
25	1	81	P		
25	2			42	PU
25	3			11	
25	4			73	
25	5			11	
25	6	8	PU		
25	7	45	G		
26	1	81	P		
26	2			42	PU
26	3			7	
26	4			73	
26	5			7	
26	6			6	
26	7			73	
26	8			2	
26	9			6	
26	10			7	
26	11			8	
26	12			2	
26	13			73	
26	14			8	
26	15			7	
26	16			42	G
27	1	88	P		
27	2			19	PU
27	3			89	
27	4			10	
27	5			21	
27	6			98	
27	7			21	
27	8			89	
27	9			10	
27	10			89	
27	11			91	
27	12			98	
