point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	pdxST	vanNH	pt_dur	pt_dur_txt
1	1	10:00:00	9:28:00	vanNH	1	pdxST	hold	1	0	32	00:32
2	1	9:28:00	8:20:00	pdxST	3	vanNH	hold	1	1	68	01:08
3	1	8:20:00	5:05:00	vanNH	4	vanNH	break	1	2	195	03:15
4	1	5:05:00	4:17:00	vanNH	2	vanNH	break	1	3	48	00:48
5	1	4:17:00	4:05:00	vanNH	1	pdxST	hold	2	3	12	00:12
6	1	4:05:00	3:35:00	pdxST	1	vanNH	hold	2	4	30	00:30
7	1	3:35:00	3:12:00	vanNH	1	pdxST	hold	3	4	23	00:23
8	1	3:12:00	1:25:00	pdxST	2	pdxST	break	4	4	107	01:47
9	1	1:25:00	0:55:00	pdxST	2	pdxST	break	5	4	30	00:30
10	1	0:55:00	0:00:00	pdxST	NA	NA	NA	5	4	55	00:55
11	2	10:00:00	9:17:00	pdxST	1	vanNH	hold	5	5	43	00:43
12	2	9:17:00	7:38:00	vanNH	5	pdxST	hold	6	5	99	01:39
13	2	7:38:00	6:49:00	pdxST	2	pdxST	break	7	5	49	00:49
14	2	6:49:00	2:32:00	pdxST	8	pdxST	break	8	5	257	04:17
15	2	2:32:00	1:27:00	pdxST	2	pdxST	break	9	5	65	01:05
16	2	1:27:00	0:00:00	pdxST	NA	NA	NA	9	5	87	01:27
17	3	10:00:00	9:53:00	vanNH	1	pdxST	hold	10	5	7	00:07
18	3	9:53:00	9:15:00	pdxST	1	vanNH	hold	10	6	38	00:38
19	3	9:15:00	8:22:00	vanNH	1	pdxST	hold	11	6	53	00:53
20	3	8:22:00	7:03:00	pdxST	2	pdxST	break	12	6	79	01:19
21	3	7:03:00	6:13:00	pdxST	1	vanNH	hold	12	7	50	00:50
22	3	6:13:00	5:22:00	vanNH	2	vanNH	break	12	8	51	00:51
23	3	5:22:00	4:05:00	vanNH	1	pdxST	hold	13	8	77	01:17
24	3	4:05:00	3:33:00	pdxST	1	vanNH	hold	13	9	32	00:32
25	3	3:33:00	3:13:00	vanNH	2	vanNH	break	13	10	20	00:20
26	3	3:13:00	2:18:00	vanNH	1	pdxST	hold	14	10	55	00:55
27	3	2:18:00	1:40:00	pdxST	1	vanNH	hold	14	11	38	00:38
28	3	1:40:00	0:37:00	vanNH	1	pdxST	hold	15	11	63	01:03
29	3	0:37:00	0:00:00	pdxST	NA	NA	NA	15	11	37	00:37
30	4	10:00:00	8:50:00	pdxST	3	vanNH	hold	15	12	70	01:10
31	4	8:50:00	8:23:00	vanNH	2	vanNH	break	15	13	27	00:27
32	4	8:23:00	7:43:00	vanNH	2	vanNH	break	15	14	40	00:40
33	4	7:43:00	5:42:00	vanNH	4	vanNH	break	15	15	121	02:01
34	4	5:42:00	3:57:00	vanNH	1	pdxST	hold	16	15	105	01:45
35	4	3:57:00	2:46:00	pdxST	2	pdxST	break	17	15	71	01:11
36	4	2:46:00	1:47:00	pdxST	1	vanNH	hold	17	16	59	00:59
37	4	1:47:00	1:09:00	vanNH	1	pdxST	hold	18	16	38	00:38
38	4	1:09:00	0:09:00	pdxST	2	pdxST	break	19	16	60	01:00
39	4	0:09:00	0:00:00	pdxST	NA	NA	NA	19	16	9	00:09
