period	point	event	pl_team	pl_player	pl_code
1	1	1	vanNH	8	P
1	1	2	pdxST	7	PU
1	1	3	pdxST	9	
1	1	4	pdxST	11	
1	1	5	pdxST	42	
1	1	6	pdxST	11	
1	1	7	pdxST	9	
1	1	8	pdxST	16	
1	1	9	pdxST	11	A
1	1	10	pdxST	6	LG
1	2	1	pdxST	22	P
1	2	2	vanNH	89	PU
1	2	3	vanNH	5	
1	2	4	vanNH	22	
1	2	5	vanNH	98	
1	2	6	pdxST	88	PU
1	2	7	pdxST	8	
1	2	8	pdxST	17	
1	2	9	pdxST	88	
1	2	10	vanNH	5	PU
1	2	11	vanNH	22	
1	2	12	vanNH	98	
1	2	13	vanNH	72	
1	2	14	vanNH	21	A
1	2	15	vanNH	98	LG
1	3	1	vanNH	8	P
1	3	2	pdxST	7	PU
1	3	3	pdxST	9	
1	3	4	pdxST	42	
1	3	5	pdxST	9	
1	3	6	pdxST	7	
1	3	7	pdxST	2	
1	3	8	pdxST	7	
1	3	9	pdxST	6	
1	3	10	pdxST	42	
1	3	11	pdxST	7	
1	3	12	pdxST	11	
1	3	13	pdxST	42	
1	3	14	pdxST	11	
1	3	15	pdxST	42	
1	3	16	pdxST	11	
1	3	17	pdxST	7	
1	3	18	pdxST	16	
1	3	19	pdxST	7	
1	3	20	pdxST	11	
1	3	21	pdxST	7	
1	3	22	vanNH	24	F
1	3	23	pdxST	6	
1	3	24	vanNH	45	PU
1	3	25	vanNH	31	
1	3	26	vanNH	8	
1	3	27	vanNH	39	
1	3	28	pdxST	7	D
1	3	29	pdxST	7	PU
1	3	30	pdxST	11	
1	3	31	pdxST	42	
1	3	32	pdxST	16	
1	3	33	pdxST	9	
1	3	34	pdxST	2	
1	3	35	pdxST	11	
1	3	36	pdxST		
1	3	37	vanNH	91	PU
1	3	38	vanNH	98	
1	3	39	vanNH	10	
1	3	40	vanNH	22	
1	3	41	vanNH	98	
1	3	42	vanNH	91	
1	3	43	pdxST	88	F
1	3	44	vanNH	98	
1	3	45	vanNH	19	
1	3	46	vanNH	22	
1	3	47	vanNH	10	A
1	3	48	vanNH	98	G
1	4	1	vanNH	33	P
1	4	2	pdxST	11	PU
1	4	3	pdxST	9	
1	4	4	pdxST	73	
1	4	5	pdxST	7	
1	4	6	pdxST	73	
1	4	7	vanNH	37	D
1	4	8	vanNH	18	PU
1	4	9	vanNH	33	
1	4	10	vanNH	37	
1	4	11	pdxST	7	F
