game	player	points	goals	assists	Ds
2014-05-24_pdxST-at-vanNH	pdxST-6-Bjorklund	5	3	2	0
2014-05-24_pdxST-at-vanNH	pdxST-7-Friedman	5	2	3	1
2014-05-24_pdxST-at-vanNH	pdxST-2-Allison-Hall	3	3	0	0
2014-05-24_pdxST-at-vanNH	pdxST-16-Burton	3	2	1	0
2014-05-24_pdxST-at-vanNH	pdxST-9-Hancock	3	2	1	0
2014-05-24_pdxST-at-vanNH	pdxST-11-Kenton	3	0	3	0
2014-05-24_pdxST-at-vanNH	pdxST-17-Hayes	2	2	0	1
2014-05-24_pdxST-at-vanNH	pdxST-42-Lohre	2	2	0	1
2014-05-24_pdxST-at-vanNH	pdxST-8-Davis	2	0	2	3
2014-05-24_pdxST-at-vanNH	pdxST-25-Meinershagen	2	0	2	1
2014-05-24_pdxST-at-vanNH	pdxST-73-King	2	0	2	0
2014-05-24_pdxST-at-vanNH	pdxST-5-Woodside	1	1	0	4
2014-05-24_pdxST-at-vanNH	pdxST-20-Beach-Rehner	1	1	0	0
2014-05-24_pdxST-at-vanNH	pdxST-4-Blackman	1	1	0	0
2014-05-24_pdxST-at-vanNH	pdxST-22-Cole	1	0	1	1
2014-05-24_pdxST-at-vanNH	pdxST-88-Suppnick	1	0	1	1
2014-05-24_pdxST-at-vanNH	pdxST-15-Thornton	1	0	1	0
2014-05-24_pdxST-at-vanNH	vanNH-98-wong	8	6	2	0
2014-05-24_pdxST-at-vanNH	vanNH-91-savage	5	1	4	0
2014-05-24_pdxST-at-vanNH	vanNH-10-chatha	3	1	2	0
2014-05-24_pdxST-at-vanNH	vanNH-24-yu	3	1	2	0
2014-05-24_pdxST-at-vanNH	vanNH-39-seraglia	2	2	0	1
2014-05-24_pdxST-at-vanNH	vanNH-22-berezan	2	2	0	0
2014-05-24_pdxST-at-vanNH	vanNH-19-knapp	1	1	0	0
2014-05-24_pdxST-at-vanNH	vanNH-45-cowan	1	1	0	0
2014-05-24_pdxST-at-vanNH	vanNH-75-bellavance	1	1	0	0
2014-05-24_pdxST-at-vanNH	vanNH-72-leduc	1	0	1	1
2014-05-24_pdxST-at-vanNH	vanNH-8-hibbert	1	0	1	1
2014-05-24_pdxST-at-vanNH	vanNH-89-underhill	1	0	1	1
2014-05-24_pdxST-at-vanNH	vanNH-18-menzies	1	0	1	0
2014-05-24_pdxST-at-vanNH	vanNH-21-loach	1	0	1	0
2014-05-24_pdxST-at-vanNH	vanNH-81-tejpar	1	0	1	0
2014-05-24_pdxST-at-vanNH	vanNH-13-tessarolo	0	0	0	1
2014-05-24_pdxST-at-vanNH	vanNH-37-sinclair	0	0	0	1
