point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Washington DC Current	1	10:00:00	7:26:00
2	Washington DC Current	1	7:26:00	5:49:00
3	Washington DC Current	1	5:49:00	5:16:00
4	Philadelphia Spinners	1	5:16:00	4:39:00
5	Washington DC Current	1	4:39:00	3:02:00
6	Philadelphia Spinners	1	3:02:00	0:00:00
7	Philadelphia Spinners	2	10:00:00	7:48:00
8	Philadelphia Spinners	2	7:48:00	6:18:00
9	Philadelphia Spinners	2	6:18:00	4:18:00
10	Philadelphia Spinners	2	4:18:00	4:02:00
11	Philadelphia Spinners	2	4:02:00	3:30:00
12	Washington DC Current	2	3:30:00	1:46:00
13	Washington DC Current	2	1:46:00	0:56:40
14	Washington DC Current	2	0:56:40	0:19:00
15	Washington DC Current	2	0:19:00	0:00:00
16	Washington DC Current	3	10:00:00	8:36:00
17	Philadelphia Spinners	3	8:36:00	8:04:00
18	Washington DC Current	3	8:04:00	6:50:00
19	Philadelphia Spinners	3	6:50:00	6:30:00
20	Washington DC Current	3	6:30:00	4:40:00
21	Washington DC Current	3	4:40:00	3:40:00
22	Philadelphia Spinners	3	3:40:00	3:03:00
23	Philadelphia Spinners	3	3:03:00	2:43:00
24	Washington DC Current	3	2:43:00	2:06:00
25	Washington DC Current	3	2:06:00	0:58:00
26	Washington DC Current	3	0:58:00	0:34:00
27	Philadelphia Spinners	3	0:34:00	0:03:00
28	Washington DC Current	3	0:03:00	0:00:00
29	Philadelphia Spinners	4	10:00:00	9:38:00
30	Washington DC Current	4	9:38:00	8:38:00
31	Washington DC Current	4	8:38:00	7:53:00
32	Washington DC Current	4	7:53:00	7:01:00
33	Washington DC Current	4	7:01:00	6:13:00
34	Washington DC Current	4	6:13:00	4:36:00
35	Washington DC Current	4	4:36:00	3:40:00
36	Philadelphia Spinners	4	3:40:00	3:28:00
37	Washington DC Current	4	3:28:00	3:17:00
38	Philadelphia Spinners	4	3:17:00	2:22:00
39	Philadelphia Spinners	4	2:22:00	2:08:00
40	Washington DC Current	4	2:08:00	1:58:00
41	Philadelphia Spinners	4	1:58:00	0:23:00
42	Philadelphia Spinners	4	0:23:00	0:00:00
