point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	61	P		
1	2			13	PU
1	3			7	
1	4			13	
1	5			4	
1	6			9	
1	7			14	TD
1	8	12	PU		
1	9	5			
1	10	5	F		
1	11	7			
1	12	25			
1	13	5			
1	14	7			
1	15	5			
1	16	31	TD		
1	17			7	PU
1	18			13	
1	19			7	
1	20	5	D		
1	21	5			
1	22	42			
1	23	61			
1	24	12			
1	25	31			
1	26	7			
1	27	12			
1	28	5			
1	29	7			
1	30	25			
1	31	61			
1	32			11	F
1	33	25	G		
2	1	22	P		
2	2			33	PU
2	3			20	
2	4			21	
2	5			33	
2	6			64	
2	7			16	
2	8			21	
2	9			33	
2	10			20	
2	11			33	
2	12			20	
2	13			64	
2	14	1	PU		
2	15	27			
2	16	6			
2	17	27			
2	18			23	D
2	19			21	PU
2	20			64	
2	21	24	D		
2	22	24			
2	23	1			
2	24	22			
2	25	6			
2	26	27			
2	27	22			
2	28	6	G		
3	1	61	P		
3	2			7	PU
3	3			4	
3	4			25	
3	5			7	
3	6			14	
3	7			25	
3	8			11	
3	9			25	
3	10			14	
3	11			4	
3	12			11	G
4	1	20	P		
4	2			99	PU
4	3			2	
4	4			99	
4	5			2	
4	6			8	
4	7			99	
4	8			88	
4	9			2	
4	10			88	
4	11			99	
4	12			8	G
5	1	22	P		
5	2			7	PU
5	3			13	
5	4			7	
5	5			11	
5	6			4	
5	7			9	
5	8			25	
5	9			14	
5	10			11	
5	11			7	
5	12			4	
5	13			7	
5	14			4	
5	15			14	
5	16			25	
5	17			7	
5	18			9	
5	19			7	
5	20			13	
5	21			7	
5	22			13	
5	23			14	TD
5	24	27	PU		
5	25			11	D
5	26			13	PU
5	27			14	
5	28			13	
5	29			11	
5	30			25	G
6	1	88	P		
6	2			99	PU
6	3			90	
6	4			2	
6	5			45	
6	6			9	
6	7	3	PU		
6	8	22			
6	9	10			
6	10	76			
6	11	3			
6	12	38			
6	13	22			
6	14	10			
6	15	76			
6	16	3	TD		
6	17			99	PU
6	18			8	
6	19			99	
6	20			8	TD
6	21	88	SO		
6	22			8	SO
6	23	7	SI		
6	24			5	SI
6	25	3	PU		
6	26	22			
6	27	7			
6	28	10			
6	29	22			
6	30	7			
6	31	10			
6	32	38			
6	33	3			
6	34	76			
6	35	38			
6	36	42			
6	37	7			
6	38	42			
6	39	7	TD		
6	40			2	PU
6	41			90	
6	42			32	
6	43			90	
6	44	22	D		
7	1	64	P		
7	2			99	PU
7	3			88	
7	4			2	
7	5	31	D		
7	6	2	PU		
7	7	6			
7	8	64			
7	9	2			
7	10	31			
7	11	28			
7	12	64			
7	13	6			
7	14			8	D
7	15			2	PU
7	16			99	
7	17	21	F		
7	18			88	
7	19			14	
7	20			99	
7	21			32	
7	22			8	
7	23			32	
7	24			8	
7	25			32	
7	26	6	PU		
7	27	64			
7	28	6			
7	29	2			
7	30	64			
7	31	31	G		
8	1	3	P		
8	2			90	PU
8	3			45	
8	4			80	
8	5			9	
8	6			8	
8	7			9	
8	8	23	PU		
8	9	3			
8	10	76			
8	11			99	D
8	12			99	PU
8	13			9	TD
8	14	3	PU		
8	15	22	L		
8	16	38			
8	17	42	G		
9	1	20	P		
9	2			12	PU
9	3			1	
9	4			5	
9	5			27	
9	6			6	
9	7			42	
9	8			12	
9	9	20	PU		
9	10	64			
9	11	16			
9	12	6			
9	13	31			
9	14	21			
9	15			21	D
9	16			27	PU
9	17			6	TD
9	18	64	PU		
9	19	20			
9	20	2			
9	21	64			
9	22	21			
9	23	64			
9	24	2			
9	25	16			
9	26	20			
9	27	21			
9	28	20			
9	29	21			
9	30	16			
9	31	6	G		
10	1	3	P		
10	2			88	PU
10	3			2	
10	4	42	PU		
10	5	10	G		
11	1	3	P		
11	2			2	PU
11	3			99	
11	4			88	
11	5			45	
11	6			9	
11	7			8	
11	8			90	
11	9			99	LG
