period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	wdcCT	1	1	1	phlSP	wdcCT	61	P
1	1	wdcCT	2	1	1	phlSP	phlSP	13	PU
1	1	wdcCT	3	1	1	phlSP	phlSP	7	
1	1	wdcCT	4	1	1	phlSP	phlSP	13	
1	1	wdcCT	5	1	1	phlSP	phlSP	4	
1	1	wdcCT	6	1	1	phlSP	phlSP	9	
1	1	wdcCT	7	1	1	phlSP	phlSP	14	TD
1	1	wdcCT	8	2	2	wdcCT	wdcCT	12	PU
1	1	wdcCT	9	2	2	wdcCT	wdcCT	5	
1	1	wdcCT	10	2	2	wdcCT	wdcCT	5	F
1	1	wdcCT	11	2	2	wdcCT	wdcCT	7	
1	1	wdcCT	12	2	2	wdcCT	wdcCT	25	
1	1	wdcCT	13	2	2	wdcCT	wdcCT	5	
1	1	wdcCT	14	2	2	wdcCT	wdcCT	7	
1	1	wdcCT	15	2	2	wdcCT	wdcCT	5	
1	1	wdcCT	16	2	2	wdcCT	wdcCT	31	TD
1	1	wdcCT	17	3	3	phlSP	phlSP	7	PU
1	1	wdcCT	18	3	3	phlSP	phlSP	13	
1	1	wdcCT	19	3	3	phlSP	phlSP	7	
1	1	wdcCT	20	3	3	phlSP	wdcCT	5	D
1	1	wdcCT	21	4	4	wdcCT	wdcCT	5	
1	1	wdcCT	22	4	4	wdcCT	wdcCT	42	
1	1	wdcCT	23	4	4	wdcCT	wdcCT	61	
1	1	wdcCT	24	4	4	wdcCT	wdcCT	12	
1	1	wdcCT	25	4	4	wdcCT	wdcCT	31	
1	1	wdcCT	26	4	4	wdcCT	wdcCT	7	
1	1	wdcCT	27	4	4	wdcCT	wdcCT	12	
1	1	wdcCT	28	4	4	wdcCT	wdcCT	5	
1	1	wdcCT	29	4	4	wdcCT	wdcCT	7	
1	1	wdcCT	30	4	4	wdcCT	wdcCT	25	
1	1	wdcCT	31	4	4	wdcCT	wdcCT	61	A
1	1	wdcCT	32	4	4	wdcCT	phlSP	11	F
1	1	wdcCT	33	4	4	wdcCT	wdcCT	25	G
1	2	wdcCT	1	5	1	phlSP	wdcCT	22	P
1	2	wdcCT	2	5	1	phlSP	phlSP	33	PU
1	2	wdcCT	3	5	1	phlSP	phlSP	20	
1	2	wdcCT	4	5	1	phlSP	phlSP	21	
1	2	wdcCT	5	5	1	phlSP	phlSP	33	
1	2	wdcCT	6	5	1	phlSP	phlSP	64	
1	2	wdcCT	7	5	1	phlSP	phlSP	16	
1	2	wdcCT	8	5	1	phlSP	phlSP	21	
1	2	wdcCT	9	5	1	phlSP	phlSP	33	
1	2	wdcCT	10	5	1	phlSP	phlSP	20	
1	2	wdcCT	11	5	1	phlSP	phlSP	33	
1	2	wdcCT	12	5	1	phlSP	phlSP	20	
1	2	wdcCT	13	5	1	phlSP	phlSP	64	
1	2	wdcCT	14	6	2	wdcCT	wdcCT	1	PU
1	2	wdcCT	15	6	2	wdcCT	wdcCT	27	
1	2	wdcCT	16	6	2	wdcCT	wdcCT	6	
1	2	wdcCT	17	6	2	wdcCT	wdcCT	27	
1	2	wdcCT	18	6	2	wdcCT	phlSP	23	D
1	2	wdcCT	19	7	3	phlSP	phlSP	21	PU
1	2	wdcCT	20	7	3	phlSP	phlSP	64	
1	2	wdcCT	21	7	3	phlSP	wdcCT	24	D
1	2	wdcCT	22	8	4	wdcCT	wdcCT	24	
1	2	wdcCT	23	8	4	wdcCT	wdcCT	1	
1	2	wdcCT	24	8	4	wdcCT	wdcCT	22	
1	2	wdcCT	25	8	4	wdcCT	wdcCT	6	
