point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	phlSP	wdcCT
1	1	10:00:00	7:26:00	wdcCT	4	wdcCT	break	0	1
2	1	7:26:00	5:49:00	wdcCT	4	wdcCT	break	0	2
3	1	5:49:00	5:16:00	wdcCT	1	phlSP	hold	1	2
4	1	5:16:00	4:39:00	phlSP	1	wdcCT	hold	1	3
5	1	4:39:00	3:02:00	wdcCT	3	phlSP	hold	2	3
6	1	3:02:00	0:00:00	phlSP	NA	NA	NA	2	3
7	2	10:00:00	7:48:00	phlSP	4	phlSP	break	3	3
8	2	7:48:00	6:18:00	phlSP	4	phlSP	break	4	3
9	2	6:18:00	4:18:00	phlSP	4	phlSP	break	5	3
10	2	4:18:00	4:02:00	phlSP	2	phlSP	break	6	3
11	2	4:02:00	3:30:00	phlSP	1	wdcCT	hold	6	4
12	2	3:30:00	1:46:00	wdcCT	2	wdcCT	break	6	5
13	2	1:46:00	0:56:40	wdcCT	4	wdcCT	break	6	6
14	2	0:56:40	0:19:00	wdcCT	2	wdcCT	break	6	7
15	2	0:19:00	0:00:00	wdcCT	NA	NA	NA	6	7
16	3	10:00:00	8:36:00	wdcCT	1	phlSP	hold	7	7
17	3	8:36:00	8:04:00	phlSP	1	wdcCT	hold	7	8
18	3	8:04:00	6:50:00	wdcCT	1	phlSP	hold	8	8
19	3	6:50:00	6:30:00	phlSP	1	wdcCT	hold	8	9
20	3	6:30:00	4:40:00	wdcCT	6	wdcCT	break	8	10
21	3	4:40:00	3:40:00	wdcCT	3	phlSP	hold	9	10
22	3	3:40:00	3:03:00	phlSP	2	phlSP	break	10	10
23	3	3:03:00	2:43:00	phlSP	1	wdcCT	hold	10	11
24	3	2:43:00	2:06:00	wdcCT	2	wdcCT	break	10	12
25	3	2:06:00	0:58:00	wdcCT	4	wdcCT	break	10	13
26	3	0:58:00	0:34:00	wdcCT	1	phlSP	hold	11	13
27	3	0:34:00	0:03:00	phlSP	1	wdcCT	hold	11	14
28	3	0:03:00	0:00:00	wdcCT	NA	NA	NA	11	14
29	4	10:00:00	9:38:00	phlSP	1	wdcCT	hold	11	15
30	4	9:38:00	8:38:00	wdcCT	2	wdcCT	break	11	16
31	4	8:38:00	7:53:00	wdcCT	2	wdcCT	break	11	17
32	4	7:53:00	7:01:00	wdcCT	2	wdcCT	break	11	18
33	4	7:01:00	6:13:00	wdcCT	2	wdcCT	break	11	19
34	4	6:13:00	4:36:00	wdcCT	4	wdcCT	break	11	20
35	4	4:36:00	3:40:00	wdcCT	1	phlSP	hold	12	20
36	4	3:40:00	3:28:00	phlSP	1	wdcCT	hold	12	21
37	4	3:28:00	3:17:00	wdcCT	1	phlSP	hold	13	21
38	4	3:17:00	2:22:00	phlSP	2	phlSP	break	14	21
39	4	2:22:00	2:08:00	phlSP	1	wdcCT	hold	14	22
40	4	2:08:00	1:58:00	wdcCT	1	phlSP	hold	15	22
41	4	1:58:00	0:23:00	phlSP	4	phlSP	break	16	22
42	4	0:23:00	0:00:00	phlSP	NA	NA	NA	16	22
