period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	wdcCT	7	1	1	phlSP	phlSP	14	TD	7	FALSE	FALSE	NA	o_line	TD	off -
1	1	wdcCT	16	2	2	wdcCT	wdcCT	31	TD	9	FALSE	FALSE	NA	d_line	TD	off -
1	1	wdcCT	20	3	3	phlSP	wdcCT	5	D	4	FALSE	FALSE	NA	o_line	D	def +
1	1	wdcCT	33	4	4	wdcCT	wdcCT	25	G	13	FALSE	TRUE	wdcCT	d_line	G	G
1	2	wdcCT	13	5	1	phlSP	phlSP	64	TA	13	FALSE	FALSE	NA	o_line	TA	off -
1	2	wdcCT	18	6	2	wdcCT	phlSP	23	D	5	FALSE	FALSE	NA	d_line	D	def +
1	2	wdcCT	21	7	3	phlSP	wdcCT	24	D	3	FALSE	FALSE	NA	o_line	D	def +
1	2	wdcCT	28	8	4	wdcCT	wdcCT	6	G	7	FALSE	TRUE	wdcCT	d_line	G	G
1	3	wdcCT	12	9	1	phlSP	phlSP	11	G	12	FALSE	TRUE	phlSP	o_line	G	G
1	4	phlSP	12	10	1	wdcCT	wdcCT	8	G	12	FALSE	TRUE	wdcCT	o_line	G	G
1	5	wdcCT	23	11	1	phlSP	phlSP	14	TD	23	FALSE	FALSE	NA	o_line	TD	off -
1	5	wdcCT	25	12	2	wdcCT	phlSP	11	D	2	FALSE	FALSE	NA	d_line	D	def +
1	5	wdcCT	30	13	3	phlSP	phlSP	25	G	5	FALSE	TRUE	phlSP	o_line	G	G
1	6	phlSP	6	14	1	wdcCT	wdcCT	9	TA	6	FALSE	FALSE	NA	o_line	TA	off -
1	6	phlSP	16	15	2	phlSP	phlSP	3	TD	10	FALSE	FALSE	NA	d_line	TD	off -
1	6	phlSP	20	16	3	wdcCT	wdcCT	8	TD	4	FALSE	FALSE	NA	o_line	TD	off -
1	6	phlSP	39	17	4	phlSP	phlSP	7	TD	19	FALSE	FALSE	NA	d_line	TD	off -
1	6	phlSP	44	18	5	wdcCT	phlSP	22	eop	5	FALSE	FALSE	NA	o_line	eop	eop
2	7	phlSP	5	19	1	wdcCT	phlSP	31	D	5	FALSE	FALSE	NA	o_line	D	def +
2	7	phlSP	14	20	2	phlSP	wdcCT	8	D	9	FALSE	FALSE	NA	d_line	D	def +
2	7	phlSP	25	21	3	wdcCT	wdcCT	32	TA	11	FALSE	FALSE	NA	o_line	TA	off -
2	7	phlSP	31	22	4	phlSP	phlSP	31	G	6	FALSE	TRUE	phlSP	d_line	G	G
2	8	phlSP	7	23	1	wdcCT	wdcCT	9	TA	7	FALSE	FALSE	NA	o_line	TA	off -
2	8	phlSP	11	24	2	phlSP	wdcCT	99	D	4	FALSE	FALSE	NA	d_line	D	def +
2	8	phlSP	13	25	3	wdcCT	wdcCT	9	TD	2	FALSE	FALSE	NA	o_line	TD	off -
2	8	phlSP	17	26	4	phlSP	phlSP	42	G	4	TRUE	TRUE	phlSP	d_line	G	G
2	9	phlSP	8	27	1	wdcCT	wdcCT	12	TA	8	FALSE	FALSE	NA	o_line	TA	off -
2	9	phlSP	15	28	2	phlSP	wdcCT	21	D	7	FALSE	FALSE	NA	d_line	D	def +
2	9	phlSP	17	29	3	wdcCT	wdcCT	6	TD	2	FALSE	FALSE	NA	o_line	TD	off -
2	9	phlSP	31	30	4	phlSP	phlSP	6	G	14	FALSE	TRUE	phlSP	d_line	G	G
2	10	phlSP	3	31	1	wdcCT	wdcCT	2	TA	3	FALSE	FALSE	NA	o_line	TA	off -
2	10	phlSP	5	32	2	phlSP	phlSP	10	G	2	FALSE	TRUE	phlSP	d_line	G	G
2	11	phlSP	9	33	1	wdcCT	wdcCT	99	LG	9	TRUE	TRUE	wdcCT	o_line	G	G
2	12	wdcCT	11	34	1	phlSP	phlSP	9	TD	11	FALSE	FALSE	NA	o_line	TD	off -
