poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	phlSP-13		O-CTH	phlSP-7	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-13	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	phlSP-13		O-CTH	phlSP-4	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	phlSP-4		O-CTH	phlSP-9	TRUE	compl
1	1	1	6	7	ao	0	O-CTH	phlSP-9		O-TD	phlSP-14	TRUE	drop
2	2	1	8	9	ao	0	O-PU	wdcCT-12		O-CTH	wdcCT-5	TRUE	compl
2	2	1	9	11	ao	1	O-CTH	wdcCT-5	O-F	O-CTH	wdcCT-7	TRUE	compl
2	2	1	11	12	ao	0	O-CTH	wdcCT-7		O-CTH	wdcCT-25	TRUE	compl
2	2	1	12	13	ao	0	O-CTH	wdcCT-25		O-CTH	wdcCT-5	TRUE	compl
2	2	1	13	14	ao	0	O-CTH	wdcCT-5		O-CTH	wdcCT-7	TRUE	compl
2	2	1	14	15	ao	0	O-CTH	wdcCT-7		O-CTH	wdcCT-5	TRUE	compl
2	2	1	15	16	ao	0	O-CTH	wdcCT-5		O-TD	wdcCT-31	TRUE	drop
3	3	1	17	18	ao	0	O-PU	phlSP-7		O-CTH	phlSP-13	TRUE	compl
3	3	1	18	19	ao	0	O-CTH	phlSP-13		O-CTH	phlSP-7	TRUE	compl
3	3	1	19	20	ao	0	O-CTH	phlSP-7		D-D	wdcCT-5	TRUE	defd
4	4	1	21	22	ao	0	O-CTH	wdcCT-5		O-CTH	wdcCT-42	TRUE	compl
4	4	1	22	23	ao	0	O-CTH	wdcCT-42		O-CTH	wdcCT-61	TRUE	compl
4	4	1	23	24	ao	0	O-CTH	wdcCT-61		O-CTH	wdcCT-12	TRUE	compl
4	4	1	24	25	ao	0	O-CTH	wdcCT-12		O-CTH	wdcCT-31	TRUE	compl
