game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-05-31_phlSP-at-wdcCT	phlSP-25	katzenbach	3	0.87	3	0	23	20	25	0	1	phlSP	25
2014-05-31_phlSP-at-wdcCT	phlSP-11	esser	3	0.89	2	1	9	8	11	1	0	phlSP	11
2014-05-31_phlSP-at-wdcCT	phlSP-13	brandolph	3	0.97	1	2	34	33	27	0	1	phlSP	13
2014-05-31_phlSP-at-wdcCT	phlSP-7	hirannet	3	0.95	0	3	44	42	36	0	0	phlSP	7
2014-05-31_phlSP-at-wdcCT	phlSP-14	glazer	2	0.94	2	0	16	15	18	0	0	phlSP	14
2014-05-31_phlSP-at-wdcCT	phlSP-6	chou	2	0.75	2	0	8	6	9	0	0	phlSP	6
2014-05-31_phlSP-at-wdcCT	phlSP-2	colton	2	0.92	1	1	13	12	9	1	1	phlSP	2
2014-05-31_phlSP-at-wdcCT	phlSP-42	ranii-dropcho	2	0.8	1	1	5	4	5	0	1	phlSP	42
2014-05-31_phlSP-at-wdcCT	phlSP-64	brasz	2	0.79	0	2	19	15	17	0	0	phlSP	64
2014-05-31_phlSP-at-wdcCT	phlSP-31	lindsey	1	1	1	0	7	7	7	3	0	phlSP	31
2014-05-31_phlSP-at-wdcCT	phlSP-22	paparone	1	1	1	0	6	6	7	1	0	phlSP	22
2014-05-31_phlSP-at-wdcCT	phlSP-10	casey	1	1	1	0	4	4	5	0	0	phlSP	10
2014-05-31_phlSP-at-wdcCT	phlSP-76	dillon	1	0.67	1	0	6	4	6	0	1	phlSP	76
2014-05-31_phlSP-at-wdcCT	phlSP-20	baer	1	0.89	0	1	18	16	14	2	1	phlSP	20
2014-05-31_phlSP-at-wdcCT	phlSP-28	baer	1	1	0	1	3	3	3	1	0	phlSP	28
2014-05-31_phlSP-at-wdcCT	phlSP-9	diviney	1	0.62	0	1	13	8	12	1	2	phlSP	9
2014-05-31_phlSP-at-wdcCT	phlSP-16	shull	1	1	0	1	10	10	11	0	0	phlSP	16
2014-05-31_phlSP-at-wdcCT	phlSP-38	wisch	1	1	0	1	4	4	4	0	0	phlSP	38
2014-05-31_phlSP-at-wdcCT	phlSP-4	damiano	1	1	0	1	11	11	9	0	0	phlSP	4
2014-05-31_phlSP-at-wdcCT	phlSP-23	thorne	0	1	0	0	4	4	2	1	0	phlSP	23
2014-05-31_phlSP-at-wdcCT	phlSP-21	panna	0	0.77	0	0	13	10	11	0	0	phlSP	21
2014-05-31_phlSP-at-wdcCT	phlSP-3	earles	0	0.86	0	0	7	6	4	0	0	phlSP	3
2014-05-31_phlSP-at-wdcCT	phlSP-33	ward	0	1	0	0	9	9	5	0	0	phlSP	33
2014-05-31_phlSP-at-wdcCT	phlSP-8	furfari	0	0	0	0	1	0	0	0	0	phlSP	8
2014-05-31_phlSP-at-wdcCT	wdcCT-99	kolick	5	0.85	2	3	27	23	20	1	3	wdcCT	99
2014-05-31_phlSP-at-wdcCT	wdcCT-90	shofner	5	0.91	0	5	11	10	10	0	0	wdcCT	90
2014-05-31_phlSP-at-wdcCT	wdcCT-8	prial	4	0.94	2	2	18	17	19	1	0	wdcCT	8
2014-05-31_phlSP-at-wdcCT	wdcCT-19	maloney	4	0.88	2	2	8	7	9	0	0	wdcCT	19
2014-05-31_phlSP-at-wdcCT	wdcCT-5	cranston	3	0.82	3	0	17	14	19	1	1	wdcCT	5
2014-05-31_phlSP-at-wdcCT	wdcCT-61	salmi	3	1	1	2	6	6	7	0	0	wdcCT	61
2014-05-31_phlSP-at-wdcCT	wdcCT-45	wodatch	2	1	2	0	9	9	11	1	0	wdcCT	45
2014-05-31_phlSP-at-wdcCT	wdcCT-1	kantor	2	1	2	0	3	3	4	0	0	wdcCT	1
2014-05-31_phlSP-at-wdcCT	wdcCT-25	gordon	2	1	2	0	4	4	6	0	0	wdcCT	25
2014-05-31_phlSP-at-wdcCT	wdcCT-9	doi	2	0.67	2	0	6	4	8	0	0	wdcCT	9
2014-05-31_phlSP-at-wdcCT	wdcCT-32	peters	2	0.92	1	1	12	11	11	0	0	wdcCT	32
2014-05-31_phlSP-at-wdcCT	wdcCT-6	gordon	1	1	1	0	4	4	5	1	0	wdcCT	6
2014-05-31_phlSP-at-wdcCT	wdcCT-88	oung	1	0.93	1	0	15	14	10	1	0	wdcCT	88
2014-05-31_phlSP-at-wdcCT	wdcCT-14	blake	1	1	1	0	6	6	5	0	0	wdcCT	14
2014-05-31_phlSP-at-wdcCT	wdcCT-42	gibson	1	1	0	1	8	8	6	3	0	wdcCT	42
2014-05-31_phlSP-at-wdcCT	wdcCT-21	dulabon	1	0.8	0	1	5	4	5	1	0	wdcCT	21
2014-05-31_phlSP-at-wdcCT	wdcCT-7	boylan-kolchin	1	0.91	0	1	11	10	11	1	1	wdcCT	7
2014-05-31_phlSP-at-wdcCT	wdcCT-12	bellinger	1	0.96	0	1	23	22	14	0	0	wdcCT	12
2014-05-31_phlSP-at-wdcCT	wdcCT-2	keegan	1	0.86	0	1	22	19	16	0	0	wdcCT	2
2014-05-31_phlSP-at-wdcCT	wdcCT-22	marshall	1	1	0	1	3	3	3	0	0	wdcCT	22
2014-05-31_phlSP-at-wdcCT	wdcCT-80	grabowski	1	0.75	0	1	4	3	4	0	0	wdcCT	80
2014-05-31_phlSP-at-wdcCT	wdcCT-27	johnston	0	0.77	0	0	13	10	9	2	1	wdcCT	27
2014-05-31_phlSP-at-wdcCT	wdcCT-24	fleming	0	1	0	0	1	1	0	1	0	wdcCT	24
2014-05-31_phlSP-at-wdcCT	wdcCT-17	miner	0	1	0	0	2	2	2	0	0	wdcCT	17
2014-05-31_phlSP-at-wdcCT	wdcCT-31	cobb	0	1	0	0	2	2	2	0	0	wdcCT	31
