point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	88	P		
1	2			8	PU
1	3			16	
1	4	88	PU		
1	5	22			
1	6	21			
1	7	8			
1	8	17			
1	9	3			
1	10	21			
1	11	22			
1	12			13	D
1	13			8	PU
1	14			16	
1	15			8	
1	16			21	
1	17			6	
1	18			16	
1	19			8	
1	20			13	
1	21			16	
1	22			88	G
2	1	12	P		
2	2			7	PU
2	3			24	
2	4			7	
2	5			6	
2	6			7	
2	7			2	
2	8			7	
2	9			42	
2	10			7	
2	11			11	
2	12			16	
2	13			42	L
2	14			2	G
3	1	88	P		
3	2			8	PU
3	3			16	
3	4			13	
3	5			19	TD
3	6	1	PU		
3	7	21			
3	8	88			
3	9			16	PU
3	10			88	
3	11			16	
3	12			6	
3	13			13	G
4	1	12	P		
4	2			7	PU
4	3			24	
4	4			16	
4	5			7	
4	6			24	
4	7			7	
4	8			24	
4	9			7	
4	10			24	
4	11			16	L
4	12			6	G
5	1	8	P		
5	2			1	PU
5	3			8	
5	4			46	
5	5			6	
5	6			22	
5	7			8	
5	8			6	
5	9			1	
5	10			22	
5	11			6	
5	12			8	
5	13			88	TD
5	14	15	PU		
5	15	8			
5	16			6	D
5	17			8	PU
5	18			88	
5	19			46	
5	20			88	
5	21			8	L
5	22			6	
5	23			46	G
6	1	12	P		
6	2			88	PU
6	3			24	
6	4			22	
6	5			7	
6	6			42	
6	7			6	
6	8			42	
6	9			88	
6	10			11	
6	11	12	PU		
6	12			88	D
6	13			24	PU
6	14			42	
6	15			24	
6	16			42	
6	17			24	
6	18			11	
6	19			42	
6	20			16	
6	21			7	
6	22			11	
6	23			7	
6	24			24	
6	25	17	PU		
6	26	85	TO		
6	27	16	PU		
6	28	6			
6	29			8	F
6	30	19			
6	31			3	F
6	32	19			
6	33	8			
6	34	16			
6	35	6	TD		
6	36			8	PU
6	37			8	TO
6	38			10	PU
6	39			7	
6	40			10	
6	41	11	HB		
6	42	10	PU		
6	43	5	G		
7	1	46	P		
7	2			73	PU
7	3			10	
7	4			7	
7	5			16	
7	6			42	
7	7			16	
7	8			6	
7	9			7	
7	10			10	
7	11			42	
7	12			7	
7	13			73	G
8	1	88	P		
8	2			8	PU
8	3			16	
8	4			19	
8	5			16	
8	6			8	
8	7			88	
8	8			6	
8	9			88	
8	10			8	
8	11	3	PU		
8	12	21			
8	13	12			
8	14	22			
8	15	88	TO		
8	16	24	PU		
8	17	7			
8	18	24			
8	19	7			
8	20	2			
8	21	6			
8	22	24			
9	1	12	P		
9	2			11	PU
9	3			24	
9	4			42	
9	5			11	
9	6			6	LG
10	1	8	P		
10	2			8	PU
10	3			16	
10	4			13	
10	5			88	
10	6			19	LG
11	1	12	P		
11	2			7	PU
11	3			10	
11	4			73	
11	5			6	
11	6			16	
11	7			2	
11	8			7	TD
11	9	5	PU		
11	10	12			
11	11	5			
11	12	1			
11	13	17			
11	14	1			
11	15	17			
11	16	5	TD		
11	17			7	PU
11	18			42	
11	19			73	
11	20			10	
11	21			73	
11	22			16	
11	23			7	
11	24			42	
11	25			7	
11	26			73	
11	27			10	
11	28			16	
11	29			42	
11	30			16	
11	31			10	
11	32			73	
11	33			10	
11	34			16	
11	35			10	
11	36			7	L
11	37	12	F		
11	38			16	G
12	1	88	P		
12	2			57	PU
12	3			8	
12	4			13	
12	5			88	
12	6			46	
12	7			22	
12	8			13	LG
13	1	5	P		
13	2			7	PU
13	3			24	
13	4			11	
13	5			24	
13	6			7	
13	7			24	
13	8			11	
13	9			2	
13	10			42	
13	11			16	
13	12			24	
13	13			11	G
14	1	88	P		
14	2			8	PU
14	3			16	
14	4			88	
14	5			6	
14	6			13	
14	7			19	
14	8			8	
14	9	15	F		
14	10	14	D		
14	11	21	PU		
14	12	88			
14	13	21			
14	14	88			
14	15	8			
14	16	14			
14	17	88			
14	18	15			
14	19	17	G		
15	1	7	P		
15	2			17	PU
15	3	7	PU		
15	4	15			
15	5	8			
15	6			5	PU
15	7			17	
15	8			12	
15	9			1	
15	10			18	
15	11			10	
15	12			1	
15	13			85	
15	14			17	
15	15			85	
15	16			17	TO
15	17			16	PU
15	18			8	
15	19			88	
15	20			8	
15	21			88	
15	22			6	
15	23	42	F		
15	24			16	
15	25			6	G
16	1	12	P		
16	2			11	PU
16	3			24	
16	4			7	
16	5			24	
16	6			7	
16	7			24	
16	8			11	
16	9			6	
16	10			11	
16	11			24	
16	12			7	
16	13			16	
16	14			6	
16	15			42	LG
17	1	8	P		
17	2			8	PU
17	3			16	
17	4			88	
17	5			16	
17	6			6	
17	7			8	TD
17	8	88	PU		
17	9	22			
17	10	5	L		
17	11	21			
17	12	17	G		
18	1	8	P		
18	2			8	PU
18	3			16	
18	4			13	
18	5			16	
18	6			19	
18	7			8	
18	8			21	TD
18	9	88	PU		
18	10	8			
18	11	21			
18	12			6	F
18	13	8			
18	14			16	PU
18	15			13	
18	16			16	
18	17			21	
18	18			16	
18	19			88	
18	20			8	
18	21			19	
18	22			13	
18	23			8	
18	24			16	
18	25			88	
18	26			6	
18	27			88	
18	28			6	
18	29			16	
18	30	8	D		
19	1	88	P		
19	2			16	PU
19	3			88	
19	4			16	
19	5			88	
19	6			16	
19	7			6	
19	8			13	
19	9			16	
19	10			13	
19	11			16	
19	12			19	
19	13			16	
19	14			21	G
20	1	12	P		
20	2			11	PU
20	3			24	
20	4			7	
20	5			6	
20	6			16	L
20	7			2	
20	8			24	
20	9			11	
20	10			6	G
21	1	88	P		
21	2			8	PU
21	3			5	
21	4			57	
21	5			5	
21	6			57	
21	7			5	
21	8			57	
21	9			8	
21	10			6	TD
21	11	88	PU		
21	12	5	L		
21	13			1	F
21	14	21			
21	15	3	G		
22	1	8	P		
22	2			12	PU
22	3			25	
22	4			46	
22	5			18	
22	6			25	
22	7			11	
22	8			5	
22	9			25	
22	10	15	PU		
22	11			85	D
22	12			12	PU
22	13			25	
22	14			12	
22	15			25	
22	16			12	
22	17			25	
22	18			12	
22	19			5	
22	20			18	
22	21			85	
22	22			12	
22	23			18	
22	24			46	
22	25			25	
22	26			12	
22	27			85	G
23	1	12	P		
23	2			7	PU
23	3			10	
23	4			73	
23	5			6	
23	6			73	
23	7			6	
23	8			20	
23	9			10	
23	10			73	
23	11			10	
23	12			7	
23	13			6	
23	14			7	
23	15			6	
23	16			42	
23	17			73	
23	18			20	L
23	19			10	
23	20			16	G
24	1	88	P		
24	2			8	PU
24	3			16	
24	4			13	
24	5	17	PU		
24	6	4			
24	7	17			
24	8			19	F
24	9	15			
24	10	4			
24	11	8			
24	12	12			
24	13	8			
24	14	15			
24	15	14			
24	16	17			
24	17	4			
24	18	14			
24	19	12			
24	20	88			
24	21	14	G		
25	1	88	P		
