period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	pdxST	1	1	1	sfoDF	pdxST	88	P
1	1	pdxST	2	1	1	sfoDF	sfoDF	8	PU
1	1	pdxST	3	1	1	sfoDF	sfoDF	16	
1	1	pdxST	4	2	2	pdxST	pdxST	88	PU
1	1	pdxST	5	2	2	pdxST	pdxST	22	
1	1	pdxST	6	2	2	pdxST	pdxST	21	
1	1	pdxST	7	2	2	pdxST	pdxST	8	
1	1	pdxST	8	2	2	pdxST	pdxST	17	
1	1	pdxST	9	2	2	pdxST	pdxST	3	
1	1	pdxST	10	2	2	pdxST	pdxST	21	
1	1	pdxST	11	2	2	pdxST	pdxST	22	
1	1	pdxST	12	2	2	pdxST	sfoDF	13	D
1	1	pdxST	13	3	3	sfoDF	sfoDF	8	PU
1	1	pdxST	14	3	3	sfoDF	sfoDF	16	
1	1	pdxST	15	3	3	sfoDF	sfoDF	8	
1	1	pdxST	16	3	3	sfoDF	sfoDF	21	
1	1	pdxST	17	3	3	sfoDF	sfoDF	6	
1	1	pdxST	18	3	3	sfoDF	sfoDF	16	
1	1	pdxST	19	3	3	sfoDF	sfoDF	8	
1	1	pdxST	20	3	3	sfoDF	sfoDF	13	
1	1	pdxST	21	3	3	sfoDF	sfoDF	16	A
1	1	pdxST	22	3	3	sfoDF	sfoDF	88	G
1	2	sfoDF	1	4	1	pdxST	sfoDF	12	P
1	2	sfoDF	2	4	1	pdxST	pdxST	7	PU
1	2	sfoDF	3	4	1	pdxST	pdxST	24	
1	2	sfoDF	4	4	1	pdxST	pdxST	7	
1	2	sfoDF	5	4	1	pdxST	pdxST	6	
1	2	sfoDF	6	4	1	pdxST	pdxST	7	
1	2	sfoDF	7	4	1	pdxST	pdxST	2	
1	2	sfoDF	8	4	1	pdxST	pdxST	7	
1	2	sfoDF	9	4	1	pdxST	pdxST	42	
1	2	sfoDF	10	4	1	pdxST	pdxST	7	
1	2	sfoDF	11	4	1	pdxST	pdxST	11	
1	2	sfoDF	12	4	1	pdxST	pdxST	16	
1	2	sfoDF	13	4	1	pdxST	pdxST	42	LA
1	2	sfoDF	14	4	1	pdxST	pdxST	2	G
1	3	pdxST	1	5	1	sfoDF	pdxST	88	P
1	3	pdxST	2	5	1	sfoDF	sfoDF	8	PU
1	3	pdxST	3	5	1	sfoDF	sfoDF	16	
1	3	pdxST	4	5	1	sfoDF	sfoDF	13	
1	3	pdxST	5	5	1	sfoDF	sfoDF	19	TD
1	3	pdxST	6	6	2	pdxST	pdxST	1	PU
1	3	pdxST	7	6	2	pdxST	pdxST	21	
1	3	pdxST	8	6	2	pdxST	pdxST	88	
