point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	pdxST	sfoDF	pt_dur	pt_dur_txt
1	1	10:00:00	8:28:00	pdxST	3	sfoDF	hold	0	1	92	01:32
2	1	8:28:00	7:49:00	sfoDF	1	pdxST	hold	1	1	39	00:39
3	1	7:49:00	6:58:00	pdxST	3	sfoDF	hold	1	2	51	00:51
4	1	6:58:00	6:18:00	sfoDF	1	pdxST	hold	2	2	40	00:40
5	1	6:18:00	4:30:00	pdxST	3	sfoDF	hold	2	3	108	01:48
6	1	4:30:00	1:42:00	sfoDF	6	sfoDF	break	2	4	168	02:48
7	1	1:42:00	1:14:00	sfoDF	1	pdxST	hold	3	4	28	00:28
8	1	1:14:00	0:00:00	pdxST	NA	NA	NA	3	4	74	01:14
9	2	10:00:00	9:47:00	sfoDF	1	pdxST	hold	4	4	13	00:13
10	2	9:47:00	9:32:00	pdxST	1	sfoDF	hold	4	5	15	00:15
11	2	9:32:00	7:25:00	sfoDF	3	pdxST	hold	5	5	127	02:07
12	2	7:25:00	6:58:00	pdxST	1	sfoDF	hold	5	6	27	00:27
13	2	6:58:00	6:53:00	sfoDF	1	pdxST	hold	6	6	5	00:05
14	2	6:53:00	5:41:00	pdxST	2	pdxST	break	7	6	72	01:12
15	2	5:41:00	3:58:00	pdxST	3	sfoDF	hold	7	7	103	01:43
16	2	3:58:00	3:15:00	sfoDF	1	pdxST	hold	8	7	43	00:43
17	2	3:15:00	2:17:00	pdxST	2	pdxST	break	9	7	58	00:58
18	2	2:17:00	0:00:00	pdxST	NA	NA	NA	9	7	137	02:17
19	3	10:00:00	9:16:00	pdxST	1	sfoDF	hold	9	8	44	00:44
20	3	9:16:00	8:47:00	sfoDF	1	pdxST	hold	10	8	29	00:29
21	3	8:47:00	7:45:00	pdxST	2	pdxST	break	11	8	62	01:02
22	3	7:45:00	6:08:00	pdxST	3	sfoDF	hold	11	9	97	01:37
23	3	6:08:00	5:12:00	sfoDF	1	pdxST	hold	12	9	56	00:56
24	3	5:12:00	4:08:00	pdxST	2	pdxST	break	13	9	64	01:04
25	3	4:08:00	3:27:00	pdxST	1	sfoDF	hold	13	10	41	00:41
26	3	3:27:00	2:18:00	sfoDF	3	pdxST	hold	14	10	69	01:09
27	3	2:18:00	1:35:00	pdxST	1	sfoDF	hold	14	11	43	00:43
28	3	1:35:00	0:08:00	sfoDF	1	pdxST	hold	15	11	87	01:27
29	3	0:08:00	0:00:00	pdxST	NA	NA	NA	15	11	8	00:08
30	4	10:00:00	7:52:00	sfoDF	4	sfoDF	break	15	12	128	02:08
31	4	7:52:00	7:31:00	sfoDF	1	pdxST	hold	16	12	21	00:21
32	4	7:31:00	NA	pdxST	2	pdxST	break	17	12	NA	???
33	4	NA	6:38:00	pdxST	1	sfoDF	hold	17	13	NA	???
34	4	6:38:00	4:17:00	sfoDF	3	pdxST	hold	18	13	141	02:21
35	4	4:17:00	3:41:00	pdxST	1	sfoDF	hold	18	14	36	00:36
36	4	3:41:00	3:15:00	sfoDF	2	sfoDF	break	18	15	26	00:26
37	4	3:15:00	3:01:00	sfoDF	1	pdxST	hold	19	15	14	00:14
38	4	3:01:00	1:32:00	pdxST	2	pdxST	break	20	15	89	01:29
39	4	1:32:00	0:00:00	pdxST	NA	NA	NA	20	15	92	01:32
