point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Seattle Rainmakers	1	10:00:00	9:19:00
2	Vancouver Nighthawks	1	9:19:00	9:09:00
3	Seattle Rainmakers	1	9:09:00	8:22:00
4	Seattle Rainmakers	1	8:22:00	8:05:00
5	Vancouver Nighthawks	1	8:05:00	7:18:00
6	Seattle Rainmakers	1	7:18:00	7:00:00
7	Vancouver Nighthawks	1	7:00:00	5:02:00
8	Vancouver Nighthawks	1	5:02:00	3:49:00
9	Vancouver Nighthawks	1	3:49:00	3:22:00
10	Seattle Rainmakers	1	3:22:00	2:08:00
11	Seattle Rainmakers	1	2:08:00	1:44:00
12	Vancouver Nighthawks	1	1:44:00	1:16:00
13	Seattle Rainmakers	1	1:16:00	0:09:04
14	Vancouver Nighthawks	1	0:09:04	0:00:00
15	Vancouver Nighthawks	2	10:00:00	9:21:00
16	Seattle Rainmakers	2	9:21:00	8:15:00
17	Seattle Rainmakers	2	8:15:00	7:01:00
18	Seattle Rainmakers	2	7:01:00	6:39:00
19	Vancouver Nighthawks	2	6:39:00	4:48:00
20	Seattle Rainmakers	2	4:48:00	3:59:00
21	Vancouver Nighthawks	2	3:59:00	3:40:00
22	Seattle Rainmakers	2	3:40:00	2:04:00
23	Vancouver Nighthawks	2	2:04:00	0:45:01
24	Vancouver Nighthawks	2	0:45:01	0:20:01
25	Seattle Rainmakers	2	0:20:01	0:08:04
26	Vancouver Nighthawks	2	0:08:04	0:00:00
27	Seattle Rainmakers	3	10:00:00	8:27:00
28	Seattle Rainmakers	3	8:27:00	7:53:00
29	Vancouver Nighthawks	3	7:53:00	7:29:00
30	Seattle Rainmakers	3	7:29:00	6:54:00
31	Seattle Rainmakers	3	6:54:00	6:29:00
32	Vancouver Nighthawks	3	6:29:00	6:02:00
33	Seattle Rainmakers	3	6:02:00	5:38:00
34	Vancouver Nighthawks	3	5:38:00	4:10:00
35	Vancouver Nighthawks	3	4:10:00	2:20:00
36	Seattle Rainmakers	3	2:20:00	1:55:00
37	Seattle Rainmakers	3	1:55:00	0:36:03
38	Vancouver Nighthawks	3	0:36:03	0:00:00
39	Vancouver Nighthawks	4	10:00:00	9:34:00
40	Seattle Rainmakers	4	9:34:00	8:00:00
41	Vancouver Nighthawks	4	8:00:00	5:54:00
42	Vancouver Nighthawks	4	5:54:00	4:45:00
43	Seattle Rainmakers	4	4:45:00	2:15:00
44	Vancouver Nighthawks	4	2:15:00	1:47:00
45	Seattle Rainmakers	4	1:47:00	1:23:00
46	Vancouver Nighthawks	4	1:23:00	1:04:00
47	Seattle Rainmakers	4	1:04:00	0:29:08
48	Vancouver Nighthawks	4	0:29:08	0:00:00
49	Vancouver Nighthawks	5	5:00:00	4:32:00
50	Seattle Rainmakers	5	4:32:00	2:40:00
51	Vancouver Nighthawks	5	2:40:00	2:17:00
52	Seattle Rainmakers	5	2:17:00	0:02:08
53	Vancouver Nighthawks	5	0:02:08	0:00:00
54	Seattle Rainmakers	6	5:00:00	4:08:00
55	Vancouver Nighthawks	6	4:08:00	3:10:00
56	Vancouver Nighthawks	6	3:10:00	1:24:00
57	Vancouver Nighthawks	6	1:24:00	0:10:08
58	Vancouver Nighthawks	6	0:10:08	0:00:00
