point	event	oTeam	dTeam	oNum	oCode	dNum	dCode	scTeam
1	1	vanNH	seaRM			18	P	vanNH
1	2	vanNH	seaRM	19				vanNH
1	3	vanNH	seaRM	89				vanNH
1	4	vanNH	seaRM	21				vanNH
1	5	vanNH	seaRM	89				vanNH
1	6	vanNH	seaRM	91				vanNH
1	7	vanNH	seaRM	89				vanNH
1	8	vanNH	seaRM	21				vanNH
1	9	vanNH	seaRM	98				vanNH
1	10	vanNH	seaRM	91	A			vanNH
1	11	vanNH	seaRM	10	LG			vanNH
2	1	seaRM	vanNH			8	OBP	seaRM
2	2	seaRM	vanNH	1				seaRM
2	3	seaRM	vanNH	6	A			seaRM
2	4	seaRM	vanNH	8	LG			seaRM
3	1	vanNH	seaRM			18	P	seaRM
3	2	vanNH	seaRM	19				seaRM
3	3	vanNH	seaRM	91				seaRM
3	4	vanNH	seaRM	19				seaRM
3	5	vanNH	seaRM	22				seaRM
3	6	vanNH	seaRM			18	D	seaRM
3	7	vanNH	seaRM			29		seaRM
3	8	vanNH	seaRM			21		seaRM
3	9	vanNH	seaRM			29		seaRM
3	10	vanNH	seaRM			21		seaRM
3	11	vanNH	seaRM			2	A	seaRM
3	12	vanNH	seaRM	89	F			seaRM
3	13	vanNH	seaRM			12	G	seaRM
4	1	vanNH	seaRM			24	P	vanNH
4	2	vanNH	seaRM	19				vanNH
4	3	vanNH	seaRM	89				vanNH
4	4	vanNH	seaRM	21				vanNH
4	5	vanNH	seaRM	91	A			vanNH
4	6	vanNH	seaRM	72	LG			vanNH
5	1	seaRM	vanNH			8	P	seaRM
5	2	seaRM	vanNH	00				seaRM
5	3	seaRM	vanNH	1				seaRM
5	4	seaRM	vanNH	6				seaRM
5	5	seaRM	vanNH	00				seaRM
5	6	seaRM	vanNH	17				seaRM
5	7	seaRM	vanNH	14				seaRM
5	8	seaRM	vanNH	00				seaRM
5	9	seaRM	vanNH	17				seaRM
5	10	seaRM	vanNH	6	L			seaRM
5	11	seaRM	vanNH	8				seaRM
5	12	seaRM	vanNH	6	A			seaRM
5	13	seaRM	vanNH	1	G			seaRM
6	1	vanNH	seaRM			18	P	vanNH
6	2	vanNH	seaRM	89				vanNH
6	3	vanNH	seaRM	91				vanNH
6	4	vanNH	seaRM	98				vanNH
6	5	vanNH	seaRM	22	A			vanNH
6	6	vanNH	seaRM	10	LG			vanNH
7	1	seaRM	vanNH			8	P	vanNH
7	2	seaRM	vanNH	00				vanNH
7	3	seaRM	vanNH	20				vanNH
7	4	seaRM	vanNH	48				vanNH
7	5	seaRM	vanNH	20				vanNH
7	6	seaRM	vanNH	00				vanNH
7	7	seaRM	vanNH	1				vanNH
7	8	seaRM	vanNH	20				vanNH
7	9	seaRM	vanNH	1				vanNH
7	10	seaRM	vanNH	00				vanNH
7	11	seaRM	vanNH	17				vanNH
7	12	seaRM	vanNH	00				vanNH
7	13	seaRM	vanNH	6				vanNH
7	14	seaRM	vanNH	48	TD			vanNH
7	15	seaRM	vanNH			24	PU	vanNH
7	16	seaRM	vanNH			8		vanNH
7	17	seaRM	vanNH			27		vanNH
7	18	seaRM	vanNH			11		vanNH
7	19	seaRM	vanNH			8		vanNH
7	20	seaRM	vanNH			4		vanNH
7	21	seaRM	vanNH			45		vanNH
7	22	seaRM	vanNH			27		vanNH
7	23	seaRM	vanNH			45		vanNH
7	24	seaRM	vanNH			8	A	vanNH
7	25	seaRM	vanNH			11	G	vanNH
8	1	seaRM	vanNH			37	P	vanNH
8	2	seaRM	vanNH	00				vanNH
8	3	seaRM	vanNH	1				vanNH
8	4	seaRM	vanNH	14				vanNH
8	5	seaRM	vanNH	00				vanNH
8	6	seaRM	vanNH	17				vanNH
8	7	seaRM	vanNH	8				vanNH
8	8	seaRM	vanNH			75	PU	vanNH
8	9	seaRM	vanNH			37		vanNH
8	10	seaRM	vanNH			24		vanNH
8	11	seaRM	vanNH	17	PU			vanNH
8	12	seaRM	vanNH	14				vanNH
8	13	seaRM	vanNH			24	A	vanNH
8	14	seaRM	vanNH			37	G	vanNH
9	1	seaRM	vanNH			8	P	seaRM
9	2	seaRM	vanNH	00				seaRM
9	3	seaRM	vanNH	17				seaRM
9	4	seaRM	vanNH	00				seaRM
9	5	seaRM	vanNH	6				seaRM
9	6	seaRM	vanNH	00				seaRM
9	7	seaRM	vanNH	6				seaRM
9	8	seaRM	vanNH	20				seaRM
9	9	seaRM	vanNH	17				seaRM
9	10	seaRM	vanNH	00				seaRM
9	11	seaRM	vanNH	48	A			seaRM
9	12	seaRM	vanNH	20	G			seaRM
10	1	vanNH	seaRM			18	OBP	seaRM
10	2	vanNH	seaRM	91				seaRM
10	3	vanNH	seaRM	19				seaRM
10	4	vanNH	seaRM	19	F			seaRM
10	5	vanNH	seaRM	89				seaRM
10	6	vanNH	seaRM	19				seaRM
10	7	vanNH	seaRM	91				seaRM
10	8	vanNH	seaRM	19				seaRM
10	9	vanNH	seaRM	21				seaRM
10	10	vanNH	seaRM	22				seaRM
10	11	vanNH	seaRM	89				seaRM
10	12	vanNH	seaRM	91				seaRM
10	13	vanNH	seaRM			18	D	seaRM
10	14	vanNH	seaRM			23	PU	seaRM
10	15	vanNH	seaRM			15		seaRM
10	16	vanNH	seaRM			29		seaRM
10	17	vanNH	seaRM			18		seaRM
10	18	vanNH	seaRM			2	L	seaRM
10	19	vanNH	seaRM			29	A	seaRM
10	20	vanNH	seaRM			18	G	seaRM
11	1	vanNH	seaRM			24	P	vanNH
11	2	vanNH	seaRM	19				vanNH
11	3	vanNH	seaRM	91				vanNH
11	4	vanNH	seaRM	22				vanNH
11	5	vanNH	seaRM	89				vanNH
11	6	vanNH	seaRM	21				vanNH
11	7	vanNH	seaRM	10				vanNH
11	8	vanNH	seaRM	89	A			vanNH
11	9	vanNH	seaRM	98	G			vanNH
12	1	seaRM	vanNH			8	OBP	seaRM
12	2	seaRM	vanNH	20				seaRM
12	3	seaRM	vanNH	00				seaRM
12	4	seaRM	vanNH	8				seaRM
12	5	seaRM	vanNH	20				seaRM
12	6	seaRM	vanNH	00				seaRM
12	7	seaRM	vanNH	20	A			seaRM
12	8	seaRM	vanNH	9	LG			seaRM
13	1	vanNH	seaRM			18	P	vanNH
13	2	vanNH	seaRM	89				vanNH
13	3	vanNH	seaRM	19				vanNH
13	4	vanNH	seaRM	21	TO			vanNH
13	5	vanNH	seaRM			29	PU	vanNH
13	6	vanNH	seaRM			12	TO	vanNH
13	7	vanNH	seaRM	91	PU			vanNH
13	8	vanNH	seaRM	89				vanNH
13	9	vanNH	seaRM	19				vanNH
13	10	vanNH	seaRM	21				vanNH
13	11	vanNH	seaRM	98				vanNH
13	12	vanNH	seaRM	22				vanNH
13	13	vanNH	seaRM	89				vanNH
13	14	vanNH	seaRM	19				vanNH
13	15	vanNH	seaRM	89				vanNH
13	16	vanNH	seaRM	91	A			vanNH
13	17	vanNH	seaRM	19	G			vanNH
14	1	seaRM	vanNH			8	P	NA
14	2	seaRM	vanNH	14				NA
14	3	seaRM	vanNH	1				NA
14	4	seaRM	vanNH	6				NA
14	5	seaRM	vanNH			8	D	NA
15	1	seaRM	vanNH			8	P	seaRM
15	2	seaRM	vanNH	00				seaRM
15	3	seaRM	vanNH	1				seaRM
15	4	seaRM	vanNH	9				seaRM
15	5	seaRM	vanNH	1				seaRM
15	6	seaRM	vanNH	20				seaRM
15	7	seaRM	vanNH	00				seaRM
15	8	seaRM	vanNH	9				seaRM
15	9	seaRM	vanNH	6				seaRM
15	10	seaRM	vanNH	1	A			seaRM
15	11	seaRM	vanNH	00	G			seaRM
16	1	vanNH	seaRM			29	P	seaRM
16	2	vanNH	seaRM	89				seaRM
16	3	vanNH	seaRM	91				seaRM
16	4	vanNH	seaRM	10				seaRM
16	5	vanNH	seaRM			29	PU	seaRM
16	6	vanNH	seaRM			21		seaRM
16	7	vanNH	seaRM			29		seaRM
16	8	vanNH	seaRM			21		seaRM
16	9	vanNH	seaRM			24		seaRM
16	10	vanNH	seaRM	21	F			seaRM
16	11	vanNH	seaRM			29	A	seaRM
16	12	vanNH	seaRM			23	G	seaRM
17	1	vanNH	seaRM			29	P	seaRM
17	2	vanNH	seaRM	91				seaRM
17	3	vanNH	seaRM	98				seaRM
17	4	vanNH	seaRM	91				seaRM
17	5	vanNH	seaRM	19				seaRM
17	6	vanNH	seaRM	89				seaRM
17	7	vanNH	seaRM			29	PU	seaRM
17	8	vanNH	seaRM			12		seaRM
17	9	vanNH	seaRM			15		seaRM
17	10	vanNH	seaRM			23		seaRM
17	11	vanNH	seaRM			77		seaRM
17	12	vanNH	seaRM			29		seaRM
