point	Period	Clock.before.point	Clock.after.point	pullTeam	scTeam	seaRM	vanNH
1	1	10:00:00	9:19:00	seaRM	vanNH	0	1
2	1	9:19:00	9:09:00	vanNH	seaRM	1	1
3	1	9:09:00	8:22:00	seaRM	seaRM	2	1
4	1	8:22:00	8:05:00	seaRM	vanNH	2	2
5	1	8:05:00	7:18:00	vanNH	seaRM	3	2
6	1	7:18:00	7:00:00	seaRM	vanNH	3	3
7	1	7:00:00	5:02:00	vanNH	vanNH	3	4
8	1	5:02:00	3:49:00	vanNH	vanNH	3	5
9	1	3:49:00	3:22:00	vanNH	seaRM	4	5
10	1	3:22:00	2:08:00	seaRM	seaRM	5	5
11	1	2:08:00	1:44:00	seaRM	vanNH	5	6
12	1	1:44:00	1:16:00	vanNH	seaRM	6	6
13	1	1:16:00	0:09:04	seaRM	vanNH	6	7
14	1	0:09:04	0:00:00	vanNH	NA	6	7
15	2	10:00:00	9:21:00	vanNH	seaRM	7	7
16	2	9:21:00	8:15:00	seaRM	seaRM	8	7
17	2	8:15:00	7:01:00	seaRM	seaRM	9	7
18	2	7:01:00	6:39:00	seaRM	vanNH	9	8
19	2	6:39:00	4:48:00	vanNH	seaRM	10	8
20	2	4:48:00	3:59:00	seaRM	vanNH	10	9
21	2	3:59:00	3:40:00	vanNH	seaRM	11	9
22	2	3:40:00	2:04:00	seaRM	vanNH	11	10
23	2	2:04:00	0:45:01	vanNH	vanNH	11	11
24	2	0:45:01	0:20:01	vanNH	seaRM	12	11
25	2	0:20:01	0:08:04	seaRM	vanNH	12	12
26	2	0:08:04	0:00:00	vanNH	NA	12	12
27	3	10:00:00	8:27:00	seaRM	seaRM	13	12
28	3	8:27:00	7:53:00	seaRM	vanNH	13	13
29	3	7:53:00	7:29:00	vanNH	seaRM	14	13
30	3	7:29:00	6:54:00	seaRM	seaRM	15	13
31	3	6:54:00	6:29:00	seaRM	vanNH	15	14
32	3	6:29:00	6:02:00	vanNH	seaRM	16	14
33	3	6:02:00	5:38:00	seaRM	vanNH	16	15
34	3	5:38:00	4:10:00	vanNH	vanNH	16	16
35	3	4:10:00	2:20:00	vanNH	seaRM	17	16
36	3	2:20:00	1:55:00	seaRM	seaRM	18	16
37	3	1:55:00	0:36:03	seaRM	vanNH	18	17
38	3	0:36:03	0:00:00	vanNH	NA	18	17
39	4	10:00:00	9:34:00	vanNH	seaRM	19	17
40	4	9:34:00	8:00:00	seaRM	vanNH	19	18
41	4	8:00:00	5:54:00	vanNH	vanNH	19	19
42	4	5:54:00	4:45:00	vanNH	seaRM	20	19
43	4	4:45:00	2:15:00	seaRM	vanNH	20	20
44	4	2:15:00	1:47:00	vanNH	seaRM	21	20
45	4	1:47:00	1:23:00	seaRM	vanNH	21	21
46	4	1:23:00	1:04:00	vanNH	seaRM	22	21
47	4	1:04:00	0:29:08	seaRM	vanNH	22	22
48	4	0:29:08	0:00:00	vanNH	NA	22	22
49	5	5:00:00	4:32:00	vanNH	seaRM	23	22
50	5	4:32:00	2:40:00	seaRM	vanNH	23	23
51	5	2:40:00	2:17:00	vanNH	seaRM	24	23
52	5	2:17:00	0:02:08	seaRM	vanNH	24	24
53	5	0:02:08	0:00:00	vanNH	NA	24	24
54	6	5:00:00	4:08:00	seaRM	vanNH	24	25
55	6	4:08:00	3:10:00	vanNH	vanNH	24	26
56	6	3:10:00	1:24:00	vanNH	vanNH	24	27
57	6	1:24:00	0:10:08	vanNH	vanNH	24	28
58	6	0:10:08	0:00:00	vanNH	vanNH	24	29
