point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	seaRM	vanNH	pt_dur	pt_dur_txt
1	1	10:00:00	9:19:00	seaRM	1	vanNH	hold	0	1	41	00:41
2	1	9:19:00	9:09:00	vanNH	1	seaRM	hold	1	1	10	00:10
3	1	9:09:00	8:22:00	seaRM	2	seaRM	break	2	1	47	00:47
4	1	8:22:00	8:05:00	seaRM	1	vanNH	hold	2	2	17	00:17
5	1	8:05:00	7:18:00	vanNH	1	seaRM	hold	3	2	47	00:47
6	1	7:18:00	7:00:00	seaRM	1	vanNH	hold	3	3	18	00:18
7	1	7:00:00	5:02:00	vanNH	2	vanNH	break	3	4	118	01:58
8	1	5:02:00	3:49:00	vanNH	4	vanNH	break	3	5	73	01:13
9	1	3:49:00	3:22:00	vanNH	1	seaRM	hold	4	5	27	00:27
10	1	3:22:00	2:08:00	seaRM	2	seaRM	break	5	5	74	01:14
11	1	2:08:00	1:44:00	seaRM	1	vanNH	hold	5	6	24	00:24
12	1	1:44:00	1:16:00	vanNH	1	seaRM	hold	6	6	28	00:28
13	1	1:16:00	0:09:04	seaRM	3	vanNH	hold	6	7	67	01:07
14	1	0:09:04	0:00:00	vanNH	NA	NA	NA	6	7	9	00:09
15	2	10:00:00	9:21:00	vanNH	1	seaRM	hold	7	7	39	00:39
16	2	9:21:00	8:15:00	seaRM	2	seaRM	break	8	7	66	01:06
17	2	8:15:00	7:01:00	seaRM	2	seaRM	break	9	7	74	01:14
18	2	7:01:00	6:39:00	seaRM	1	vanNH	hold	9	8	22	00:22
19	2	6:39:00	4:48:00	vanNH	3	seaRM	hold	10	8	111	01:51
20	2	4:48:00	3:59:00	seaRM	1	vanNH	hold	10	9	49	00:49
21	2	3:59:00	3:40:00	vanNH	1	seaRM	hold	11	9	19	00:19
22	2	3:40:00	2:04:00	seaRM	3	vanNH	hold	11	10	96	01:36
23	2	2:04:00	0:45:01	vanNH	2	vanNH	break	11	11	79	01:19
24	2	0:45:01	0:20:01	vanNH	1	seaRM	hold	12	11	25	00:25
25	2	0:20:01	0:08:04	seaRM	1	vanNH	hold	12	12	12	00:12
26	2	0:08:04	0:00:00	vanNH	NA	NA	NA	12	12	8	00:08
27	3	10:00:00	8:27:00	seaRM	2	seaRM	break	13	12	93	01:33
28	3	8:27:00	7:53:00	seaRM	1	vanNH	hold	13	13	34	00:34
29	3	7:53:00	7:29:00	vanNH	1	seaRM	hold	14	13	24	00:24
30	3	7:29:00	6:54:00	seaRM	2	seaRM	break	15	13	35	00:35
31	3	6:54:00	6:29:00	seaRM	1	vanNH	hold	15	14	25	00:25
32	3	6:29:00	6:02:00	vanNH	1	seaRM	hold	16	14	27	00:27
33	3	6:02:00	5:38:00	seaRM	1	vanNH	hold	16	15	24	00:24
34	3	5:38:00	4:10:00	vanNH	4	vanNH	break	16	16	88	01:28
35	3	4:10:00	2:20:00	vanNH	3	seaRM	hold	17	16	110	01:50
36	3	2:20:00	1:55:00	seaRM	2	seaRM	break	18	16	25	00:25
37	3	1:55:00	0:36:03	seaRM	3	vanNH	hold	18	17	79	01:19
38	3	0:36:03	0:00:00	vanNH	NA	NA	NA	18	17	36	00:36
39	4	10:00:00	9:34:00	vanNH	1	seaRM	hold	19	17	26	00:26
40	4	9:34:00	8:00:00	seaRM	3	vanNH	hold	19	18	94	01:34
41	4	8:00:00	5:54:00	vanNH	4	vanNH	break	19	19	126	02:06
42	4	5:54:00	4:45:00	vanNH	3	seaRM	hold	20	19	69	01:09
43	4	4:45:00	2:15:00	seaRM	3	vanNH	hold	20	20	150	02:30
44	4	2:15:00	1:47:00	vanNH	1	seaRM	hold	21	20	28	00:28
45	4	1:47:00	1:23:00	seaRM	1	vanNH	hold	21	21	24	00:24
46	4	1:23:00	1:04:00	vanNH	1	seaRM	hold	22	21	19	00:19
47	4	1:04:00	0:29:08	seaRM	1	vanNH	hold	22	22	35	00:35
48	4	0:29:08	0:00:00	vanNH	NA	NA	NA	22	22	29	00:29
49	5	5:00:00	4:32:00	vanNH	1	seaRM	hold	23	22	28	00:28
50	5	4:32:00	2:40:00	seaRM	3	vanNH	hold	23	23	112	01:52
51	5	2:40:00	2:17:00	vanNH	1	seaRM	hold	24	23	23	00:23
52	5	2:17:00	0:02:08	seaRM	3	vanNH	hold	24	24	135	02:15
53	5	0:02:08	0:00:00	vanNH	NA	NA	NA	24	24	2	00:02
54	6	5:00:00	4:08:00	seaRM	1	vanNH	hold	24	25	52	00:52
55	6	4:08:00	3:10:00	vanNH	2	vanNH	break	24	26	58	00:58
56	6	3:10:00	1:24:00	vanNH	6	vanNH	break	24	27	106	01:46
57	6	1:24:00	0:10:08	vanNH	4	vanNH	break	24	28	74	01:14
58	6	0:10:08	0:00:00	vanNH	2	vanNH	break	24	29	10	00:10
