poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-89	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-21	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-89	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-91	TRUE	compl
1	1	1	6	7	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-89	TRUE	compl
1	1	1	7	8	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-21	TRUE	compl
1	1	1	8	9	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-98	TRUE	compl
1	1	1	9	10	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-91	TRUE	compl
1	1	1	10	11	ao	0	O-CTH	vanNH-91		O-G	vanNH-10	TRUE	compl
2	1	2	2	3	ao	0	O-PU	seaRM-1		O-CTH	seaRM-6	TRUE	compl
2	1	2	3	4	ao	0	O-CTH	seaRM-6		O-G	seaRM-8	TRUE	compl
3	1	3	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-91	TRUE	compl
3	1	3	3	4	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-19	TRUE	compl
3	1	3	4	5	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-22	TRUE	compl
3	1	3	5	6	ao	0	O-CTH	vanNH-22		D-D	seaRM-18	TRUE	defd
4	2	3	7	8	ao	0	O-PU	seaRM-29		O-CTH	seaRM-21	TRUE	compl
4	2	3	8	9	ao	0	O-CTH	seaRM-21		O-CTH	seaRM-29	TRUE	compl
4	2	3	9	10	ao	0	O-CTH	seaRM-29		O-CTH	seaRM-21	TRUE	compl
4	2	3	10	11	ao	0	O-CTH	seaRM-21		O-CTH	seaRM-2	TRUE	compl
4	2	3	11	13	ao	1	O-CTH	seaRM-2	D-F	O-G	seaRM-12	TRUE	compl
5	1	4	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-89	TRUE	compl
5	1	4	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-21	TRUE	compl
5	1	4	4	5	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-91	TRUE	compl
5	1	4	5	6	ao	0	O-CTH	vanNH-91		O-G	vanNH-72	TRUE	compl
6	1	5	2	3	ao	0	O-PU	seaRM-00		O-CTH	seaRM-1	TRUE	compl
6	1	5	3	4	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-6	TRUE	compl
6	1	5	4	5	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-00	TRUE	compl
6	1	5	5	6	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-17	TRUE	compl
6	1	5	6	7	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-14	TRUE	compl
6	1	5	7	8	ao	0	O-CTH	seaRM-14		O-CTH	seaRM-00	TRUE	compl
6	1	5	8	9	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-17	TRUE	compl
6	1	5	9	10	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-6	TRUE	compl
6	1	5	10	11	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-8	TRUE	compl
6	1	5	11	12	ao	0	O-CTH	seaRM-8		O-CTH	seaRM-6	TRUE	compl
6	1	5	12	13	ao	0	O-CTH	seaRM-6		O-G	seaRM-1	TRUE	compl
7	1	6	2	3	ao	0	O-PU	vanNH-89		O-CTH	vanNH-91	TRUE	compl
7	1	6	3	4	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-98	TRUE	compl
7	1	6	4	5	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-22	TRUE	compl
7	1	6	5	6	ao	0	O-CTH	vanNH-22		O-G	vanNH-10	TRUE	compl
8	1	7	2	3	ao	0	O-PU	seaRM-00		O-CTH	seaRM-20	TRUE	compl
8	1	7	3	4	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-48	TRUE	compl
8	1	7	4	5	ao	0	O-CTH	seaRM-48		O-CTH	seaRM-20	TRUE	compl
8	1	7	5	6	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-00	TRUE	compl
8	1	7	6	7	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-1	TRUE	compl
8	1	7	7	8	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-20	TRUE	compl
8	1	7	8	9	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-1	TRUE	compl
8	1	7	9	10	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-00	TRUE	compl
8	1	7	10	11	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-17	TRUE	compl
8	1	7	11	12	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-00	TRUE	compl
8	1	7	12	13	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-6	TRUE	compl
8	1	7	13	14	ao	0	O-CTH	seaRM-6		O-TD	seaRM-48	TRUE	drop
9	2	7	15	16	ao	0	O-PU	vanNH-24		O-CTH	vanNH-8	TRUE	compl
9	2	7	16	17	ao	0	O-CTH	vanNH-8		O-CTH	vanNH-27	TRUE	compl
9	2	7	17	18	ao	0	O-CTH	vanNH-27		O-CTH	vanNH-11	TRUE	compl
9	2	7	18	19	ao	0	O-CTH	vanNH-11		O-CTH	vanNH-8	TRUE	compl
9	2	7	19	20	ao	0	O-CTH	vanNH-8		O-CTH	vanNH-4	TRUE	compl
9	2	7	20	21	ao	0	O-CTH	vanNH-4		O-CTH	vanNH-45	TRUE	compl
9	2	7	21	22	ao	0	O-CTH	vanNH-45		O-CTH	vanNH-27	TRUE	compl
9	2	7	22	23	ao	0	O-CTH	vanNH-27		O-CTH	vanNH-45	TRUE	compl
9	2	7	23	24	ao	0	O-CTH	vanNH-45		O-CTH	vanNH-8	TRUE	compl
9	2	7	24	25	ao	0	O-CTH	vanNH-8		O-G	vanNH-11	TRUE	compl
10	1	8	2	3	ao	0	O-PU	seaRM-00		O-CTH	seaRM-1	TRUE	compl
10	1	8	3	4	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-14	TRUE	compl
10	1	8	4	5	ao	0	O-CTH	seaRM-14		O-CTH	seaRM-00	TRUE	compl
10	1	8	5	6	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-17	TRUE	compl
10	1	8	6	7	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-8	TRUE	compl
10	1	8	7	7	an	-1	O-CTH	seaRM-8		NA	seaRM-8	TRUE	taway
11	2	8	8	9	ao	0	O-PU	vanNH-75		O-CTH	vanNH-37	TRUE	compl
11	2	8	9	10	ao	0	O-CTH	vanNH-37		O-CTH	vanNH-24	TRUE	compl
11	2	8	10	10	an	-1	O-CTH	vanNH-24		NA	vanNH-24	TRUE	taway
12	3	8	11	12	ao	0	O-PU	seaRM-17		O-CTH	seaRM-14	TRUE	compl
12	3	8	12	12	an	-1	O-CTH	seaRM-14		NA	seaRM-14	TRUE	taway
13	4	8	13	14	ao	0	O-PU	vanNH-24		O-G	vanNH-37	TRUE	compl
14	1	9	2	3	ao	0	O-PU	seaRM-00		O-CTH	seaRM-17	TRUE	compl
14	1	9	3	4	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-00	TRUE	compl
14	1	9	4	5	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-6	TRUE	compl
14	1	9	5	6	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-00	TRUE	compl
14	1	9	6	7	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-6	TRUE	compl
14	1	9	7	8	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-20	TRUE	compl
14	1	9	8	9	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-17	TRUE	compl
14	1	9	9	10	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-00	TRUE	compl
14	1	9	10	11	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-48	TRUE	compl
14	1	9	11	12	ao	0	O-CTH	seaRM-48		O-G	seaRM-20	TRUE	compl
15	1	10	2	3	ao	0	O-PU	vanNH-91		O-CTH	vanNH-19	TRUE	compl
15	1	10	3	5	ao	1	O-CTH	vanNH-19	O-F	O-CTH	vanNH-89	TRUE	compl
15	1	10	5	6	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-19	TRUE	compl
15	1	10	6	7	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-91	TRUE	compl
15	1	10	7	8	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-19	TRUE	compl
15	1	10	8	9	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-21	TRUE	compl
15	1	10	9	10	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-22	TRUE	compl
15	1	10	10	11	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-89	TRUE	compl
15	1	10	11	12	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-91	TRUE	compl
15	1	10	12	13	ao	0	O-CTH	vanNH-91		D-D	seaRM-18	TRUE	defd
16	2	10	14	15	ao	0	O-PU	seaRM-23		O-CTH	seaRM-15	TRUE	compl
16	2	10	15	16	ao	0	O-CTH	seaRM-15		O-CTH	seaRM-29	TRUE	compl
16	2	10	16	17	ao	0	O-CTH	seaRM-29		O-CTH	seaRM-18	TRUE	compl
16	2	10	17	18	ao	0	O-CTH	seaRM-18		O-CTH	seaRM-2	TRUE	compl
16	2	10	18	19	ao	0	O-CTH	seaRM-2		O-CTH	seaRM-29	TRUE	compl
16	2	10	19	20	ao	0	O-CTH	seaRM-29		O-G	seaRM-18	TRUE	compl
17	1	11	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-91	TRUE	compl
17	1	11	3	4	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-22	TRUE	compl
17	1	11	4	5	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-89	TRUE	compl
17	1	11	5	6	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-21	TRUE	compl
17	1	11	6	7	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-10	TRUE	compl
17	1	11	7	8	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-89	TRUE	compl
17	1	11	8	9	ao	0	O-CTH	vanNH-89		O-G	vanNH-98	TRUE	compl
18	1	12	2	3	ao	0	O-PU	seaRM-20		O-CTH	seaRM-00	TRUE	compl
18	1	12	3	4	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-8	TRUE	compl
18	1	12	4	5	ao	0	O-CTH	seaRM-8		O-CTH	seaRM-20	TRUE	compl
18	1	12	5	6	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-00	TRUE	compl
18	1	12	6	7	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-20	TRUE	compl
