game	player	points	goals	assists	Ds
2014-05-31_vanNH-at-seaRM	seaRM-6-trytiak	7	3	4	1
2014-05-31_vanNH-at-seaRM	seaRM-17-zemel	6	2	4	0
2014-05-31_vanNH-at-seaRM	seaRM-9-harkness	5	3	2	0
2014-05-31_vanNH-at-seaRM	seaRM-20-simon	4	2	2	1
2014-05-31_vanNH-at-seaRM	seaRM-18-uhrig-fox	3	2	1	4
2014-05-31_vanNH-at-seaRM	seaRM-48-clark	3	2	1	1
2014-05-31_vanNH-at-seaRM	seaRM-1-mckibben	3	2	1	0
2014-05-31_vanNH-at-seaRM	seaRM-12-gallagher	3	2	1	0
2014-05-31_vanNH-at-seaRM	seaRM-8-fong	3	1	2	2
2014-05-31_vanNH-at-seaRM	seaRM-29-feeley	3	1	2	0
2014-05-31_vanNH-at-seaRM	seaRM-21-phan	2	1	1	1
2014-05-31_vanNH-at-seaRM	seaRM-23-sliva	2	1	1	1
2014-05-31_vanNH-at-seaRM	seaRM-14-pickel	2	1	1	0
2014-05-31_vanNH-at-seaRM	seaRM-00-rupp	1	1	0	0
2014-05-31_vanNH-at-seaRM	seaRM-2-bubernak	1	0	1	0
2014-05-31_vanNH-at-seaRM	seaRM-15-beehner	0	0	0	1
2014-05-31_vanNH-at-seaRM	seaRM-4-schneider	0	0	0	1
2014-05-31_vanNH-at-seaRM	vanNH-91-savage	10	2	8	0
2014-05-31_vanNH-at-seaRM	vanNH-10-chatha	8	8	0	0
2014-05-31_vanNH-at-seaRM	vanNH-19-knapp	6	3	3	0
2014-05-31_vanNH-at-seaRM	vanNH-98-wong	5	3	2	1
2014-05-31_vanNH-at-seaRM	vanNH-21-loach	5	2	3	0
2014-05-31_vanNH-at-seaRM	vanNH-89-underhill	5	1	4	1
2014-05-31_vanNH-at-seaRM	vanNH-72-leduc	4	3	1	0
2014-05-31_vanNH-at-seaRM	vanNH-8-hibbert	2	1	1	6
2014-05-31_vanNH-at-seaRM	vanNH-11-greer	2	1	1	1
2014-05-31_vanNH-at-seaRM	vanNH-24-yu	2	1	1	1
2014-05-31_vanNH-at-seaRM	vanNH-27-davis	2	1	1	0
2014-05-31_vanNH-at-seaRM	vanNH-37-sinclair	2	1	1	0
2014-05-31_vanNH-at-seaRM	vanNH-45-cowan	1	1	0	0
2014-05-31_vanNH-at-seaRM	vanNH-49-hayduk	1	1	0	0
2014-05-31_vanNH-at-seaRM	vanNH-4-doyle	1	0	1	2
2014-05-31_vanNH-at-seaRM	vanNH-7-dandurand	1	0	1	1
2014-05-31_vanNH-at-seaRM	vanNH-22-berezan	1	0	1	0
2014-05-31_vanNH-at-seaRM	vanNH-13-tessarolo	0	0	0	1
