point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	San Francisco Dogfish	1	10:00:00	8:59:00
2	Portland Stags	1	8:59:00	5:35:00
3	Portland Stags	1	5:35:00	5:11:00
4	Portland Stags	1	5:11:00	4:29:00
5	San Francisco Dogfish	1	4:29:00	3:39:00
6	Portland Stags	1	3:39:00	1:22:00
7	San Francisco Dogfish	1	1:22:00	0:43:00
8	Portland Stags	1	0:43:00	0:30:00
9	San Francisco Dogfish	1	0:30:00	0:00:00
10	Portland Stags	2	10:00:00	9:25:00
11	San Francisco Dogfish	2	9:25:00	7:59:00
12	Portland Stags	2	7:59:00	6:28:00
13	San Francisco Dogfish	2	6:28:00	5:14:00
14	Portland Stags	2	5:14:00	3:43:00
15	San Francisco Dogfish	2	3:43:00	1:04:00
16	Portland Stags	2	1:04:00	0:00:00
17	San Francisco Dogfish	3	10:00:00	8:44:00
18	Portland Stags	3	8:44:00	5:28:00
19	Portland Stags	3	5:28:00	5:06:00
20	San Francisco Dogfish	3	5:06:00	4:41:00
21	Portland Stags	3	4:41:00	2:49:00
22	Portland Stags	3	2:49:00	0:00:00
23	Portland Stags	4	10:00:00	8:51:00
24	San Francisco Dogfish	4	8:51:00	8:18:00
25	San Francisco Dogfish	4	8:18:00	8:03:00
26	Portland Stags	4	8:03:00	7:54:00
27	San Francisco Dogfish	4	7:54:00	7:09:00
28	Portland Stags	4	7:09:00	5:59:00
29	San Francisco Dogfish	4	5:59:00	4:52:00
30	Portland Stags	4	4:52:00	4:30:00
31	San Francisco Dogfish	4	4:30:00	3:45:00
32	Portland Stags	4	3:45:00	1:57:00
33	Portland Stags	4	1:57:00	0:00:00
