period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	sfoDF	1	1	1	pdxST	sfoDF	16	P
1	1	sfoDF	2	1	1	pdxST	pdxST	10	PU
1	1	sfoDF	3	1	1	pdxST	pdxST	24	
1	1	sfoDF	4	1	1	pdxST	pdxST	11	
1	1	sfoDF	5	1	1	pdxST	pdxST	25	
1	1	sfoDF	6	1	1	pdxST	pdxST	7	
1	1	sfoDF	7	1	1	pdxST	pdxST	24	
1	1	sfoDF	8	1	1	pdxST	pdxST	7	
1	1	sfoDF	9	1	1	pdxST	pdxST	11	
1	1	sfoDF	10	1	1	pdxST	pdxST	8	
1	1	sfoDF	11	2	2	sfoDF	sfoDF	25	PU
1	1	sfoDF	12	2	2	sfoDF	sfoDF	1	
1	1	sfoDF	13	2	2	sfoDF	sfoDF	16	
1	1	sfoDF	14	2	2	sfoDF	sfoDF	1	
1	1	sfoDF	15	3	3	pdxST	pdxST	24	PU
1	1	sfoDF	16	3	3	pdxST	pdxST	7	
1	1	sfoDF	17	3	3	pdxST	pdxST	24	A
1	1	sfoDF	18	3	3	pdxST	pdxST	10	G
1	2	pdxST	1	4	1	sfoDF	pdxST	73	P
1	2	pdxST	2	4	1	sfoDF	sfoDF	13	PU
1	2	pdxST	3	4	1	sfoDF	sfoDF	8	
1	2	pdxST	4	4	1	sfoDF	sfoDF	13	
1	2	pdxST	5	4	1	sfoDF	sfoDF	88	
1	2	pdxST	6	4	1	sfoDF	sfoDF	8	
1	2	pdxST	7	4	1	sfoDF	sfoDF	88	
1	2	pdxST	8	4	1	sfoDF	sfoDF	40	
1	2	pdxST	9	4	1	sfoDF	sfoDF	8	
1	2	pdxST	10	4	1	sfoDF	sfoDF	13	
1	2	pdxST	11	4	1	sfoDF	sfoDF	88	
1	2	pdxST	12	4	1	sfoDF	sfoDF	40	
1	2	pdxST	13	4	1	sfoDF	pdxST	3	F
1	2	pdxST	14	4	1	sfoDF	sfoDF	8	
1	2	pdxST	15	4	1	sfoDF	sfoDF	40	
1	2	pdxST	16	5	2	pdxST	pdxST	21	PU
1	2	pdxST	17	5	2	pdxST	pdxST	3	
1	2	pdxST	18	5	2	pdxST	pdxST	21	
1	2	pdxST	19	5	2	pdxST	pdxST	22	
1	2	pdxST	20	5	2	pdxST	pdxST	73	
1	2	pdxST	21	5	2	pdxST	pdxST	22	
1	2	pdxST	22	5	2	pdxST	pdxST	21	
1	2	pdxST	23	5	2	pdxST	pdxST	2	VTT
1	2	pdxST	24	6	3	sfoDF	sfoDF	13	PU
1	2	pdxST	25	6	3	sfoDF	sfoDF	8	
1	2	pdxST	26	6	3	sfoDF	sfoDF	24	
1	2	pdxST	27	6	3	sfoDF	sfoDF	40	
1	2	pdxST	28	7	4	pdxST	pdxST	21	PU
1	2	pdxST	29	7	4	pdxST	pdxST	73	
1	2	pdxST	30	7	4	pdxST	pdxST	21	
1	2	pdxST	31	7	4	pdxST	pdxST	73	
1	2	pdxST	32	7	4	pdxST	pdxST	21	
1	2	pdxST	33	8	5	sfoDF	sfoDF	13	PU
1	2	pdxST	34	8	5	sfoDF	sfoDF	19	
1	2	pdxST	35	8	5	sfoDF	sfoDF	40	
1	2	pdxST	36	8	5	sfoDF	sfoDF	88	
1	2	pdxST	37	8	5	sfoDF	pdxST	22	D
1	2	pdxST	38	9	6	pdxST	pdxST	21	PU
1	2	pdxST	39	9	6	pdxST	pdxST	2	
1	2	pdxST	40	9	6	pdxST	pdxST	73	
1	2	pdxST	41	9	6	pdxST	pdxST	22	
1	2	pdxST	42	9	6	pdxST	pdxST	73	
1	2	pdxST	43	9	6	pdxST	pdxST	3	
1	2	pdxST	44	9	6	pdxST	pdxST	16	A
1	2	pdxST	45	9	6	pdxST	pdxST	3	G
1	3	pdxST	1	10	1	sfoDF	pdxST	8	P
1	3	pdxST	2	10	1	sfoDF	sfoDF	11	PU
1	3	pdxST	3	10	1	sfoDF	sfoDF	34	
1	3	pdxST	4	10	1	sfoDF	pdxST	8	D
1	3	pdxST	5	11	2	pdxST	pdxST	11	PU
1	3	pdxST	6	11	2	pdxST	pdxST	7	
1	3	pdxST	7	11	2	pdxST	pdxST	11	A
1	3	pdxST	8	11	2	pdxST	pdxST	8	LG
1	4	pdxST	1	12	1	sfoDF	pdxST	73	P
1	4	pdxST	2	12	1	sfoDF	sfoDF	1	PU
1	4	pdxST	3	12	1	sfoDF	sfoDF	16	
1	4	pdxST	4	12	1	sfoDF	sfoDF	2	
1	4	pdxST	5	12	1	sfoDF	sfoDF	85	
1	4	pdxST	6	12	1	sfoDF	sfoDF	16	
1	4	pdxST	7	12	1	sfoDF	sfoDF	10	
1	4	pdxST	8	12	1	sfoDF	sfoDF	16	
1	4	pdxST	9	12	1	sfoDF	sfoDF	2	
1	4	pdxST	10	12	1	sfoDF	sfoDF	16	
1	4	pdxST	11	12	1	sfoDF	sfoDF	1	
1	4	pdxST	12	12	1	sfoDF	sfoDF	25	
1	4	pdxST	13	12	1	sfoDF	sfoDF	16	A
1	4	pdxST	14	12	1	sfoDF	sfoDF	85	G
1	5	sfoDF	1	13	1	pdxST	sfoDF	85	P
1	5	sfoDF	2	13	1	pdxST	pdxST	24	PU
1	5	sfoDF	3	13	1	pdxST	pdxST	10	
1	5	sfoDF	4	13	1	pdxST	pdxST	11	
1	5	sfoDF	5	13	1	pdxST	pdxST	10	
1	5	sfoDF	6	13	1	pdxST	pdxST	24	
1	5	sfoDF	7	13	1	pdxST	pdxST	7	
1	5	sfoDF	8	13	1	pdxST	pdxST	24	
1	5	sfoDF	9	13	1	pdxST	pdxST	7	
1	5	sfoDF	10	13	1	pdxST	pdxST	24	
1	5	sfoDF	11	13	1	pdxST	pdxST	7	
1	5	sfoDF	12	13	1	pdxST	pdxST	10	
1	5	sfoDF	13	13	1	pdxST	pdxST	7	
1	5	sfoDF	14	13	1	pdxST	pdxST	42	
1	5	sfoDF	15	13	1	pdxST	pdxST	7	
1	5	sfoDF	16	13	1	pdxST	pdxST	42	
1	5	sfoDF	17	13	1	pdxST	pdxST	8	
1	5	sfoDF	18	13	1	pdxST	pdxST	10	
1	5	sfoDF	19	13	1	pdxST	pdxST	11	
1	5	sfoDF	20	13	1	pdxST	pdxST	42	A
1	5	sfoDF	21	13	1	pdxST	pdxST	25	G
1	6	pdxST	1	14	1	sfoDF	pdxST	73	P
1	6	pdxST	2	14	1	sfoDF	sfoDF	13	PU
1	6	pdxST	3	14	1	sfoDF	sfoDF	8	
1	6	pdxST	4	14	1	sfoDF	sfoDF	13	
1	6	pdxST	5	14	1	sfoDF	sfoDF	40	
1	6	pdxST	6	14	1	sfoDF	sfoDF	8	
1	6	pdxST	7	14	1	sfoDF	sfoDF	40	
1	6	pdxST	8	14	1	sfoDF	sfoDF	6	
1	6	pdxST	9	14	1	sfoDF	sfoDF	40	
1	6	pdxST	10	14	1	sfoDF	sfoDF	13	
1	6	pdxST	11	14	1	sfoDF	sfoDF	6	
1	6	pdxST	12	14	1	sfoDF	sfoDF	24	
1	6	pdxST	13	14	1	sfoDF	sfoDF	6	
1	6	pdxST	14	14	1	sfoDF	pdxST	5	F
1	6	pdxST	15	14	1	sfoDF	sfoDF	40	
1	6	pdxST	16	15	2	pdxST	pdxST	73	PU
1	6	pdxST	17	15	2	pdxST	sfoDF	13	D
1	6	pdxST	18	16	3	sfoDF	sfoDF	13	PU
1	6	pdxST	19	16	3	sfoDF	pdxST	2	F
1	6	pdxST	20	16	3	sfoDF	sfoDF	19	
1	6	pdxST	21	16	3	sfoDF	sfoDF	88	
1	6	pdxST	22	16	3	sfoDF	sfoDF	8	
1	6	pdxST	23	16	3	sfoDF	sfoDF	24	
1	6	pdxST	24	16	3	sfoDF	sfoDF	40	
1	6	pdxST	25	16	3	sfoDF	sfoDF	8	A
1	6	pdxST	26	16	3	sfoDF	sfoDF	88	LG
1	7	sfoDF	1	17	1	pdxST	sfoDF	46	P
1	7	sfoDF	2	17	1	pdxST	pdxST	24	PU
1	7	sfoDF	3	17	1	pdxST	pdxST	11	
1	7	sfoDF	4	17	1	pdxST	pdxST	24	
1	7	sfoDF	5	17	1	pdxST	pdxST	25	
1	7	sfoDF	6	17	1	pdxST	pdxST	8	
1	7	sfoDF	7	17	1	pdxST	pdxST	24	
