point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	pdxST	sfoDF
1	1	10:00:00	8:59:00	sfoDF	3	pdxST	hold	1	0
2	1	8:59:00	5:35:00	pdxST	6	pdxST	break	2	0
3	1	5:35:00	5:11:00	pdxST	2	pdxST	break	3	0
4	1	5:11:00	4:29:00	pdxST	1	sfoDF	hold	3	1
5	1	4:29:00	3:39:00	sfoDF	1	pdxST	hold	4	1
6	1	3:39:00	1:22:00	pdxST	3	sfoDF	hold	4	2
7	1	1:22:00	0:43:00	sfoDF	1	pdxST	hold	5	2
8	1	0:43:00	0:30:00	pdxST	1	sfoDF	hold	5	3
9	1	0:30:00	0:00:00	sfoDF	NA	NA	NA	5	3
10	2	10:00:00	9:25:00	pdxST	1	sfoDF	hold	5	4
11	2	9:25:00	7:59:00	sfoDF	1	pdxST	hold	6	4
12	2	7:59:00	6:28:00	pdxST	3	sfoDF	hold	6	5
13	2	6:28:00	5:14:00	sfoDF	3	pdxST	hold	7	5
14	2	5:14:00	3:43:00	pdxST	3	sfoDF	hold	7	6
15	2	3:43:00	1:04:00	sfoDF	5	pdxST	hold	8	6
16	2	1:04:00	0:00:00	pdxST	NA	NA	NA	8	6
17	3	10:00:00	8:44:00	sfoDF	1	pdxST	hold	9	6
18	3	8:44:00	5:28:00	pdxST	8	pdxST	break	10	6
19	3	5:28:00	5:06:00	pdxST	1	sfoDF	hold	10	7
20	3	5:06:00	4:41:00	sfoDF	1	pdxST	hold	11	7
21	3	4:41:00	2:49:00	pdxST	4	pdxST	break	12	7
22	3	2:49:00	0:00:00	pdxST	NA	NA	NA	12	7
23	4	10:00:00	8:51:00	pdxST	3	sfoDF	hold	12	8
24	4	8:51:00	8:18:00	sfoDF	2	sfoDF	break	12	9
25	4	8:18:00	8:03:00	sfoDF	1	pdxST	hold	13	9
26	4	8:03:00	7:54:00	pdxST	1	sfoDF	hold	13	10
27	4	7:54:00	7:09:00	sfoDF	1	pdxST	hold	14	10
28	4	7:09:00	5:59:00	pdxST	1	sfoDF	hold	14	11
29	4	5:59:00	4:52:00	sfoDF	3	pdxST	hold	15	11
30	4	4:52:00	4:30:00	pdxST	1	sfoDF	hold	15	12
31	4	4:30:00	3:45:00	sfoDF	3	pdxST	hold	16	12
32	4	3:45:00	1:57:00	pdxST	4	pdxST	break	17	12
33	4	1:57:00	0:00:00	pdxST	NA	NA	NA	17	12
