period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	sfoDF	10	1	1	pdxST	pdxST	8	TA	10	FALSE	FALSE	NA	o_line	TA	off -
1	1	sfoDF	14	2	2	sfoDF	sfoDF	1	TA	4	FALSE	FALSE	NA	d_line	TA	off -
1	1	sfoDF	18	3	3	pdxST	pdxST	10	G	4	FALSE	TRUE	pdxST	o_line	G	G
1	2	pdxST	15	4	1	sfoDF	sfoDF	40	TA	15	FALSE	FALSE	NA	o_line	TA	off -
1	2	pdxST	23	5	2	pdxST	pdxST	2	VTT	8	FALSE	FALSE	NA	d_line	VTT	off -
1	2	pdxST	27	6	3	sfoDF	sfoDF	40	TA	4	FALSE	FALSE	NA	o_line	TA	off -
1	2	pdxST	32	7	4	pdxST	pdxST	21	TA	5	FALSE	FALSE	NA	d_line	TA	off -
1	2	pdxST	37	8	5	sfoDF	pdxST	22	D	5	FALSE	FALSE	NA	o_line	D	def +
1	2	pdxST	45	9	6	pdxST	pdxST	3	G	8	FALSE	TRUE	pdxST	d_line	G	G
1	3	pdxST	4	10	1	sfoDF	pdxST	8	D	4	FALSE	FALSE	NA	o_line	D	def +
1	3	pdxST	8	11	2	pdxST	pdxST	8	LG	4	TRUE	TRUE	pdxST	d_line	G	G
1	4	pdxST	14	12	1	sfoDF	sfoDF	85	G	14	FALSE	TRUE	sfoDF	o_line	G	G
1	5	sfoDF	21	13	1	pdxST	pdxST	25	G	21	FALSE	TRUE	pdxST	o_line	G	G
1	6	pdxST	15	14	1	sfoDF	sfoDF	40	TA	15	FALSE	FALSE	NA	o_line	TA	off -
1	6	pdxST	17	15	2	pdxST	sfoDF	13	D	2	FALSE	FALSE	NA	d_line	D	def +
1	6	pdxST	26	16	3	sfoDF	sfoDF	88	LG	9	TRUE	TRUE	sfoDF	o_line	G	G
1	7	sfoDF	13	17	1	pdxST	pdxST	11	LG	13	TRUE	TRUE	pdxST	o_line	G	G
1	8	pdxST	6	18	1	sfoDF	sfoDF	6	G	6	TRUE	TRUE	sfoDF	o_line	G	G
1	9	sfoDF	14	19	1	pdxST	pdxST	7	eop	14	FALSE	FALSE	NA	o_line	eop	eop
2	10	pdxST	8	20	1	sfoDF	sfoDF	88	G	8	TRUE	TRUE	sfoDF	o_line	G	G
2	11	sfoDF	24	21	1	pdxST	pdxST	11	G	24	FALSE	TRUE	pdxST	o_line	G	G
2	12	pdxST	8	22	1	sfoDF	sfoDF	40	TA	8	FALSE	FALSE	NA	o_line	TA	off -
2	12	pdxST	12	23	2	pdxST	sfoDF	19	D	4	FALSE	FALSE	NA	d_line	D	def +
2	12	pdxST	22	24	3	sfoDF	sfoDF	88	G	10	FALSE	TRUE	sfoDF	o_line	G	G
2	13	sfoDF	14	25	1	pdxST	sfoDF	25	D	14	FALSE	FALSE	NA	o_line	D	def +
2	13	sfoDF	16	26	2	sfoDF	pdxST	8	D	2	FALSE	FALSE	NA	d_line	D	def +
2	13	sfoDF	25	27	3	pdxST	pdxST	42	G	9	FALSE	TRUE	pdxST	o_line	G	G
2	14	pdxST	9	28	1	sfoDF	sfoDF	88	TD	9	FALSE	FALSE	NA	o_line	TD	off -
2	14	pdxST	17	29	2	pdxST	sfoDF	85	D	8	FALSE	FALSE	NA	d_line	D	def +
2	14	pdxST	24	30	3	sfoDF	sfoDF	2	G	7	TRUE	TRUE	sfoDF	o_line	G	G
2	15	sfoDF	12	31	1	pdxST	sfoDF	7	D	12	FALSE	FALSE	NA	o_line	D	def +
2	15	sfoDF	19	32	2	sfoDF	sfoDF	6	TD	7	FALSE	FALSE	NA	d_line	TD	off -
2	15	sfoDF	22	33	3	pdxST	pdxST	21	TA	3	FALSE	FALSE	NA	o_line	TA	off -
2	15	sfoDF	25	34	4	sfoDF	sfoDF	24	TA	3	FALSE	FALSE	NA	d_line	TA	off -
