poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	pdxST-10		O-CTH	pdxST-24	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-11	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-25	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	pdxST-25		O-CTH	pdxST-7	TRUE	compl
1	1	1	6	7	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-24	TRUE	compl
1	1	1	7	8	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-7	TRUE	compl
1	1	1	8	9	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-11	TRUE	compl
1	1	1	9	10	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-8	TRUE	compl
1	1	1	10	10	an	-1	O-CTH	pdxST-8		NA	pdxST-8	TRUE	taway
2	2	1	11	12	ao	0	O-PU	sfoDF-25		O-CTH	sfoDF-1	TRUE	compl
2	2	1	12	13	ao	0	O-CTH	sfoDF-1		O-CTH	sfoDF-16	TRUE	compl
2	2	1	13	14	ao	0	O-CTH	sfoDF-16		O-CTH	sfoDF-1	TRUE	compl
2	2	1	14	14	an	-1	O-CTH	sfoDF-1		NA	sfoDF-1	TRUE	taway
3	3	1	15	16	ao	0	O-PU	pdxST-24		O-CTH	pdxST-7	TRUE	compl
3	3	1	16	17	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-24	TRUE	compl
3	3	1	17	18	ao	0	O-CTH	pdxST-24		O-G	pdxST-10	TRUE	compl
4	1	2	2	3	ao	0	O-PU	sfoDF-13		O-CTH	sfoDF-8	TRUE	compl
4	1	2	3	4	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
4	1	2	4	5	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-88	TRUE	compl
4	1	2	5	6	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-8	TRUE	compl
4	1	2	6	7	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-88	TRUE	compl
4	1	2	7	8	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-40	TRUE	compl
4	1	2	8	9	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-8	TRUE	compl
4	1	2	9	10	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
4	1	2	10	11	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-88	TRUE	compl
4	1	2	11	12	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-40	TRUE	compl
4	1	2	12	14	ao	1	O-CTH	sfoDF-40	D-F	O-CTH	sfoDF-8	TRUE	compl
4	1	2	14	15	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-40	TRUE	compl
4	1	2	15	15	an	-1	O-CTH	sfoDF-40		NA	sfoDF-40	TRUE	taway
5	2	2	16	17	ao	0	O-PU	pdxST-21		O-CTH	pdxST-3	TRUE	compl
5	2	2	17	18	ao	0	O-CTH	pdxST-3		O-CTH	pdxST-21	TRUE	compl
5	2	2	18	19	ao	0	O-CTH	pdxST-21		O-CTH	pdxST-22	TRUE	compl
5	2	2	19	20	ao	0	O-CTH	pdxST-22		O-CTH	pdxST-73	TRUE	compl
5	2	2	20	21	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-22	TRUE	compl
5	2	2	21	22	ao	0	O-CTH	pdxST-22		O-CTH	pdxST-21	TRUE	compl
5	2	2	22	23	ao	0	O-CTH	pdxST-21		O-OV	pdxST-2	TRUE	compl
6	3	2	24	25	ao	0	O-PU	sfoDF-13		O-CTH	sfoDF-8	TRUE	compl
6	3	2	25	26	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-24	TRUE	compl
6	3	2	26	27	ao	0	O-CTH	sfoDF-24		O-CTH	sfoDF-40	TRUE	compl
6	3	2	27	27	an	-1	O-CTH	sfoDF-40		NA	sfoDF-40	TRUE	taway
7	4	2	28	29	ao	0	O-PU	pdxST-21		O-CTH	pdxST-73	TRUE	compl
7	4	2	29	30	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-21	TRUE	compl
7	4	2	30	31	ao	0	O-CTH	pdxST-21		O-CTH	pdxST-73	TRUE	compl
7	4	2	31	32	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-21	TRUE	compl
7	4	2	32	32	an	-1	O-CTH	pdxST-21		NA	pdxST-21	TRUE	taway
8	5	2	33	34	ao	0	O-PU	sfoDF-13		O-CTH	sfoDF-19	TRUE	compl
8	5	2	34	35	ao	0	O-CTH	sfoDF-19		O-CTH	sfoDF-40	TRUE	compl
8	5	2	35	36	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-88	TRUE	compl
8	5	2	36	37	ao	0	O-CTH	sfoDF-88		D-D	pdxST-22	TRUE	defd
9	6	2	38	39	ao	0	O-PU	pdxST-21		O-CTH	pdxST-2	TRUE	compl
