point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	seaRM	vanNH	pt_dur	pt_dur_txt
1	1	10:00:00	8:32:00	seaRM	2	seaRM	break	1	0	88	01:28
2	1	8:32:00	7:58:00	seaRM	1	vanNH	hold	1	1	34	00:34
3	1	7:58:00	7:01:00	vanNH	2	vanNH	break	1	2	57	00:57
4	1	7:01:00	6:44:00	vanNH	2	vanNH	break	1	3	17	00:17
5	1	6:44:00	6:06:00	vanNH	2	vanNH	break	1	4	38	00:38
6	1	6:06:00	5:22:00	vanNH	1	seaRM	hold	2	4	44	00:44
7	1	5:22:00	4:58:00	seaRM	1	vanNH	hold	2	5	24	00:24
8	1	4:58:00	3:32:00	vanNH	3	seaRM	hold	3	5	86	01:26
9	1	3:32:00	2:58:00	seaRM	1	vanNH	hold	3	6	34	00:34
10	1	2:58:00	0:12:04	vanNH	4	vanNH	break	3	7	166	02:46
11	1	0:12:04	0:00:00	vanNH	NA	NA	NA	3	7	12	00:12
12	2	10:00:00	8:04:00	vanNH	4	vanNH	break	3	8	116	01:56
13	2	8:04:00	6:03:00	vanNH	4	vanNH	break	3	9	121	02:01
14	2	6:03:00	5:05:00	vanNH	2	vanNH	break	3	10	58	00:58
15	2	5:05:00	4:19:00	vanNH	1	seaRM	hold	4	10	46	00:46
16	2	4:19:00	3:20:00	seaRM	1	vanNH	hold	4	11	59	00:59
17	2	3:20:00	2:06:00	vanNH	1	seaRM	hold	5	11	74	01:14
18	2	2:06:00	1:37:00	seaRM	1	vanNH	hold	5	12	29	00:29
19	2	1:37:00	1:10:00	vanNH	1	seaRM	hold	6	12	27	00:27
20	2	1:10:00	0:58:08	seaRM	2	seaRM	break	7	12	12	00:12
21	2	0:58:08	0:30:08	seaRM	1	vanNH	hold	7	13	28	00:28
22	2	0:30:08	0:00:00	vanNH	1	seaRM	hold	8	13	30	00:30
23	3	10:00:00	9:26:00	seaRM	1	vanNH	hold	8	14	34	00:34
24	3	9:26:00	7:13:00	vanNH	4	vanNH	break	8	15	133	02:13
25	3	7:13:00	3:07:00	vanNH	4	vanNH	break	8	16	246	04:06
26	3	3:07:00	2:15:00	vanNH	2	vanNH	break	8	17	52	00:52
27	3	2:15:00	1:11:00	vanNH	2	vanNH	break	8	18	64	01:04
28	3	1:11:00	0:46:08	vanNH	2	vanNH	break	8	19	25	00:25
29	3	0:46:08	0:00:00	vanNH	1	seaRM	hold	9	19	46	00:46
30	4	10:00:00	9:36:00	vanNH	2	vanNH	break	9	20	24	00:24
31	4	9:36:00	9:01:00	vanNH	1	seaRM	hold	10	20	35	00:35
32	4	9:01:00	7:50:00	seaRM	3	vanNH	hold	10	21	71	01:11
33	4	7:50:00	6:57:00	vanNH	2	vanNH	break	10	22	53	00:53
34	4	6:57:00	5:55:00	vanNH	2	vanNH	break	10	23	62	01:02
35	4	5:55:00	4:55:00	vanNH	2	vanNH	break	10	24	60	01:00
36	4	4:55:00	3:29:00	vanNH	4	vanNH	break	10	25	86	01:26
37	4	3:29:00	1:58:00	vanNH	3	seaRM	hold	11	25	91	01:31
38	4	1:58:00	1:17:00	seaRM	1	vanNH	hold	11	26	41	00:41
39	4	1:17:00	0:31:00	vanNH	2	vanNH	break	11	27	46	00:46
40	4	0:31:00	0:08:03	vanNH	1	seaRM	hold	12	27	23	00:23
41	4	0:08:03	0:00:00	seaRM	NA	NA	NA	12	27	8	00:08
