poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	vanNH-5		O-CTH	vanNH-89	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-5	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-98	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-22	TRUE	compl
1	1	1	6	7	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-89	TRUE	compl
1	1	1	7	8	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-5	TRUE	compl
1	1	1	8	9	ao	0	O-CTH	vanNH-5		O-TD	vanNH-91	TRUE	drop
2	2	1	10	11	ao	0	O-PU	seaRM-29		O-CTH	seaRM-15	TRUE	compl
2	2	1	11	12	ao	0	O-CTH	seaRM-15		O-CTH	seaRM-4	TRUE	compl
2	2	1	12	13	ao	0	O-CTH	seaRM-4		O-CTH	seaRM-29	TRUE	compl
2	2	1	13	14	ao	0	O-CTH	seaRM-29		O-CTH	seaRM-77	TRUE	compl
2	2	1	14	15	ao	0	O-CTH	seaRM-77		O-CTH	seaRM-24	TRUE	compl
2	2	1	15	16	ao	0	O-CTH	seaRM-24		O-CTH	seaRM-77	TRUE	compl
2	2	1	16	17	ao	0	O-CTH	seaRM-77		O-CTH	seaRM-4	TRUE	compl
2	2	1	17	18	ao	0	O-CTH	seaRM-4		O-CTH	seaRM-29	TRUE	compl
2	2	1	18	19	ao	0	O-CTH	seaRM-29		O-CTH	seaRM-77	TRUE	compl
2	2	1	19	20	ao	0	O-CTH	seaRM-77		O-CTH	seaRM-24	TRUE	compl
2	2	1	20	21	ao	0	O-CTH	seaRM-24		O-CTH	seaRM-77	TRUE	compl
2	2	1	21	22	ao	0	O-CTH	seaRM-77		O-CTH	seaRM-15	TRUE	compl
2	2	1	22	23	ao	0	O-CTH	seaRM-15		O-G	seaRM-18	TRUE	compl
3	1	2	2	3	ao	0	O-PU	vanNH-91		O-CTH	vanNH-89	TRUE	compl
3	1	2	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-91	TRUE	compl
3	1	2	4	5	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-89	TRUE	compl
3	1	2	5	6	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-98	TRUE	compl
3	1	2	6	7	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-72	TRUE	compl
3	1	2	7	8	ao	0	O-CTH	vanNH-72		O-CTH	vanNH-91	TRUE	compl
3	1	2	8	9	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-5	TRUE	compl
3	1	2	9	10	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-89	TRUE	compl
3	1	2	10	11	ao	0	O-CTH	vanNH-89		O-G	vanNH-98	TRUE	compl
4	1	3	2	3	ao	0	O-PU	seaRM-51		O-CTH	seaRM-1	TRUE	compl
4	1	3	3	4	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-6	TRUE	compl
4	1	3	4	5	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-8	TRUE	compl
4	1	3	5	6	ao	0	O-CTH	seaRM-8		O-CTH	seaRM-17	TRUE	compl
4	1	3	6	7	ao	0	O-CTH	seaRM-17		D-D	vanNH-11	TRUE	defd
5	2	3	8	9	ao	0	O-PU	vanNH-45		O-CTH	vanNH-31	TRUE	compl
5	2	3	9	10	ao	0	O-CTH	vanNH-31		O-CTH	vanNH-8	TRUE	compl
5	2	3	10	11	ao	0	O-CTH	vanNH-8		O-G	vanNH-45	TRUE	compl
6	1	4	2	3	ao	0	O-PU	seaRM-1		O-CTH	seaRM-?	TRUE	compl
6	1	4	3	4	ao	0	O-CTH	seaRM-?		O-CTH	seaRM-14	TRUE	compl
6	1	4	4	4	an	-1	O-CTH	seaRM-14		NA	seaRM-14	TRUE	taway
7	2	4	5	6	ao	0	O-PU	vanNH-81		O-G	vanNH-33	TRUE	compl
8	1	5	2	3	ao	0	O-PU	seaRM-29		O-CTH	seaRM-18	TRUE	compl
8	1	5	3	4	ao	0	O-CTH	seaRM-18		O-CTH	seaRM-29	TRUE	compl
8	1	5	4	4	an	-1	O-CTH	seaRM-29		NA	seaRM-29	TRUE	taway
9	2	5	5	6	ao	0	O-PU	vanNH-18		O-CTH	vanNH-13	TRUE	compl
9	2	5	6	7	ao	0	O-CTH	vanNH-13		O-CTH	vanNH-18	TRUE	compl
9	2	5	7	8	ao	0	O-CTH	vanNH-18		O-CTH	vanNH-8	TRUE	compl
9	2	5	8	9	ao	0	O-CTH	vanNH-8		O-CTH	vanNH-14	TRUE	compl
9	2	5	9	10	ao	0	O-CTH	vanNH-14		O-G	vanNH-33	TRUE	compl
10	1	6	2	3	ao	0	O-PU	seaRM-00		O-CTH	seaRM-6	TRUE	compl
10	1	6	3	4	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-1	TRUE	compl
10	1	6	4	5	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-14	TRUE	compl
10	1	6	5	6	ao	0	O-CTH	seaRM-14		O-CTH	seaRM-1	TRUE	compl
10	1	6	6	7	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-14	TRUE	compl
10	1	6	7	8	ao	0	O-CTH	seaRM-14		O-CTH	seaRM-1	TRUE	compl
10	1	6	8	9	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-00	TRUE	compl
10	1	6	9	11	ao	1	O-CTH	seaRM-00	D-F	O-CTH	seaRM-17	TRUE	compl
10	1	6	11	12	ao	0	O-CTH	seaRM-17		O-G	seaRM-1	TRUE	compl
11	1	7	2	3	ao	0	O-PU	vanNH-5		O-CTH	vanNH-89	TRUE	compl
11	1	7	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-5	TRUE	compl
11	1	7	4	5	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-98	TRUE	compl
11	1	7	5	6	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-72	TRUE	compl
11	1	7	6	7	ao	0	O-CTH	vanNH-72		O-G	vanNH-10	TRUE	compl
12	1	8	2	3	ao	0	O-PU	seaRM-00		O-CTH	seaRM-1	TRUE	compl
12	1	8	3	4	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-14	TRUE	compl
12	1	8	4	5	ao	0	O-CTH	seaRM-14		O-CTH	seaRM-51	TRUE	compl
12	1	8	5	6	ao	0	O-CTH	seaRM-51		O-CTH	seaRM-17	TRUE	compl
12	1	8	6	7	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-14	TRUE	compl
12	1	8	7	8	ao	0	O-CTH	seaRM-14		O-CTH	seaRM-00	TRUE	compl
12	1	8	8	9	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-17	TRUE	compl
12	1	8	9	10	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-14	TRUE	compl
12	1	8	10	11	ao	0	O-CTH	seaRM-14		O-CTH	seaRM-6	TRUE	compl
12	1	8	11	11	an	-1	O-CTH	seaRM-6		NA	seaRM-6	TRUE	taway
13	2	8	12	14	ao	1	O-PU	vanNH-45	D-F	O-CTH	vanNH-8	TRUE	compl
13	2	8	14	15	ao	0	O-CTH	vanNH-8		O-CTH	vanNH-37	TRUE	compl
13	2	8	15	16	ao	0	O-CTH	vanNH-37		O-CTH	vanNH-27	TRUE	compl
13	2	8	16	16	an	-1	O-CTH	vanNH-27		NA	vanNH-27	TRUE	taway
14	3	8	17	18	ao	0	O-PU	seaRM-17		O-CTH	seaRM-00	TRUE	compl
