game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-06-07_seaRM-at-vanNH	seaRM-1	mckibben	4	0.95	4	0	44	42	45	0	0	seaRM	1
2014-06-07_seaRM-at-vanNH	seaRM-17	zemel	4	0.81	1	3	32	26	27	0	1	seaRM	17
2014-06-07_seaRM-at-vanNH	seaRM-51	entz	3	0.83	2	1	6	5	7	0	0	seaRM	51
2014-06-07_seaRM-at-vanNH	seaRM-14	pickel	2	0.88	1	1	25	22	24	0	0	seaRM	14
2014-06-07_seaRM-at-vanNH	seaRM-18	uhrig-fox	2	0.78	1	1	9	7	10	0	1	seaRM	18
2014-06-07_seaRM-at-vanNH	seaRM-29	feeley	2	0.88	0	2	32	28	19	1	1	seaRM	29
2014-06-07_seaRM-at-vanNH	seaRM-00	rupp	1	1	1	0	36	36	24	0	0	seaRM	00
2014-06-07_seaRM-at-vanNH	seaRM-24	duffel	1	1	1	0	3	3	4	0	0	seaRM	24
2014-06-07_seaRM-at-vanNH	seaRM-31	barowski	1	0.71	1	0	7	5	8	0	0	seaRM	31
2014-06-07_seaRM-at-vanNH	seaRM-15	beehner	1	1	0	1	6	6	6	1	0	seaRM	15
2014-06-07_seaRM-at-vanNH	seaRM-6	trytiak	1	0.67	0	1	12	8	12	0	0	seaRM	6
2014-06-07_seaRM-at-vanNH	seaRM-77	trotter	1	1	0	1	14	14	14	0	0	seaRM	77
2014-06-07_seaRM-at-vanNH	seaRM-8	fong	1	1	0	1	10	10	10	0	0	seaRM	8
2014-06-07_seaRM-at-vanNH	seaRM-4	schneider	0	1	0	0	10	10	10	1	0	seaRM	4
2014-06-07_seaRM-at-vanNH	seaRM-?	?name?	0	1	0	0	2	2	2	0	0	seaRM	?
2014-06-07_seaRM-at-vanNH	seaRM-10	kalmakis	0	0.86	0	0	7	6	6	0	0	seaRM	10
2014-06-07_seaRM-at-vanNH	seaRM-23	sliva	0	0.75	0	0	8	6	8	0	0	seaRM	23
2014-06-07_seaRM-at-vanNH	vanNH-98	wong	4	1	4	0	8	8	12	0	0	vanNH	98
2014-06-07_seaRM-at-vanNH	vanNH-45	cowan	4	1	2	2	12	12	8	0	0	vanNH	45
2014-06-07_seaRM-at-vanNH	vanNH-89	underhill	4	0.97	2	2	30	29	29	0	0	vanNH	89
2014-06-07_seaRM-at-vanNH	vanNH-21	loach	4	1	1	3	14	14	15	0	0	vanNH	21
2014-06-07_seaRM-at-vanNH	vanNH-4	doyle	3	1	3	0	4	4	7	0	0	vanNH	4
2014-06-07_seaRM-at-vanNH	vanNH-10	chatha	3	1	2	1	8	8	10	0	0	vanNH	10
2014-06-07_seaRM-at-vanNH	vanNH-33	collins	3	1	2	1	3	3	4	0	0	vanNH	33
2014-06-07_seaRM-at-vanNH	vanNH-37	sinclair	3	1	2	1	5	5	6	0	0	vanNH	37
2014-06-07_seaRM-at-vanNH	vanNH-11	greer	3	0.75	1	2	4	3	5	1	0	vanNH	11
2014-06-07_seaRM-at-vanNH	vanNH-8	hibbert	3	1	0	3	17	17	15	1	0	vanNH	8
2014-06-07_seaRM-at-vanNH	vanNH-5	norris	3	0.93	0	3	27	25	21	0	1	vanNH	5
2014-06-07_seaRM-at-vanNH	vanNH-13	tessarolo	2	1	2	0	4	4	5	2	0	vanNH	13
2014-06-07_seaRM-at-vanNH	vanNH-22	berezan	2	1	2	0	10	10	12	0	0	vanNH	22
2014-06-07_seaRM-at-vanNH	vanNH-27	davis	2	0.83	2	0	6	5	9	0	0	vanNH	27
2014-06-07_seaRM-at-vanNH	vanNH-7	dandurand	2	1	1	1	1	1	2	0	0	vanNH	7
2014-06-07_seaRM-at-vanNH	vanNH-14	eyrich	2	1	0	2	2	2	2	0	0	vanNH	14
2014-06-07_seaRM-at-vanNH	vanNH-18	menzies	2	0.83	0	2	12	10	7	0	0	vanNH	18
2014-06-07_seaRM-at-vanNH	vanNH-72	leduc	2	0.86	0	2	7	6	7	0	0	vanNH	72
2014-06-07_seaRM-at-vanNH	vanNH-24	yu	1	0.9	1	0	10	9	8	0	1	vanNH	24
2014-06-07_seaRM-at-vanNH	vanNH-31	saito	1	1	0	1	8	8	7	0	0	vanNH	31
2014-06-07_seaRM-at-vanNH	vanNH-81	tejpar	1	0.75	0	1	4	3	2	0	1	vanNH	81
2014-06-07_seaRM-at-vanNH	vanNH-91	savage	0	0.96	0	0	26	25	19	1	0	vanNH	91
2014-06-07_seaRM-at-vanNH	vanNH-?	?name?	0	NA	0	0	0	0	1	0	0	vanNH	?
2014-06-07_seaRM-at-vanNH	vanNH-49	hayduk	0	1	0	0	5	5	3	0	0	vanNH	49
