game	player	points	goals	assists	Ds
2014-06-07_seaRM-at-vanNH	seaRM-1-mckibben	4	4	0	0
2014-06-07_seaRM-at-vanNH	seaRM-17-zemel	4	1	3	0
2014-06-07_seaRM-at-vanNH	seaRM-51-entz	3	2	1	0
2014-06-07_seaRM-at-vanNH	seaRM-14-pickel	2	1	1	0
2014-06-07_seaRM-at-vanNH	seaRM-18-uhrig-fox	2	1	1	0
2014-06-07_seaRM-at-vanNH	seaRM-29-feeley	2	0	2	1
2014-06-07_seaRM-at-vanNH	seaRM-00-rupp	1	1	0	0
2014-06-07_seaRM-at-vanNH	seaRM-24-duffel	1	1	0	0
2014-06-07_seaRM-at-vanNH	seaRM-31-barowski	1	1	0	0
2014-06-07_seaRM-at-vanNH	seaRM-15-beehner	1	0	1	1
2014-06-07_seaRM-at-vanNH	seaRM-6-trytiak	1	0	1	0
2014-06-07_seaRM-at-vanNH	seaRM-77-trotter	1	0	1	0
2014-06-07_seaRM-at-vanNH	seaRM-8-fong	1	0	1	0
2014-06-07_seaRM-at-vanNH	seaRM-4-schneider	0	0	0	1
2014-06-07_seaRM-at-vanNH	vanNH-98-wong	4	4	0	0
2014-06-07_seaRM-at-vanNH	vanNH-45-cowan	4	2	2	0
2014-06-07_seaRM-at-vanNH	vanNH-89-underhill	4	2	2	0
2014-06-07_seaRM-at-vanNH	vanNH-21-loach	4	1	3	0
2014-06-07_seaRM-at-vanNH	vanNH-4-doyle	3	3	0	0
2014-06-07_seaRM-at-vanNH	vanNH-10-chatha	3	2	1	0
2014-06-07_seaRM-at-vanNH	vanNH-33-collins	3	2	1	0
2014-06-07_seaRM-at-vanNH	vanNH-37-sinclair	3	2	1	0
2014-06-07_seaRM-at-vanNH	vanNH-11-greer	3	1	2	1
2014-06-07_seaRM-at-vanNH	vanNH-8-hibbert	3	0	3	1
2014-06-07_seaRM-at-vanNH	vanNH-5-norris	3	0	3	0
2014-06-07_seaRM-at-vanNH	vanNH-13-tessarolo	2	2	0	2
2014-06-07_seaRM-at-vanNH	vanNH-22-berezan	2	2	0	0
2014-06-07_seaRM-at-vanNH	vanNH-27-davis	2	2	0	0
2014-06-07_seaRM-at-vanNH	vanNH-7-dandurand	2	1	1	0
2014-06-07_seaRM-at-vanNH	vanNH-14-eyrich	2	0	2	0
2014-06-07_seaRM-at-vanNH	vanNH-18-menzies	2	0	2	0
2014-06-07_seaRM-at-vanNH	vanNH-72-leduc	2	0	2	0
2014-06-07_seaRM-at-vanNH	vanNH-24-yu	1	1	0	0
2014-06-07_seaRM-at-vanNH	vanNH-31-saito	1	0	1	0
2014-06-07_seaRM-at-vanNH	vanNH-81-tejpar	1	0	1	0
2014-06-07_seaRM-at-vanNH	vanNH-91-savage	0	0	0	1
