game	player	points	goals	assists	Ds
2014-06-07_wdcCT-at-bosWC	bosWC-1-markette	5	0	5	0
2014-06-07_wdcCT-at-bosWC	bosWC-21-graham	4	4	0	0
2014-06-07_wdcCT-at-bosWC	bosWC-17-foster	4	3	1	0
2014-06-07_wdcCT-at-bosWC	bosWC-8-cooper	3	1	2	0
2014-06-07_wdcCT-at-bosWC	bosWC-13-malacek	3	0	3	0
2014-06-07_wdcCT-at-bosWC	bosWC-77-clark	2	2	0	0
2014-06-07_wdcCT-at-bosWC	bosWC-4-rebholz	2	1	1	1
2014-06-07_wdcCT-at-bosWC	bosWC-00-taylor	1	1	0	0
2014-06-07_wdcCT-at-bosWC	bosWC-27-hatchett	1	1	0	0
2014-06-07_wdcCT-at-bosWC	bosWC-29-stevens	1	1	0	0
2014-06-07_wdcCT-at-bosWC	bosWC-3-zid	1	1	0	0
2014-06-07_wdcCT-at-bosWC	bosWC-64-farnsworth	1	1	0	0
2014-06-07_wdcCT-at-bosWC	bosWC-18-browar-jarus	1	0	1	1
2014-06-07_wdcCT-at-bosWC	bosWC-10-ingold-smith	1	0	1	0
2014-06-07_wdcCT-at-bosWC	bosWC-12-simmons	1	0	1	0
2014-06-07_wdcCT-at-bosWC	bosWC-7-brecher	1	0	1	0
2014-06-07_wdcCT-at-bosWC	bosWC-11-foster	0	0	0	1
2014-06-07_wdcCT-at-bosWC	bosWC-43-hirschberger	0	0	0	1
2014-06-07_wdcCT-at-bosWC	wdcCT-8-prial	6	3	3	0
2014-06-07_wdcCT-at-bosWC	wdcCT-45-wodatch	4	3	1	0
2014-06-07_wdcCT-at-bosWC	wdcCT-90-shofner	4	2	2	1
2014-06-07_wdcCT-at-bosWC	wdcCT-99-kolick	4	0	4	0
2014-06-07_wdcCT-at-bosWC	wdcCT-2-keegan	3	3	0	0
2014-06-07_wdcCT-at-bosWC	wdcCT-4-johnson	3	1	2	0
2014-06-07_wdcCT-at-bosWC	wdcCT-80-grabowski	3	1	2	0
2014-06-07_wdcCT-at-bosWC	wdcCT-7-boylan-kolchin	2	2	0	0
2014-06-07_wdcCT-at-bosWC	wdcCT-42-gibson	2	1	1	2
2014-06-07_wdcCT-at-bosWC	wdcCT-88-oung	2	1	1	1
2014-06-07_wdcCT-at-bosWC	wdcCT-1-kantor	2	1	1	0
2014-06-07_wdcCT-at-bosWC	wdcCT-14-blake	1	1	0	0
2014-06-07_wdcCT-at-bosWC	wdcCT-17-miner	1	1	0	0
2014-06-07_wdcCT-at-bosWC	wdcCT-20-poole	1	1	0	0
2014-06-07_wdcCT-at-bosWC	wdcCT-12-bellinger	1	0	1	1
2014-06-07_wdcCT-at-bosWC	wdcCT-19-maloney	1	0	1	0
2014-06-07_wdcCT-at-bosWC	wdcCT-24-fleming	1	0	1	0
2014-06-07_wdcCT-at-bosWC	wdcCT-9-doi	1	0	1	0
2014-06-07_wdcCT-at-bosWC	wdcCT-31-cobb	0	0	0	2
