point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	47	P		
1	2			25	PU
1	3			14	
1	4			25	
1	5			13	
1	6			27	
1	7			7	
1	8			42	
1	9	10	F		
1	10			10	SO
1	11			9	SI
1	12			7	
1	13			27	
1	14			13	
1	15			42	
1	16			25	
1	17			7	
1	18			27	G
2	1	64	P		
2	2			4	PU
2	3			6	
2	4			44	
2	5			4	
2	6			41	LG
3	1	81	P		
3	2			7	PU
3	3			13	
3	4			7	
3	5			13	
3	6			25	
3	7			42	
3	8			27	
3	9			9	
3	10			9	SO
3	11			23	SI
3	12			23	PU
3	13			7	
3	14			14	
3	15			7	
3	16			23	
3	17			42	
3	18			27	
3	19			13	
3	20			7	
3	21	24	PU		
3	22	21			
3	23	27			
3	24	82			
3	25			7	PU
3	26			14	
3	27			27	
3	28			23	
3	29	24	PU		
3	30	47			
3	31	27			
3	32	82			
3	33	81			
3	34	9			
3	35	21	G		
4	1	82	OBP		
4	2			20	PU
4	3	9	F		
4	4			11	
4	5			4	G
5	1	1	P		
5	2			6	PU
5	3			41	TD
5	4	2	PU		
5	5	21			
5	6	2			
5	7	64			
5	8	1			
5	9	6			
5	10			41	D
5	11			41	PU
5	12			4	
5	13			41	
5	14	21	PU		
5	15	2			
5	16	1			
5	17			6	D
5	18			6	PU
5	19			4	
5	20			41	
5	21			4	
5	22			33	
5	23	2	F		
5	24			4	
5	25			18	
5	26			4	
5	27			6	
5	28			41	
5	29			26	
5	30			4	
5	31	2	D		
5	32	21	PU		
5	33	1			
5	34	6			
5	35	64			
5	36	21			
5	37	64			
5	38	21			
5	39	6			
5	40		TO		
5	41	13	PU		
5	42	25			
5	43	23			
5	44	13			
5	45	7			
5	46	23			
5	47	14			
5	48	27	G		
6	1	16	P		
6	2			6	PU
6	3			44	
6	4			41	
6	5			1	
6	6			14	
6	7			44	
6	8			1	G
7	1	47	P		
7	2			25	PU
7	3			7	
7	4			25	
7	5			7	
7	6			27	L
7	7			42	G
8	1	1	P		
8	2			26	PU
8	3			19	
8	4			14	
8	5			1	
8	6			4	
8	7			26	
8	8			19	
8	9			1	
8	10			4	
8	11	11	D		
8	12	2	PU		
8	13	64			
8	14	1			
8	15	10	TD		
9	1	3	P		
9	2			4	PU
9	3			19	
9	4			18	
9	5			14	
9	6			41	
9	7			6	
9	8			4	
9	9			41	G
10	1	47	P		
10	2			13	PU
10	3			7	
10	4			13	
10	5			27	
10	6			13	
10	7			14	
10	8	82	D		
10	9	5	PU		
10	10	10			
10	11	5			
10	12			7	F
10	13	10			
10	14	5	G		
11	1	81	P		
11	2			20	PU
11	3			42	
11	4			20	
11	5			38	
11	6			42	
11	7			38	
11	8			3	
11	9	24	PU		
11	10			25	PU
11	11				TO
11	12			7	PU
11	13			38	G
12	1	1	P		
12	2			26	PU
12	3			4	
12	4			44	
12	5			4	
12	6			14	
12	7	22	F		
12	8			26	
12	9			33	
12	10			1	G
13	1	47	P		
13	2			13	PU
13	3			7	
13	4			27	
13	5			7	
13	6			25	
13	7			7	
13	8			13	
13	9			27	
13	10			13	
13	11			25	
13	12			23	
13	13			25	
13	14			13	
13	15			7	
13	16			23	G
14	1	16	P		
14	2			19	PU
14	3			41	
14	4	11	D		
14	5	28	PU		
14	6	16			
14	7	64			
14	8	28			
14	9	11			
14	10	64			
14	11	11			
14	12	16			
14	13	11			
14	14	64			
14	15	21			
14	16	64			
14	17	16			
14	18	21			
14	19			19	F
14	20	11	G		
15	1	3	P		
15	2			47	PU
15	3			24	
15	4			14	
15	5			81	
15	6			21	
15	7	2	PU		
15	8	33			
15	9			47	F
15	10	38			
15	11	3			
15	12	6			
15	13	3			
15	14	22			
15	15	3			
15	16			14	F
15	17	7			
15	18	22	G		
16	1	1	P		
16	2			4	PU
16	3			6	
16	4			44	
16	5	31	F		
16	6			6	
16	7			1	G
17	1	47	P		
17	2			20	PU
17	3			7	
17	4			25	
17	5			7	
17	6			20	
17	7			42	
17	8	5	PU		
17	9	89			
17	10	5			
17	11	47			
17	12	9			
17	13	5			
17	14	47			
17	15	9			
17	16	21			
17	17	47			
17	18	5			
17	19	21			
17	20			27	D
17	21			14	PU
17	22			25	
17	23			7	
17	24			20	
17	25			23	
17	26			20	
17	27			42	
17	28			25	
17	29			20	
17	30			7	
17	31			23	
17	32			7	
17	33			27	G
18	1	16	P		
18	2			26	PU
18	3			6	
18	4			14	
18	5			6	
18	6			44	TD
18	7	2	PU		
18	8			33	PU
18	9			6	
18	10			14	G
19	1	81	P		
19	2			13	PU
19	3			7	
19	4			13	
19	5			14	
19	6			42	
19	7			4	
19	8			27	
19	9			7	
19	10			4	
20	1	47	P		
20	2			25	PU
20	3			7	
20	4			13	
20	5			25	
20	6			13	
20	7			27	
20	8			11	
20	9			11	VP
20	10	10	D		
20	11	10	PU		
20	12	24			
20	13	89	G		
21	1	81	P		
21	2			20	PU
21	3			7	
21	4			42	
21	5			14	
21	6			20	
21	7			3	
21	8			23	
21	9			42	
21	10			14	G
22	1	16	P		
22	2			4	PU
22	3			41	
22	4			14	
22	5			6	G
23	1	47	P		
23	2			7	PU
23	3			13	
23	4			27	
23	5			25	LG
24	1	1	P		
24	2			6	PU
24	3			18	LG
25	1	81	P		
25	2			7	PU
25	3			13	
25	4			7	
25	5			42	
25	6			25	
25	7			14	
25	8			42	
25	9			27	
25	10			13	
25	11			7	
25	12			42	
25	13			7	
25	14			42	
25	15			7	
25	16			42	G
26	1	3	P		
26	2			26	PU
26	3			19	
26	4			14	
26	5			41	
26	6			18	G
27	1	47	OBP		
27	2			13	PU
27	3			25	
27	4			14	
27	5			13	
27	6			23	
27	7			27	
27	8			13	
27	9			25	
27	10			13	
27	11			25	
27	12			14	
27	13			27	G
28	1	64	OBP		
28	2			6	PU
28	3			4	
28	4			44	
28	5	1	F		
28	6			6	
28	7			44	G
29	1	81	P		
29	2			13	PU
29	3			25	
29	4			27	
29	5			14	
29	6			7	
29	7			4	
29	8			42	
29	9			7	
29	10			14	G
30	1	3	P		
30	2			26	PU
30	3			19	
30	4			6	
30	5			26	
30	6			6	
30	7			19	
30	8			1	
30	9			26	
30	10			6	
30	11			19	
30	12			1	G
31	1	81	P		
31	2			13	PU
31	3			25	
31	4			27	
31	5			13	
31	6			7	
31	7			23	
31	8			14	
31	9			13	
31	10			7	
31	11			25	
31	12			7	
31	13			25	
31	14			7	
31	15	82	D		
31	16	21	PU		
31	17		TO		
31	18	19	PU		
31	19	14			
31	20	1			
31	21	44	LG		
32	1	81	P		
32	2			4	PU
32	3			20	
32	4			27	
32	5			7	
32	6			27	
32	7			25	LG
33	1	1	P		
33	2			4	PU
33	3			19	
33	4			14	
33	5			33	
33	6			18	
33	7			19	
33	8			6	
33	9			19	
33	10			18	
33	11			41	
33	12			6	G
34	1	21	P		
34	2			7	PU
34	3			23	
34	4			13	
34	5			27	
34	6			23	
34	7			27	
