period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	nykRM	1	1	1	phlSP	nykRM	47	P
1	1	nykRM	2	1	1	phlSP	phlSP	25	PU
1	1	nykRM	3	1	1	phlSP	phlSP	14	
1	1	nykRM	4	1	1	phlSP	phlSP	25	
1	1	nykRM	5	1	1	phlSP	phlSP	13	
1	1	nykRM	6	1	1	phlSP	phlSP	27	
1	1	nykRM	7	1	1	phlSP	phlSP	7	
1	1	nykRM	8	1	1	phlSP	phlSP	42	
1	1	nykRM	9	1	1	phlSP	nykRM	10	F
1	1	nykRM	10	1	1	phlSP	phlSP	10	SO
1	1	nykRM	11	1	1	phlSP	phlSP	9	SI
1	1	nykRM	12	1	1	phlSP	phlSP	7	
1	1	nykRM	13	1	1	phlSP	phlSP	27	
1	1	nykRM	14	1	1	phlSP	phlSP	13	
1	1	nykRM	15	1	1	phlSP	phlSP	42	
1	1	nykRM	16	1	1	phlSP	phlSP	25	
1	1	nykRM	17	1	1	phlSP	phlSP	7	A
1	1	nykRM	18	1	1	phlSP	phlSP	27	G
1	2	phlSP	1	2	1	nykRM	phlSP	64	P
1	2	phlSP	2	2	1	nykRM	nykRM	4	PU
1	2	phlSP	3	2	1	nykRM	nykRM	6	
1	2	phlSP	4	2	1	nykRM	nykRM	44	
1	2	phlSP	5	2	1	nykRM	nykRM	4	A
1	2	phlSP	6	2	1	nykRM	nykRM	41	LG
1	3	nykRM	1	3	1	phlSP	nykRM	81	P
1	3	nykRM	2	3	1	phlSP	phlSP	7	PU
1	3	nykRM	3	3	1	phlSP	phlSP	13	
1	3	nykRM	4	3	1	phlSP	phlSP	7	
1	3	nykRM	5	3	1	phlSP	phlSP	13	
1	3	nykRM	6	3	1	phlSP	phlSP	25	
1	3	nykRM	7	3	1	phlSP	phlSP	42	
1	3	nykRM	8	3	1	phlSP	phlSP	27	
1	3	nykRM	9	3	1	phlSP	phlSP	9	
1	3	nykRM	10	3	1	phlSP	phlSP	9	SO
1	3	nykRM	11	3	1	phlSP	phlSP	23	SI
1	3	nykRM	12	3	1	phlSP	phlSP	23	PU
1	3	nykRM	13	3	1	phlSP	phlSP	7	
1	3	nykRM	14	3	1	phlSP	phlSP	14	
1	3	nykRM	15	3	1	phlSP	phlSP	7	
1	3	nykRM	16	3	1	phlSP	phlSP	23	
1	3	nykRM	17	3	1	phlSP	phlSP	42	
1	3	nykRM	18	3	1	phlSP	phlSP	27	
1	3	nykRM	19	3	1	phlSP	phlSP	13	
1	3	nykRM	20	3	1	phlSP	phlSP	7	
1	3	nykRM	21	4	2	nykRM	nykRM	24	PU
1	3	nykRM	22	4	2	nykRM	nykRM	21	
1	3	nykRM	23	4	2	nykRM	nykRM	27	
1	3	nykRM	24	4	2	nykRM	nykRM	82	
1	3	nykRM	25	5	3	phlSP	phlSP	7	PU
1	3	nykRM	26	5	3	phlSP	phlSP	14	
1	3	nykRM	27	5	3	phlSP	phlSP	27	
1	3	nykRM	28	5	3	phlSP	phlSP	23	
1	3	nykRM	29	6	4	nykRM	nykRM	24	PU
1	3	nykRM	30	6	4	nykRM	nykRM	47	
1	3	nykRM	31	6	4	nykRM	nykRM	27	
1	3	nykRM	32	6	4	nykRM	nykRM	82	
1	3	nykRM	33	6	4	nykRM	nykRM	81	
1	3	nykRM	34	6	4	nykRM	nykRM	9	A
1	3	nykRM	35	6	4	nykRM	nykRM	21	G
1	4	nykRM	1	7	1	phlSP	nykRM	82	OBP
1	4	nykRM	2	7	1	phlSP	phlSP	20	PU
1	4	nykRM	3	7	1	phlSP	nykRM	9	F
1	4	nykRM	4	7	1	phlSP	phlSP	11	A
1	4	nykRM	5	7	1	phlSP	phlSP	4	G
1	5	phlSP	1	8	1	nykRM	phlSP	1	P
1	5	phlSP	2	8	1	nykRM	nykRM	6	PU
1	5	phlSP	3	8	1	nykRM	nykRM	41	TD
1	5	phlSP	4	9	2	phlSP	phlSP	2	PU
1	5	phlSP	5	9	2	phlSP	phlSP	21	
1	5	phlSP	6	9	2	phlSP	phlSP	2	
1	5	phlSP	7	9	2	phlSP	phlSP	64	
1	5	phlSP	8	9	2	phlSP	phlSP	1	
1	5	phlSP	9	9	2	phlSP	phlSP	6	
1	5	phlSP	10	9	2	phlSP	nykRM	41	D
1	5	phlSP	11	10	3	nykRM	nykRM	41	PU
1	5	phlSP	12	10	3	nykRM	nykRM	4	
1	5	phlSP	13	10	3	nykRM	nykRM	41	
1	5	phlSP	14	11	4	phlSP	phlSP	21	PU
1	5	phlSP	15	11	4	phlSP	phlSP	2	
1	5	phlSP	16	11	4	phlSP	phlSP	1	
1	5	phlSP	17	11	4	phlSP	nykRM	6	D
1	5	phlSP	18	12	5	nykRM	nykRM	6	PU
1	5	phlSP	19	12	5	nykRM	nykRM	4	
1	5	phlSP	20	12	5	nykRM	nykRM	41	
1	5	phlSP	21	12	5	nykRM	nykRM	4	
1	5	phlSP	22	12	5	nykRM	nykRM	33	
1	5	phlSP	23	12	5	nykRM	phlSP	2	F
1	5	phlSP	24	12	5	nykRM	nykRM	4	
1	5	phlSP	25	12	5	nykRM	nykRM	18	
1	5	phlSP	26	12	5	nykRM	nykRM	4	
1	5	phlSP	27	12	5	nykRM	nykRM	6	
1	5	phlSP	28	12	5	nykRM	nykRM	41	
1	5	phlSP	29	12	5	nykRM	nykRM	26	
1	5	phlSP	30	12	5	nykRM	nykRM	4	
1	5	phlSP	31	12	5	nykRM	phlSP	2	D
1	5	phlSP	32	13	6	phlSP	phlSP	21	PU
1	5	phlSP	33	13	6	phlSP	phlSP	1	
1	5	phlSP	34	13	6	phlSP	phlSP	6	
1	5	phlSP	35	13	6	phlSP	phlSP	64	
1	5	phlSP	36	13	6	phlSP	phlSP	21	
1	5	phlSP	37	13	6	phlSP	phlSP	64	
1	5	phlSP	38	13	6	phlSP	phlSP	21	
1	5	phlSP	39	13	6	phlSP	phlSP	6	
1	5	phlSP	40	13	6	phlSP	phlSP		TO
1	5	phlSP	41	13	6	phlSP	phlSP	13	PU
1	5	phlSP	42	13	6	phlSP	phlSP	25	
1	5	phlSP	43	13	6	phlSP	phlSP	23	
1	5	phlSP	44	13	6	phlSP	phlSP	13	
1	5	phlSP	45	13	6	phlSP	phlSP	7	
1	5	phlSP	46	13	6	phlSP	phlSP	23	
1	5	phlSP	47	13	6	phlSP	phlSP	14	A
1	5	phlSP	48	13	6	phlSP	phlSP	27	G
1	6	phlSP	1	14	1	nykRM	phlSP	16	P
1	6	phlSP	2	14	1	nykRM	nykRM	6	PU
1	6	phlSP	3	14	1	nykRM	nykRM	44	
1	6	phlSP	4	14	1	nykRM	nykRM	41	
1	6	phlSP	5	14	1	nykRM	nykRM	1	
1	6	phlSP	6	14	1	nykRM	nykRM	14	
1	6	phlSP	7	14	1	nykRM	nykRM	44	A
1	6	phlSP	8	14	1	nykRM	nykRM	1	G
1	7	nykRM	1	15	1	phlSP	nykRM	47	P
1	7	nykRM	2	15	1	phlSP	phlSP	25	PU
1	7	nykRM	3	15	1	phlSP	phlSP	7	
1	7	nykRM	4	15	1	phlSP	phlSP	25	
1	7	nykRM	5	15	1	phlSP	phlSP	7	
1	7	nykRM	6	15	1	phlSP	phlSP	27	LA
1	7	nykRM	7	15	1	phlSP	phlSP	42	G
1	8	phlSP	1	16	1	nykRM	phlSP	1	P
1	8	phlSP	2	16	1	nykRM	nykRM	26	PU
1	8	phlSP	3	16	1	nykRM	nykRM	19	
1	8	phlSP	4	16	1	nykRM	nykRM	14	
1	8	phlSP	5	16	1	nykRM	nykRM	1	
1	8	phlSP	6	16	1	nykRM	nykRM	4	
1	8	phlSP	7	16	1	nykRM	nykRM	26	
1	8	phlSP	8	16	1	nykRM	nykRM	19	
1	8	phlSP	9	16	1	nykRM	nykRM	1	
1	8	phlSP	10	16	1	nykRM	nykRM	4	
1	8	phlSP	11	16	1	nykRM	phlSP	11	D
1	8	phlSP	12	17	2	phlSP	phlSP	2	PU
1	8	phlSP	13	17	2	phlSP	phlSP	64	
1	8	phlSP	14	17	2	phlSP	phlSP	1	
1	8	phlSP	15	17	2	phlSP	phlSP	10	TD
2	9	phlSP	1	18	1	nykRM	phlSP	3	P
2	9	phlSP	2	18	1	nykRM	nykRM	4	PU
2	9	phlSP	3	18	1	nykRM	nykRM	19	
2	9	phlSP	4	18	1	nykRM	nykRM	18	
2	9	phlSP	5	18	1	nykRM	nykRM	14	
2	9	phlSP	6	18	1	nykRM	nykRM	41	
2	9	phlSP	7	18	1	nykRM	nykRM	6	
2	9	phlSP	8	18	1	nykRM	nykRM	4	A
2	9	phlSP	9	18	1	nykRM	nykRM	41	G
2	10	nykRM	1	19	1	phlSP	nykRM	47	P
2	10	nykRM	2	19	1	phlSP	phlSP	13	PU
2	10	nykRM	3	19	1	phlSP	phlSP	7	
2	10	nykRM	4	19	1	phlSP	phlSP	13	
2	10	nykRM	5	19	1	phlSP	phlSP	27	
2	10	nykRM	6	19	1	phlSP	phlSP	13	
2	10	nykRM	7	19	1	phlSP	phlSP	14	
2	10	nykRM	8	19	1	phlSP	nykRM	82	D
2	10	nykRM	9	20	2	nykRM	nykRM	5	PU
2	10	nykRM	10	20	2	nykRM	nykRM	10	
2	10	nykRM	11	20	2	nykRM	nykRM	5	
2	10	nykRM	12	20	2	nykRM	phlSP	7	F
2	10	nykRM	13	20	2	nykRM	nykRM	10	A
2	10	nykRM	14	20	2	nykRM	nykRM	5	G
2	11	nykRM	1	21	1	phlSP	nykRM	81	P
2	11	nykRM	2	21	1	phlSP	phlSP	20	PU
2	11	nykRM	3	21	1	phlSP	phlSP	42	
2	11	nykRM	4	21	1	phlSP	phlSP	20	
2	11	nykRM	5	21	1	phlSP	phlSP	38	
2	11	nykRM	6	21	1	phlSP	phlSP	42	
2	11	nykRM	7	21	1	phlSP	phlSP	38	
2	11	nykRM	8	21	1	phlSP	phlSP	3	
2	11	nykRM	9	22	2	nykRM	nykRM	24	PU
2	11	nykRM	10	23	3	phlSP	phlSP	25	PU
2	11	nykRM	11	23	3	phlSP	phlSP		TO
2	11	nykRM	12	23	3	phlSP	phlSP	7	PUA
2	11	nykRM	13	23	3	phlSP	phlSP	38	G
2	12	phlSP	1	24	1	nykRM	phlSP	1	P
2	12	phlSP	2	24	1	nykRM	nykRM	26	PU
2	12	phlSP	3	24	1	nykRM	nykRM	4	
2	12	phlSP	4	24	1	nykRM	nykRM	44	
2	12	phlSP	5	24	1	nykRM	nykRM	4	
2	12	phlSP	6	24	1	nykRM	nykRM	14	
2	12	phlSP	7	24	1	nykRM	phlSP	22	F
2	12	phlSP	8	24	1	nykRM	nykRM	26	
2	12	phlSP	9	24	1	nykRM	nykRM	33	A
2	12	phlSP	10	24	1	nykRM	nykRM	1	G
2	13	nykRM	1	25	1	phlSP	nykRM	47	P
2	13	nykRM	2	25	1	phlSP	phlSP	13	PU
2	13	nykRM	3	25	1	phlSP	phlSP	7	
2	13	nykRM	4	25	1	phlSP	phlSP	27	
2	13	nykRM	5	25	1	phlSP	phlSP	7	
2	13	nykRM	6	25	1	phlSP	phlSP	25	
