point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	nykRM	phlSP	pt_dur	pt_dur_txt
1	1	10:00:00	NA	nykRM	1	phlSP	hold	0	1	NA	???
2	1	NA	NA	phlSP	1	nykRM	hold	1	1	NA	???
3	1	NA	NA	nykRM	4	nykRM	break	2	1	NA	???
4	1	NA	NA	nykRM	1	phlSP	hold	2	2	NA	???
5	1	NA	NA	phlSP	6	phlSP	break	2	3	NA	???
6	1	NA	NA	phlSP	1	nykRM	hold	3	3	NA	???
7	1	NA	NA	nykRM	1	phlSP	hold	3	4	NA	???
8	1	NA	NA	phlSP	NA	NA	NA	3	4	NA	???
9	2	NA	NA	phlSP	1	nykRM	hold	4	4	NA	???
10	2	NA	NA	nykRM	2	nykRM	break	5	4	NA	???
11	2	NA	NA	nykRM	3	phlSP	hold	5	5	NA	???
12	2	NA	NA	phlSP	1	nykRM	hold	6	5	NA	???
13	2	NA	NA	nykRM	1	phlSP	hold	6	6	NA	???
14	2	NA	NA	phlSP	2	phlSP	break	6	7	NA	???
15	2	NA	NA	phlSP	2	phlSP	break	6	8	NA	???
16	2	NA	NA	phlSP	1	nykRM	hold	7	8	NA	???
17	2	NA	NA	nykRM	3	phlSP	hold	7	9	NA	???
18	2	NA	NA	phlSP	3	nykRM	hold	8	9	NA	???
19	2	NA	NA	nykRM	NA	NA	NA	8	9	NA	???
20	3	NA	NA	nykRM	2	nykRM	break	9	9	NA	???
21	3	NA	NA	nykRM	1	phlSP	hold	9	10	NA	???
22	3	NA	NA	phlSP	1	nykRM	hold	10	10	NA	???
23	3	NA	NA	nykRM	1	phlSP	hold	10	11	NA	???
24	3	NA	NA	phlSP	1	nykRM	hold	11	11	NA	???
25	3	NA	NA	nykRM	1	phlSP	hold	11	12	NA	???
26	3	NA	NA	phlSP	1	nykRM	hold	12	12	NA	???
27	3	NA	NA	nykRM	1	phlSP	hold	12	13	NA	???
28	3	NA	NA	phlSP	1	nykRM	hold	13	13	NA	???
29	3	NA	NA	nykRM	1	phlSP	hold	13	14	NA	???
30	3	NA	NA	phlSP	1	nykRM	hold	14	14	NA	???
31	3	NA	NA	nykRM	2	nykRM	break	15	14	NA	???
32	3	NA	NA	nykRM	1	phlSP	hold	15	15	NA	???
33	3	3:38:00	NA	phlSP	1	nykRM	hold	16	15	NA	???
34	3	NA	NA	nykRM	1	phlSP	hold	16	16	NA	???
35	3	NA	NA	phlSP	3	nykRM	hold	17	16	NA	???
36	3	NA	NA	nykRM	1	phlSP	hold	17	17	NA	???
37	3	NA	NA	phlSP	NA	NA	NA	17	17	NA	???
38	4	NA	NA	phlSP	2	phlSP	break	17	18	NA	???
39	4	NA	NA	phlSP	3	nykRM	hold	18	18	NA	???
40	4	NA	NA	nykRM	3	phlSP	hold	18	19	NA	???
41	4	6:57:00	NA	phlSP	3	nykRM	hold	19	19	NA	???
42	4	NA	NA	nykRM	1	phlSP	hold	19	20	NA	???
43	4	NA	NA	phlSP	1	nykRM	hold	20	20	NA	???
44	4	NA	NA	nykRM	3	phlSP	hold	20	21	NA	???
45	4	NA	NA	phlSP	1	nykRM	hold	21	21	NA	???
46	4	NA	NA	nykRM	1	phlSP	hold	21	22	NA	???
47	4	NA	NA	phlSP	3	nykRM	hold	22	22	NA	???
48	4	NA	NA	nykRM	1	phlSP	hold	22	23	NA	???
49	4	NA	NA	phlSP	NA	NA	NA	22	23	NA	???
