game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-06-08_phlSP-at-nykRM	nykRM-6	mazur	7	0.93	2	5	29	27	24	2	2	nykRM	6
2014-06-08_phlSP-at-nykRM	nykRM-18	yz	6	1	4	2	6	6	10	0	0	nykRM	18
2014-06-08_phlSP-at-nykRM	nykRM-44	gillies	5	1	4	1	10	10	13	1	0	nykRM	44
2014-06-08_phlSP-at-nykRM	nykRM-1	kuzmowycz	5	0.89	4	1	9	8	13	0	0	nykRM	1
2014-06-08_phlSP-at-nykRM	nykRM-14	vuckovich	5	0.82	3	2	17	14	20	0	1	nykRM	14
2014-06-08_phlSP-at-nykRM	nykRM-41	faust	4	0.83	2	2	12	10	13	1	0	nykRM	41
2014-06-08_phlSP-at-nykRM	nykRM-19	saul	2	0.88	0	2	25	22	20	0	2	nykRM	19
2014-06-08_phlSP-at-nykRM	nykRM-4	hennessy	2	0.93	0	2	30	28	19	0	0	nykRM	4
2014-06-08_phlSP-at-nykRM	nykRM-21	anderson	1	0.6	1	0	5	3	6	0	0	nykRM	21
2014-06-08_phlSP-at-nykRM	nykRM-5	sender	1	0.89	1	0	9	8	7	0	0	nykRM	5
2014-06-08_phlSP-at-nykRM	nykRM-89	mieser	1	1	1	0	2	2	3	0	0	nykRM	89
2014-06-08_phlSP-at-nykRM	nykRM-10	hennessy	1	1	0	1	3	3	2	1	0	nykRM	10
2014-06-08_phlSP-at-nykRM	nykRM-26	bosco	1	1	0	1	13	13	7	1	0	nykRM	26
2014-06-08_phlSP-at-nykRM	nykRM-24	glatt	1	0.8	0	1	5	4	2	0	0	nykRM	24
2014-06-08_phlSP-at-nykRM	nykRM-33	herman	1	1	0	1	4	4	3	0	0	nykRM	33
2014-06-08_phlSP-at-nykRM	nykRM-9	walter	1	1	0	1	4	4	4	0	0	nykRM	9
2014-06-08_phlSP-at-nykRM	nykRM-82	brownlee	0	0.33	0	0	3	1	3	3	0	nykRM	82
2014-06-08_phlSP-at-nykRM	nykRM-	?name?	0	NA	0	0	0	0	0	0	0	nykRM	nykRM
2014-06-08_phlSP-at-nykRM	nykRM-27	wilson	0	1	0	0	4	4	4	0	0	nykRM	27
2014-06-08_phlSP-at-nykRM	nykRM-47	murphy	0	1	0	0	7	7	5	0	0	nykRM	47
2014-06-08_phlSP-at-nykRM	nykRM-81	murray	0	1	0	0	3	3	3	0	0	nykRM	81
2014-06-08_phlSP-at-nykRM	phlSP-7	hirannet	9	0.95	0	9	58	55	49	0	0	phlSP	7
2014-06-08_phlSP-at-nykRM	phlSP-27	rainwater	8	1	4	4	29	29	33	1	0	phlSP	27
2014-06-08_phlSP-at-nykRM	phlSP-42	ranii-dropcho	7	0.9	6	1	21	19	27	0	0	phlSP	42
2014-06-08_phlSP-at-nykRM	phlSP-14	glazer	6	0.95	3	3	20	19	22	1	0	phlSP	14
2014-06-08_phlSP-at-nykRM	phlSP-25	katzenbach	5	1	3	2	34	34	34	0	0	phlSP	25
2014-06-08_phlSP-at-nykRM	phlSP-11	esser	2	0.83	1	1	6	5	7	2	0	phlSP	11
2014-06-08_phlSP-at-nykRM	phlSP-13	brandolph	2	0.98	1	1	48	47	38	0	0	phlSP	13
2014-06-08_phlSP-at-nykRM	phlSP-22	paparone	1	1	1	0	1	1	2	0	0	phlSP	22
2014-06-08_phlSP-at-nykRM	phlSP-23	thorne	1	0.94	1	0	17	16	16	0	0	phlSP	23
2014-06-08_phlSP-at-nykRM	phlSP-38	wisch	1	1	1	0	3	3	4	0	0	phlSP	38
2014-06-08_phlSP-at-nykRM	phlSP-4	damiano	1	0.83	1	0	6	5	6	0	0	phlSP	4
2014-06-08_phlSP-at-nykRM	phlSP-6	chou	1	0.67	1	0	3	2	5	0	0	phlSP	6
2014-06-08_phlSP-at-nykRM	phlSP-16	shull	1	1	0	1	4	4	4	0	0	phlSP	16
2014-06-08_phlSP-at-nykRM	phlSP-21	panna	1	1	0	1	9	9	6	0	0	phlSP	21
2014-06-08_phlSP-at-nykRM	phlSP-2	colton	0	0.88	0	0	8	7	3	1	0	phlSP	2
2014-06-08_phlSP-at-nykRM	phlSP-64	brasz	0	0.9	0	0	10	9	8	1	0	phlSP	64
2014-06-08_phlSP-at-nykRM	phlSP-76	dillon	0	0.33	0	0	3	1	3	1	1	phlSP	76
2014-06-08_phlSP-at-nykRM	phlSP-	?name?	0	NA	0	0	0	0	0	0	0	phlSP	phlSP
2014-06-08_phlSP-at-nykRM	phlSP-1	peters	0	0.5	0	0	6	3	5	0	1	phlSP	1
2014-06-08_phlSP-at-nykRM	phlSP-10	casey	0	NA	0	0	0	0	0	0	0	phlSP	10
2014-06-08_phlSP-at-nykRM	phlSP-20	baer	0	1	0	0	15	15	10	0	0	phlSP	20
2014-06-08_phlSP-at-nykRM	phlSP-28	baer	0	1	0	0	3	3	1	0	0	phlSP	28
2014-06-08_phlSP-at-nykRM	phlSP-3	earles	0	0.67	0	0	6	4	6	0	0	phlSP	3
2014-06-08_phlSP-at-nykRM	phlSP-31	lindsey	0	1	0	0	2	2	2	0	0	phlSP	31
2014-06-08_phlSP-at-nykRM	phlSP-33	ward	0	1	0	0	1	1	1	0	0	phlSP	33
2014-06-08_phlSP-at-nykRM	phlSP-9	diviney	0	NA	0	0	0	0	1	0	0	phlSP	9
