period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	nykRM	1	1	1	wdcCT	nykRM	21	P
1	1	nykRM	2	1	1	wdcCT	wdcCT	2	PU
1	1	nykRM	3	1	1	wdcCT	wdcCT	99	
1	1	nykRM	4	1	1	wdcCT	wdcCT	2	
1	1	nykRM	5	1	1	wdcCT	wdcCT	88	
1	1	nykRM	6	1	1	wdcCT	wdcCT	90	
1	1	nykRM	7	1	1	wdcCT	wdcCT	88	
1	1	nykRM	8	1	1	wdcCT	wdcCT	8	
1	1	nykRM	9	2	2	nykRM	nykRM	5	PU
1	1	nykRM	10	2	2	nykRM	nykRM	27	
1	1	nykRM	11	2	2	nykRM	nykRM	9	
1	1	nykRM	12	2	2	nykRM	nykRM	21	
1	1	nykRM	13	2	2	nykRM	nykRM	89	
1	1	nykRM	14	2	2	nykRM	wdcCT	90	D
1	1	nykRM	15	3	3	wdcCT	wdcCT	90	PU
1	1	nykRM	16	3	3	wdcCT	wdcCT	88	
1	1	nykRM	17	3	3	wdcCT	wdcCT	2	
1	1	nykRM	18	3	3	wdcCT	wdcCT	90	
1	1	nykRM	19	3	3	wdcCT	wdcCT	2	
1	1	nykRM	20	3	3	wdcCT	wdcCT	99	
1	1	nykRM	21	3	3	wdcCT	wdcCT	45	A
1	1	nykRM	22	3	3	wdcCT	wdcCT	90	G
1	2	wdcCT	1	4	1	nykRM	wdcCT	61	P
1	2	wdcCT	2	4	1	nykRM	nykRM	4	PU
1	2	wdcCT	3	4	1	nykRM	nykRM	6	
1	2	wdcCT	4	4	1	nykRM	nykRM	18	
1	2	wdcCT	5	4	1	nykRM	nykRM	6	
1	2	wdcCT	6	4	1	nykRM	nykRM	4	
1	2	wdcCT	7	4	1	nykRM	nykRM	19	
1	2	wdcCT	8	5	2	wdcCT	wdcCT	7	PU
1	2	wdcCT	9	5	2	wdcCT	wdcCT	61	
1	2	wdcCT	10	5	2	wdcCT	wdcCT	32	
1	2	wdcCT	11	5	2	wdcCT	wdcCT	19	
1	2	wdcCT	12	5	2	wdcCT	wdcCT	32	
1	2	wdcCT	13	5	2	wdcCT	wdcCT	7	
1	2	wdcCT	14	5	2	wdcCT	nykRM	14	D
1	2	wdcCT	15	6	3	nykRM	nykRM	6	PU
1	2	wdcCT	16	6	3	nykRM	nykRM	1	
1	2	wdcCT	17	6	3	nykRM	nykRM	19	
1	2	wdcCT	18	6	3	nykRM	nykRM	6	
1	2	wdcCT	19	6	3	nykRM	nykRM	14	
1	2	wdcCT	20	6	3	nykRM	nykRM	6	
1	2	wdcCT	21	6	3	nykRM	nykRM	19	
1	2	wdcCT	22	6	3	nykRM	nykRM	18	
1	2	wdcCT	23	6	3	nykRM	nykRM	6	A
1	2	wdcCT	24	6	3	nykRM	wdcCT	5	F
1	2	wdcCT	25	6	3	nykRM	nykRM	1	G
1	3	nykRM	1	7	1	wdcCT	nykRM	81	P
1	3	nykRM	2	7	1	wdcCT	wdcCT	88	PU
1	3	nykRM	3	7	1	wdcCT	wdcCT	99	
1	3	nykRM	4	7	1	wdcCT	wdcCT	2	
1	3	nykRM	5	7	1	wdcCT	wdcCT	8	
1	3	nykRM	6	7	1	wdcCT	wdcCT	2	
1	3	nykRM	7	7	1	wdcCT	wdcCT	99	
1	3	nykRM	8	7	1	wdcCT	wdcCT	2	
1	3	nykRM	9	7	1	wdcCT	wdcCT	88	
1	3	nykRM	10	7	1	wdcCT	wdcCT	99	
1	3	nykRM	11	7	1	wdcCT	wdcCT	2	
1	3	nykRM	12	7	1	wdcCT	wdcCT	45	
1	3	nykRM	13	7	1	wdcCT	wdcCT	2	
1	3	nykRM	14	7	1	wdcCT	wdcCT	99	
1	3	nykRM	15	7	1	wdcCT	wdcCT	88	
1	3	nykRM	16	7	1	wdcCT	wdcCT	99	
1	3	nykRM	17	7	1	wdcCT	wdcCT	88	
1	3	nykRM	18	7	1	wdcCT	wdcCT	2	
1	3	nykRM	19	7	1	wdcCT	nykRM	24	D
1	3	nykRM	20	8	2	nykRM	nykRM	27	PU
1	3	nykRM	21	8	2	nykRM	nykRM	21	A
1	3	nykRM	22	8	2	nykRM	nykRM	81	G
1	4	nykRM	1	9	1	wdcCT	nykRM	6	P
1	4	nykRM	2	9	1	wdcCT	wdcCT	90	PU
1	4	nykRM	3	9	1	wdcCT	wdcCT	99	
1	4	nykRM	4	9	1	wdcCT	wdcCT	8	
1	4	nykRM	5	9	1	wdcCT	wdcCT	90	
1	4	nykRM	6	9	1	wdcCT	wdcCT	9	
1	4	nykRM	7	9	1	wdcCT	wdcCT	99	
1	4	nykRM	8	9	1	wdcCT	wdcCT	14	A
1	4	nykRM	9	9	1	wdcCT	wdcCT	8	G
1	5	wdcCT	1	10	1	nykRM	wdcCT	21	P
1	5	wdcCT	2	10	1	nykRM	nykRM	4	PU
1	5	wdcCT	3	10	1	nykRM	nykRM	6	
1	5	wdcCT	4	10	1	nykRM	nykRM	18	
1	5	wdcCT	5	10	1	nykRM	nykRM	6	
1	5	wdcCT	6	10	1	nykRM	nykRM	4	
1	5	wdcCT	7	10	1	nykRM	nykRM	18	A
1	5	wdcCT	8	10	1	nykRM	nykRM	6	G
1	6	nykRM	1	11	1	wdcCT	nykRM	81	OBP
1	6	nykRM	2	11	1	wdcCT	wdcCT	99	PU
1	6	nykRM	3	11	1	wdcCT	wdcCT	80	
1	6	nykRM	4	11	1	wdcCT	wdcCT	88	
1	6	nykRM	5	11	1	wdcCT	wdcCT	9	
1	6	nykRM	6	11	1	wdcCT	wdcCT	99	A
1	6	nykRM	7	11	1	wdcCT	wdcCT	80	G
1	7	wdcCT	1	12	1	nykRM	wdcCT	61	P
1	7	wdcCT	2	12	1	nykRM	nykRM	26	PU
1	7	wdcCT	3	12	1	nykRM	nykRM	14	
1	7	wdcCT	4	12	1	nykRM	nykRM	26	
1	7	wdcCT	5	12	1	nykRM	wdcCT	61	D
1	7	wdcCT	6	13	2	wdcCT	wdcCT	61	PU
1	7	wdcCT	7	13	2	wdcCT	wdcCT	22	
1	7	wdcCT	8	13	2	wdcCT	wdcCT	61	
1	7	wdcCT	9	13	2	wdcCT	wdcCT	22	
1	7	wdcCT	10	13	2	wdcCT	wdcCT	4	
1	7	wdcCT	11	13	2	wdcCT	wdcCT	5	
1	7	wdcCT	12	13	2	wdcCT	nykRM	1	D
1	7	wdcCT	13	14	3	nykRM	nykRM	19	PU
1	7	wdcCT	14	14	3	nykRM	nykRM	4	
1	7	wdcCT	15	14	3	nykRM	nykRM	19	
1	7	wdcCT	16	14	3	nykRM	nykRM	4	
1	7	wdcCT	17	14	3	nykRM	nykRM	14	A
1	7	wdcCT	18	14	3	nykRM	nykRM	4	G
1	8	nykRM	1	15	1	wdcCT	nykRM	81	P
1	8	nykRM	2	15	1	wdcCT	wdcCT	14	PU
1	8	nykRM	3	15	1	wdcCT	wdcCT	2	
1	8	nykRM	4	15	1	wdcCT	wdcCT	99	
1	8	nykRM	5	16	2	nykRM	nykRM	15	PU
1	8	nykRM	6	16	2	nykRM	nykRM	89	
1	8	nykRM	7	16	2	nykRM	nykRM	9	
1	8	nykRM	8	17	3	wdcCT	wdcCT	14	PUA
1	8	nykRM	9	17	3	wdcCT	wdcCT	90	G
1	9	wdcCT	1	18	1	nykRM	wdcCT	21	P
1	9	wdcCT	2	18	1	nykRM	nykRM	19	PU
1	9	wdcCT	3	18	1	nykRM	nykRM	6	
1	9	wdcCT	4	18	1	nykRM	nykRM	44	
1	9	wdcCT	5	18	1	nykRM	nykRM	1	
1	9	wdcCT	6	18	1	nykRM	nykRM	19	
1	9	wdcCT	7	18	1	nykRM	nykRM	6	
