poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	wdcCT-2		O-CTH	wdcCT-99	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	wdcCT-99		O-CTH	wdcCT-2	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	wdcCT-2		O-CTH	wdcCT-88	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	wdcCT-88		O-CTH	wdcCT-90	TRUE	compl
1	1	1	6	7	ao	0	O-CTH	wdcCT-90		O-CTH	wdcCT-88	TRUE	compl
1	1	1	7	8	ao	0	O-CTH	wdcCT-88		O-CTH	wdcCT-8	TRUE	compl
1	1	1	8	8	an	-1	O-CTH	wdcCT-8		NA	wdcCT-8	TRUE	taway
2	2	1	9	10	ao	0	O-PU	nykRM-5		O-CTH	nykRM-27	TRUE	compl
2	2	1	10	11	ao	0	O-CTH	nykRM-27		O-CTH	nykRM-9	TRUE	compl
2	2	1	11	12	ao	0	O-CTH	nykRM-9		O-CTH	nykRM-21	TRUE	compl
2	2	1	12	13	ao	0	O-CTH	nykRM-21		O-CTH	nykRM-89	TRUE	compl
2	2	1	13	14	ao	0	O-CTH	nykRM-89		D-D	wdcCT-90	TRUE	defd
3	3	1	15	16	ao	0	O-PU	wdcCT-90		O-CTH	wdcCT-88	TRUE	compl
3	3	1	16	17	ao	0	O-CTH	wdcCT-88		O-CTH	wdcCT-2	TRUE	compl
3	3	1	17	18	ao	0	O-CTH	wdcCT-2		O-CTH	wdcCT-90	TRUE	compl
3	3	1	18	19	ao	0	O-CTH	wdcCT-90		O-CTH	wdcCT-2	TRUE	compl
3	3	1	19	20	ao	0	O-CTH	wdcCT-2		O-CTH	wdcCT-99	TRUE	compl
3	3	1	20	21	ao	0	O-CTH	wdcCT-99		O-CTH	wdcCT-45	TRUE	compl
3	3	1	21	22	ao	0	O-CTH	wdcCT-45		O-G	wdcCT-90	TRUE	compl
4	1	2	2	3	ao	0	O-PU	nykRM-4		O-CTH	nykRM-6	TRUE	compl
4	1	2	3	4	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-18	TRUE	compl
