game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-06-14_nykRM-at-wdcCT	nykRM-6	mazur	4	0.88	3	1	42	37	36	1	0	nykRM	6
2014-06-14_nykRM-at-wdcCT	nykRM-1	kuzmowycz	4	0.89	1	3	9	8	10	2	0	nykRM	1
2014-06-14_nykRM-at-wdcCT	nykRM-81	murray	3	1	2	1	5	5	8	1	0	nykRM	81
2014-06-14_nykRM-at-wdcCT	nykRM-18	yz	3	0.78	2	1	9	7	11	0	0	nykRM	18
2014-06-14_nykRM-at-wdcCT	nykRM-33	herman	3	0.83	2	1	6	5	8	0	0	nykRM	33
2014-06-14_nykRM-at-wdcCT	nykRM-14	vuckovich	3	0.88	1	2	17	15	18	1	0	nykRM	14
2014-06-14_nykRM-at-wdcCT	nykRM-82	brownlee	2	1	1	1	2	2	2	1	0	nykRM	82
2014-06-14_nykRM-at-wdcCT	nykRM-19	saul	2	0.83	0	2	30	25	23	0	0	nykRM	19
2014-06-14_nykRM-at-wdcCT	nykRM-21	anderson	2	0.86	0	2	7	6	7	0	0	nykRM	21
2014-06-14_nykRM-at-wdcCT	nykRM-26	bosco	1	0.87	1	0	15	13	8	0	0	nykRM	26
2014-06-14_nykRM-at-wdcCT	nykRM-4	hennessy	1	0.92	1	0	26	24	21	0	1	nykRM	4
2014-06-14_nykRM-at-wdcCT	nykRM-47	murphy	1	0.87	1	0	23	20	20	0	0	nykRM	47
2014-06-14_nykRM-at-wdcCT	nykRM-15	baum	1	0.88	0	1	8	7	5	0	0	nykRM	15
2014-06-14_nykRM-at-wdcCT	nykRM-27	wilson	0	1	0	0	9	9	7	2	0	nykRM	27
2014-06-14_nykRM-at-wdcCT	nykRM-24	glatt	0	1	0	0	5	5	5	1	0	nykRM	24
2014-06-14_nykRM-at-wdcCT	nykRM-89	mieser	0	0.75	0	0	4	3	4	1	0	nykRM	89
2014-06-14_nykRM-at-wdcCT	nykRM-9	walter	0	0.86	0	0	7	6	7	1	0	nykRM	9
2014-06-14_nykRM-at-wdcCT	nykRM-44	gillies	0	1	0	0	6	6	6	0	0	nykRM	44
2014-06-14_nykRM-at-wdcCT	nykRM-45	hard	0	1	0	0	1	1	1	0	0	nykRM	45
2014-06-14_nykRM-at-wdcCT	nykRM-5	sender	0	1	0	0	4	4	1	0	0	nykRM	5
2014-06-14_nykRM-at-wdcCT	wdcCT-45	wodatch	5	1	1	4	14	14	15	0	0	wdcCT	45
2014-06-14_nykRM-at-wdcCT	wdcCT-9	doi	4	1	3	1	5	5	9	0	0	wdcCT	9
2014-06-14_nykRM-at-wdcCT	wdcCT-14	blake	4	0.9	1	3	10	9	7	0	0	wdcCT	14
2014-06-14_nykRM-at-wdcCT	wdcCT-90	shofner	3	0.93	2	1	14	13	13	1	0	wdcCT	90
2014-06-14_nykRM-at-wdcCT	wdcCT-32	peters	3	0.77	1	2	13	10	10	0	1	wdcCT	32
2014-06-14_nykRM-at-wdcCT	wdcCT-4	johnson	2	1	2	0	9	9	9	3	0	wdcCT	4
2014-06-14_nykRM-at-wdcCT	wdcCT-8	prial	2	0.88	2	0	16	14	16	2	0	wdcCT	8
2014-06-14_nykRM-at-wdcCT	wdcCT-1	kantor	2	1	1	1	4	4	3	2	0	wdcCT	1
2014-06-14_nykRM-at-wdcCT	wdcCT-2	keegan	2	0.91	1	1	23	21	20	0	0	wdcCT	2
2014-06-14_nykRM-at-wdcCT	wdcCT-6	gordon	2	0.67	1	1	3	2	4	0	0	wdcCT	6
2014-06-14_nykRM-at-wdcCT	wdcCT-20	poole	2	0.8	0	2	5	4	5	0	0	wdcCT	20
2014-06-14_nykRM-at-wdcCT	wdcCT-99	kolick	2	0.88	0	2	43	38	37	0	0	wdcCT	99
2014-06-14_nykRM-at-wdcCT	wdcCT-31	cobb	1	1	1	0	2	2	2	1	0	wdcCT	31
2014-06-14_nykRM-at-wdcCT	wdcCT-17	miner	1	1	1	0	1	1	2	0	0	wdcCT	17
2014-06-14_nykRM-at-wdcCT	wdcCT-21	dulabon	1	1	1	0	3	3	4	0	0	wdcCT	21
2014-06-14_nykRM-at-wdcCT	wdcCT-27	johnston	1	1	1	0	6	6	6	0	0	wdcCT	27
2014-06-14_nykRM-at-wdcCT	wdcCT-80	grabowski	1	1	1	0	4	4	4	0	0	wdcCT	80
2014-06-14_nykRM-at-wdcCT	wdcCT-88	oung	1	0.93	1	0	27	25	23	0	0	wdcCT	88
2014-06-14_nykRM-at-wdcCT	wdcCT-3	fickley	1	1	0	1	7	7	4	2	0	wdcCT	3
2014-06-14_nykRM-at-wdcCT	wdcCT-7	boylan-kolchin	1	0.71	0	1	7	5	6	1	1	wdcCT	7
2014-06-14_nykRM-at-wdcCT	wdcCT-22	marshall	1	1	0	1	3	3	3	0	0	wdcCT	22
2014-06-14_nykRM-at-wdcCT	wdcCT-61	salmi	0	1	0	0	14	14	11	1	0	wdcCT	61
2014-06-14_nykRM-at-wdcCT	wdcCT-19	maloney	0	1	0	0	3	3	3	0	0	wdcCT	19
2014-06-14_nykRM-at-wdcCT	wdcCT-23	tsai	0	1	0	0	1	1	1	0	0	wdcCT	23
2014-06-14_nykRM-at-wdcCT	wdcCT-5	cranston	0	0.88	0	0	8	7	7	0	0	wdcCT	5
