point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Seattle Rainmakers	1	10:00:00	8:41:00
2	Portland Stags	1	8:41:00	8:02:00
3	Portland Stags	1	8:02:00	6:45:00
4	Seattle Rainmakers	1	6:45:00	3:12:00
5	Portland Stags	1	3:12:00	1:43:00
6	Seattle Rainmakers	1	1:43:00	0:43:00
7	Portland Stags	1	0:43:00	0:17:00
8	Seattle Rainmakers	1	0:17:00	0:00:05
9	Seattle Rainmakers	1	0:00:05	0:00:00
10	Portland Stags	2	10:00:00	6:10:00
11	Seattle Rainmakers	2	6:10:00	3:03:00
12	Portland Stags	2	3:03:00	2:31:00
13	Seattle Rainmakers	2	2:31:00	1:21:00
14	Portland Stags	2	1:21:00	0:12:03
15	Seattle Rainmakers	2	0:12:03	0:00:00
16	Seattle Rainmakers	3	10:00:00	8:53:00
17	Portland Stags	3	8:53:00	8:27:00
18	Seattle Rainmakers	3	8:27:00	7:45:00
19	Portland Stags	3	7:45:00	4:30:00
20	Portland Stags	3	4:30:00	3:47:00
21	Seattle Rainmakers	3	3:47:00	3:30:00
22	Portland Stags	3	3:30:00	3:06:00
23	Seattle Rainmakers	3	3:06:00	2:25:00
24	Portland Stags	3	2:25:00	2:13:00
25	Seattle Rainmakers	3	2:13:00	1:45:00
26	Portland Stags	3	1:45:00	1:22:00
27	Seattle Rainmakers	3	1:22:00	0:46:00
28	Portland Stags	3	0:46:00	0:00:00
29	Portland Stags	4	10:00:00	9:22:00
30	Seattle Rainmakers	4	9:22:00	8:10:00
31	Portland Stags	4	8:10:00	7:21:00
32	Seattle Rainmakers	4	7:21:00	6:09:00
33	Portland Stags	4	6:09:00	5:43:00
34	Seattle Rainmakers	4	5:43:00	2:42:00
35	Portland Stags	4	2:42:00	0:28:04
36	Portland Stags	4	0:28:04	0:18:02
37	Seattle Rainmakers	4	0:18:02	0:00:00
