point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	29	P		
1	2			10	PU
1	3			24	
1	4			11	
1	5			42	
1	6			2	
1	7			42	
1	8			10	
1	9			11	
1	10			10	
1	11			11	
1	12			24	
1	13			7	
1	14			42	
1	15			24	
1	16			10	
1	17			11	
1	18			7	
1	19			16	
1	20			2	
1	21			7	
1	22			2	
1	23			24	
1	24			42	
1	25			16	G
2	1	8	P		
2	2			00	PU
2	3			99	
2	4			1	
2	5			00	
2	6	8	PU		
2	7	21			
2	8	3			
2	9	8			
2	10	17			
2	11	14	G		
3	1	8	P		
3	2			00	PU
3	3			1	
3	4			00	
3	5			1	
3	6			99	
3	7			00	
3	8			5	
3	9			1	
3	10			6	
3	11	8	D		
3	12	8	PU		
3	13	22			
3	14	4	TD		
3	15			1	PU
3	16			9	
3	17			1	
3	18			9	
3	19			6	
3	20			9	G
4	1	29	P		
4	2			10	PU
4	3			24	
4	4			10	
4	5			24	
4	6			10	
4	7			42	
4	8			10	
4	9			24	
4	10			10	
4	11			24	
4	12			10	
4	13			7	
4	14			2	
4	15			24	
4	16			7	
4	17			10	
4	18	29	PU		
4	19	12			
4	20	24			
4	21	29			
4	22	2			
4	23	23			
4	24	13			
4	25	29			
4	26			24	PU
4	27			7	
4	28	29	PU		
4	29	12			
4	30	23			
4	31			42	D
4	32			42	PU
4	33			11	
4	34			16	
4	35			10	
4	36			11	
4	37			10	
4	38			24	TO
4	39			24	PU
4	40			7	
4	41			24	
4	42			7	
4	43			24	
4	44			7	
4	45			24	
4	46			7	
4	47			42	
4	48			2	
4	49			24	
4	50			42	
4	51			10	G
5	1	8	P		
5	2			00	PU
5	3			1	
5	4			99	
5	5			35	
5	6			00	
5	7			35	L
5	8			25	TD
5	9	22	PU		
5	10	3			
5	11	22			
5	12			35	PU
5	13			99	
5	14			35	
5	15			00	
5	16			35	
5	17			5	G
6	1	29	P		
6	2			10	PU
6	3			24	
6	4			10	L
6	5	29	PU		
6	6	12			
6	7	29			
6	8	24			
6	9	29			
6	10			6	PU
6	11			42	
6	12			2	G
7	1	8	P		
7	2			00	PU
7	3			1	
7	4			6	
7	5			1	
7	6			9	
7	7			1	
7	8			9	
7	9			51	
7	10			99	LG
8	1	35	P		
8	2			42	PU
8	3			11	
8	4	23	D		
8	5	29	PU		
8	6	15			
8	7	12	G		
9	1	35	P		
9	2			24	PU
10	1	22	P		
10	2			00	PU
10	3			1	
10	4			35	
10	5			99	
10	6	17	F		
10	7			6	
10	8			1	
10	9			00	
10	10			35	
10	11			6	
10	12			00	
10	13			77	
10	14			00	
10	15			6	
10	16			00	
10	17			25	
10	18			6	
10	19			25	
10	20	17	D		
10	21	17	PU		
10	22	22			
10	23	9			
10	24	25			
10	25	22			
10	26	3			
10	27			6	F
10	28	21			
10	29			6	D
10	30			35	PU
10	31				TO
10	32			1	PU
10	33			99	
10	34			35	
10	35			77	
10	36			5	
10	37			77	
10	38			1	G
11	1	29	P		
11	2			24	PU
11	3			7	
11	4	12	D		
11	5	29	PU		
11	6	10	L		
11	7	13	TD		
11	8			24	PU
11	9			11	
11	10			2	
11	11			11	
11	12			24	
11	13			11	
11	14			7	
11	15			2	
11	16			7	
11	17			11	
11	18			42	
11	19			10	L
11	20	29	PU		
11	21	2			
11	22		TO		
11	23	1	PU		
11	24	99			
11	25	00			
11	26	25	TD		
11	27			6	PU
11	28			24	
11	29			8	
11	30			42	
11	31			6	
11	32			16	
11	33	6	D		
11	34	1	PU		
11	35			24	PU
11	36			9	G
12	1	8	P		
12	2			1	PU
12	3			35	
12	4			77	
12	5			9	
12	6			51	
12	7			9	
12	8			77	
12	9			9	
12	10			99	
12	11			1	G
13	1	29	P		
13	2			24	PU
13	3			10	
13	4			73	
13	5			10	
13	6			73	
13	7			10	
13	8			73	
13	9			11	
13	10			42	
13	11			24	
13	12			42	
13	13			7	
13	14			42	
13	15			6	
13	16			24	
13	17	13	D		
13	18	24	PU		
13	19	29			
13	20			24	PU
13	21			11	
13	22			24	
13	23			10	G
14	1	8	P		
14	2			1	PU
14	3			35	
14	4			1	
14	5			35	
14	6			1	
14	7			99	
14	8			35	
14	9			99	TD
14	10		TO		
14	11	11	PU		
14	12	10			
14	13	11			
14	14	42			
14	15	11			
14	16	10			
14	17			24	D
14	18			29	PU
14	19			28	
14	20			23	
14	21			29	
14	22			12	
14	23			15	G
15	1	35	P		
15	2			10	PU
15	3			24	
15	4			73	L
15	5	51	D		
16	1	29	OBP		
16	2			24	PU
16	3			10	
16	4			24	
16	5			10	
16	6			11	
16	7			7	
16	8			11	
16	9			10	
16	10			11	
16	11			42	
16	12			2	
16	13			42	
16	14			24	
16	15			7	G
17	1	8	P		
17	2			00	PU
17	3			1	
17	4			99	
17	5			25	
17	6			9	
17	7			25	
17	8			9	
17	9			25	
17	10			99	
17	11			77	G
18	1	24	P		
18	2			11	PU
18	3			24	
18	4			10	
18	5			6	
18	6			7	
18	7			10	
18	8			11	
18	9			10	
18	10			24	
18	11			42	
18	12			6	
18	13			24	
18	14			10	
18	15			24	
18	16			10	
18	17			7	LG
19	1	8	OFFSIDES		
19	2	8	P		
19	3			1	PU
19	4			99	
19	5			1	
19	6			35	
19	7			6	
19	8			35	
19	9	3	D		
19	10	21	PU		
19	11	8			
19	12	17			
19	13	21			
19	14	8			
19	15	15			
19	16	21			
19	17	15			
19	18	22			
19	19	25			
19	20	22			
19	21	21			
19	22	8			
19	23	15			
19	24			77	D
19	25			35	PU
19	26	25	D		
19	27	17	PU		
19	28	21			
19	29			1	HB
19	30			35	PU
19	31			6	
19	32			35	
19	33			00	
19	34			35	
19	35			00	
19	36			1	
19	37			99	
19	38			6	TD
19	39		TO		
19	40	11	PU		
19	41	24			
19	42	10			
19	43	6			
19	44	42			
19	45	10			
19	46	7			
19	47	6	G		
20	1	8	P		
20	2			00	PU
20	3			1	
20	4			25	
20	5			99	
20	6			00	
20	7			77	
20	8			6	
20	9			1	
20	10			00	
20	11			1	
20	12			25	
20	13			1	
20	14			25	
20	15			6	
20	16			1	
20	17			99	G
21	1	24	P		
21	2			24	PU
21	3			11	
21	4			10	
21	5			7	
21	6			10	
21	7			11	
21	8			2	LG
22	1	8	P		
22	2			14	PU
22	3			1	
22	4			35	
22	5			99	
22	6			35	
22	7			5	LG
23	1	29	P		
23	2			11	PU
23	3			24	
23	4			11	
23	5			7	
23	6			42	
23	7			2	
23	8			7	
23	9			10	
23	10			6	
23	11			24	
23	12			6	
23	13			24	
23	14			11	
23	15			2	
23	16			10	G
24	1	8	P		
24	2			25	PU
24	3			1	
24	4			6	
24	5			9	LG
25	1	29	P		
25	2			10	PU
25	3			24	
25	4			11	
25	5			42	
25	6			7	
25	7			2	
25	8			24	
25	9			42	
