poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	pdxST-10		O-CTH	pdxST-24	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-11	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-42	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-2	TRUE	compl
1	1	1	6	7	ao	0	O-CTH	pdxST-2		O-CTH	pdxST-42	TRUE	compl
1	1	1	7	8	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-10	TRUE	compl
1	1	1	8	9	ao	0	O-CTH	pdxST-10		O-CTH	pdxST-11	TRUE	compl
1	1	1	9	10	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-10	TRUE	compl
1	1	1	10	11	ao	0	O-CTH	pdxST-10		O-CTH	pdxST-11	TRUE	compl
1	1	1	11	12	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-24	TRUE	compl
1	1	1	12	13	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-7	TRUE	compl
1	1	1	13	14	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-42	TRUE	compl
1	1	1	14	15	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-24	TRUE	compl
1	1	1	15	16	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-10	TRUE	compl
1	1	1	16	17	ao	0	O-CTH	pdxST-10		O-CTH	pdxST-11	TRUE	compl
1	1	1	17	18	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-7	TRUE	compl
1	1	1	18	19	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-16	TRUE	compl
1	1	1	19	20	ao	0	O-CTH	pdxST-16		O-CTH	pdxST-2	TRUE	compl
1	1	1	20	21	ao	0	O-CTH	pdxST-2		O-CTH	pdxST-7	TRUE	compl
1	1	1	21	22	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-2	TRUE	compl
1	1	1	22	23	ao	0	O-CTH	pdxST-2		O-CTH	pdxST-24	TRUE	compl
1	1	1	23	24	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-42	TRUE	compl
1	1	1	24	25	ao	0	O-CTH	pdxST-42		O-G	pdxST-16	TRUE	compl
2	1	2	2	3	ao	0	O-PU	seaRM-00		O-CTH	seaRM-99	TRUE	compl
2	1	2	3	4	ao	0	O-CTH	seaRM-99		O-CTH	seaRM-1	TRUE	compl
2	1	2	4	5	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-00	TRUE	compl
2	1	2	5	5	an	-1	O-CTH	seaRM-00		NA	seaRM-00	TRUE	taway
3	2	2	6	7	ao	0	O-PU	pdxST-8		O-CTH	pdxST-21	TRUE	compl
3	2	2	7	8	ao	0	O-CTH	pdxST-21		O-CTH	pdxST-3	TRUE	compl
3	2	2	8	9	ao	0	O-CTH	pdxST-3		O-CTH	pdxST-8	TRUE	compl
3	2	2	9	10	ao	0	O-CTH	pdxST-8		O-CTH	pdxST-17	TRUE	compl
3	2	2	10	11	ao	0	O-CTH	pdxST-17		O-G	pdxST-14	TRUE	compl
4	1	3	2	3	ao	0	O-PU	seaRM-00		O-CTH	seaRM-1	TRUE	compl
4	1	3	3	4	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-00	TRUE	compl
4	1	3	4	5	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-1	TRUE	compl
4	1	3	5	6	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-99	TRUE	compl
4	1	3	6	7	ao	0	O-CTH	seaRM-99		O-CTH	seaRM-00	TRUE	compl
4	1	3	7	8	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-5	TRUE	compl
4	1	3	8	9	ao	0	O-CTH	seaRM-5		O-CTH	seaRM-1	TRUE	compl
4	1	3	9	10	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-6	TRUE	compl
4	1	3	10	11	ao	0	O-CTH	seaRM-6		D-D	pdxST-8	TRUE	defd
5	2	3	12	13	ao	0	O-PU	pdxST-8		O-CTH	pdxST-22	TRUE	compl
5	2	3	13	14	ao	0	O-CTH	pdxST-22		O-TD	pdxST-4	TRUE	drop
6	3	3	15	16	ao	0	O-PU	seaRM-1		O-CTH	seaRM-9	TRUE	compl
6	3	3	16	17	ao	0	O-CTH	seaRM-9		O-CTH	seaRM-1	TRUE	compl
6	3	3	17	18	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-9	TRUE	compl
6	3	3	18	19	ao	0	O-CTH	seaRM-9		O-CTH	seaRM-6	TRUE	compl
6	3	3	19	20	ao	0	O-CTH	seaRM-6		O-G	seaRM-9	TRUE	compl
7	1	4	2	3	ao	0	O-PU	pdxST-10		O-CTH	pdxST-24	TRUE	compl
7	1	4	3	4	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-10	TRUE	compl
7	1	4	4	5	ao	0	O-CTH	pdxST-10		O-CTH	pdxST-24	TRUE	compl
